. – Herr Präsident, Herr Ratsvorsitzender, liebe Kolleginnen und Kollegen!	.
Ich denke, dieser Bericht, der mit viel Mühe und sehr gut von Frau Malmström verfasst worden ist, macht die Bedeutung der Beziehungen zu Russland deutlich. Und er macht zugleich Folgendes deutlich: Russland ist nicht nur Partner in Europa, ist nicht nur Anker für die Stabilität, sondern ist durch die Erweiterung auch unser Nachbar geworden, und deshalb müssen wir – auch über diesen heutigen Tag hinaus – diesen Beziehungen einen besonderen Blick zuwenden.	Mr President, Mr PresidentinOffice of the Council, ladies and gentlemen, I think that Mrs Malmström has, by dint of a great deal of effort, made a very good job of drafting this report, which makes clear not only the significance of our relations with Russia, but also the fact that Russia is not merely a partner in Europe and an anchor of stability, but has also, as a result of enlargement, become our neighbour, and that it is for that reason that we must, both today and in the future, devote particular attention to our relations with it.
Aber Russland ist kein Kandidatenland! Wir machen hier keinen Fortschrittsbericht, bei dem wir zu Gericht sitzen und sagen: „Das läuft falsch und das läuft falsch und da müsst ihr noch etwas tun.“ Was wir hier anwenden, ist ein anderes Verfahren.	Russia, though, is not a candidate country; this is not a progress report in which we sit in judgment, saying, ‘that is wrong and that is wrong and there you need to do more’. In this instance, we are applying a quite different procedure.
Insofern weisen wir auf Menschenrechtsverletzungen oder Entwicklungen der Demokratie hin, die nicht in unserem Sinne sind, sollten uns aber davor hüten, als Oberlehrer Punkt für Punkt zu beurteilen, was in Russland geschieht.	While drawing attention to violations of human rights or developments in democracy that we regard as undesirable, we should refrain from itemising what is going on in Russia and passing didactic judgment on each individual item.
Es ist wichtig, dass dieser Gipfel konkrete Ergebnisse gebracht hat, dass eine Grundlage geschaffen wurde, um die äußere und innere Sicherheit herzustellen, die wirtschaftliche Kooperation zu gewährleisten und auch gemeinsame Projekte in Forschung, Bildung und Kultur zu ermöglichen.	It is important that this summit has brought concrete results, laying a foundation on which internal and external security may be established, economic cooperation guaranteed, and joint projects in research, education and culture facilitated.
Was mir bei der heutigen Debatte sehr wichtig erscheint, ist das, was die Kommissarin gesagt hat. Wenn das Ganze funktionieren soll, muss Europa mit einer Stimme sprechen.	What struck me as very important in today’s debate was what Commissioner FerreroWaldner had to say: if the whole thing is to work, Europe must speak with one voice.
Dann geht es nicht, dass einzelne Mitgliedstaaten – die Deutschen, die Franzosen und die Spanier – Sondergipfel mit Russland abhalten und eine gegenteilige Politik vertreten. Und nicht nur das, sondern auch, ohne unsere baltischen Freunde und ohne die Europäischen Institutionen zu informieren.	In that case, it will not be acceptable for individual Member States – Germany, France or Spain – to hold separate summits with Russia and pursue a contrary policy, without, moreover, informing either our Baltic friends or the European institutions.
Man kann fast sagen, in Deutschland ist das im September beendet, aber in Frankreich und Spanien werden wir wohl noch eine Zeit damit leben müssen.	One might be so bold as to say that Germany will refrain from such things after September of this year, but in the case of France and Spain we will, no doubt, have to live with it for some time yet.
Letzte Bemerkung: Was mir sehr wichtig erscheint, ist die Kooperation in regionalen Konflikten.	By way of a final comment, let me say that cooperation in regional conflicts appears to me to be very important.
Transnistrien, Abchasien, Südossetien und Nagorny-Karabach sind erwähnt worden, und die EU hat angeboten, auch in Tschetschenien zu helfen.	Reference has been made to Transnistria, Abkhazia, South Ossetia and NagornoKarabakh, and the EU has offered to help in Chechnya as well.
Dies darf nicht nur auf humanitärer Ebene sein, dies muss auch politisch sein, und Russland wäre gut beraten, wenn es dieses europäische Signal aufgreifen würde.	Rather than being limited to humanitarian operations, it must also have a political dimension, and Russia would be well advised to respond to this signal from Europe.
