Herr Präsident! Ich hatte in der letzten Woche Gelegenheit zu Gesprächen auf der Insel.	Mr President, I visited the island for talks last week.
Der Prozess des Beitritts zur EU hat Hoffnung auf eine Lösung des Konflikts genährt, doch manche Schritte blieben hinter den Erwartungen, insbesondere des griechischen Bevölkerungsteils, zurück.	The process of EU accession has raised hopes of a solution to the conflict, but many expectations are still unfulfilled, especially among the Greek Cypriots.
Dass in New York und in der Schweiz Verhandlungen geführt wurden, hat die Bürgerinnen und Bürger in den Städten und Dörfern Zyperns kaum erreicht.	The fact that negotiations have been taking place in New York and Switzerland has barely been reported to citizens in the towns and villages of Cyprus.
Die Bemühungen von Generalsekretär Kofi Annan verdienen hohen Respekt, aber 9 000 Seiten Vertragstexte in wenigen Wochen beiden Volksgemeinschaften der Insel zu vermitteln, ist nicht nur schwer, sondern angesichts der unterschiedlichen politischen Interessen auch kaum oder überhaupt nicht gelungen.	The efforts made by Secretary-General Kofi Annan merit great respect, but it is difficult to communicate 9 000 pages of treaty text to both communities on the island within a matter of weeks, and this has clearly failed due to the different political interests at stake.
Selbst im Regierungslager der Republik Zypern sind, wie das Auftreten des Präsidenten und der Koalitionspartner zeigen, ganz unterschiedliche Bewertungen, nicht zu übersehen, Herr Kommissar.	There are different interpretations of the plan even within the governing coalition of the Republic of Cyprus, as the statements made by the President and the coalition partners demonstrate. These different assessments cannot be ignored, Commissioner.
Es gab daher auch aus den genannten Gründen ernsthafte Stimmen, das Referendum zu verschieben, um mehr Zeit zur Information und zur Meinungsbildung zu bekommen.	For the reasons I have stated, there have been serious calls for the postponement of the referendum in order to gain more time for information and opinion-forming.
Die meiner Fraktion verbundene Regierungspartei AKEL stellt sich nicht gegen den Annan-Plan, hat aber angesichts der Lage große Befürchtungen vor einem Scheitern des Referendums, wie es hier bereits ausgesprochen wurde.	The governing party, AKEL, which is affiliated to my group, is not opposed to the Annan Plan, but given the situation, it is deeply concerned about the possible failure of the referendum, as has already been discussed here.
Erforderlich scheint daher, noch einmal deutliche Signale von der EU und auch von den Vereinten Nationen zu geben.	Now there is a need for clear signals from the EU and the UN again.
Wir sollten nichts verharmlosen.	We should not downplay the situation.
Das Land hat einen Krieg erlebt.	The country has undergone a war.
Sein nördlicher Teil war und ist bis heute 30 Jahre türkisch besetzt.	Northern Cyprus has been under Turkish occupation for thirty years.
Es muss bei den bestehenden Ängsten deutlicher und klarer Zeichen für Frieden und Sicherheit geben, und es muss bei den bestehenden Befürchtungen auch klar sein, dass es keine einseitigen Vorteile gibt.	In view of the concerns that exist, signals on peace and security must be sent out more clearly, and with these concerns in mind, it must be made clear there are no unilateral advantages for either side.
Auch bei den 100 %, die Sie mit Recht in Frage stellen, geht es dennoch um das Problem, dass gerade diese Befürchtungen existieren.	Even with the 100% that you rightly question, there is still a problem, namely that these concerns exist at all.
Politik beruht nicht auf Endgültigkeiten und ewigen Wahrheiten. Das gilt nicht zuletzt auch aus den Erfahrungen des Prozesses der Vereinigung Deutschlands.	Politics is not about finality and eternal truths – the process of German reunification has taught us that.
Sie befindet sich stets in Prozessen, die mehr oder weniger vorgedacht werden können, die aber ständig aktives und sehr besonnenes Handeln erfordern.	It is about constantly evolving processes, which can be mapped out to some extent in advance but which require a pro-active and very level-headed approach at every stage.
Die EU steht in der Pflicht, in dieser kritischen Situation gemeinsam mit den Vereinten Nationen der Republik Zypern, aber auch gleichzeitig beiden Volksgruppen ein verlässlicher Partner bei der Lösung des Konflikts zu sein.	In this critical situation, the EU has an obligation, together with the United Nations, to be a reliable partner for the Republic of Cyprus, but also for the two communities, in resolving the conflict.
Nicht nur Zypern, Europa als Ganzes wird gewinnen, wenn es uns gelingt, auch diese Wunde zu heilen.	Not only Cyprus, but Europe as a whole will be the winner if we manage to heal this wound.
