Herr Präsident! Auch Sicherheitsgründe sprechen gegen die Fertigstellung der beiden AKW.	Mr President, safety aspects also militate against completion of the two nuclear power stations.
Die beiden Projekte entsprechen nicht den Vergaberichtlinien der EBWE, und mir liegen Studien vor, mehrere Studien, die sich ganz eindeutig aus Sicherheitsgründen gegen den Bau dieser AKW aussprechen.	Neither project accords with the allocation guidelines of the EBRD, and I have the results of studies which come out most clearly against the construction of these nuclear power stations.
Das von den Betreibern geplante Modernisierungs- und Fertigstellungsprogramm wird westlichen Sicherheitsprinzipien niemals genügen.	The modernization and completion programme planned by the operators will never satisfy Western safety principles.
Das geplante Modernisierungsprogramm wird nicht einmal, Herr Kommissar, den neuen russischen Sicherheitsstandards gerecht, da die Konstruktion des bei K 2 und R 4 verwendeten Reaktortyps noch den alten russischen Normen entspricht.	The planned modernization programme will not even comply, Mr Commissioner, with the new Russian safety standards, as the construction of the reactor type used in K2 and R4 still fulfills the old Russian standards.
Weiter erfüllt das Modernisierungsprogramm nicht einmal alle post-Three-Mile-Island -Anforderungen.	Furthermore, the modernization programme does not even meet all post-Three Mile Island requirements.
Würde man das Projekt so modifizieren, daß es alle oben genannten Anforderungen erfüllt, dann würden sich die dafür einzusetzenden finanziellen Mittel und der für eine entsprechende Nachrüstung erforderliche zeitliche Rahmen derartig verändern, daß alle bisher getroffenen Annahmen weit überschritten würden.	If the project were so to be modified that it met all the above requirements, then the financial means needed for it and the time frame required for a corresponding re-equipment programme would alter so radically, that it would greatly exceed all the assumptions so far made.
Hinsichtlich der vierten Bedingung - Umweltverträglichkeit und Bürgerbeteiligung - überlasse ich es Ihrer Beurteilung, wie eine Bürgerbeteiligung in der Ukraine heute wohl aussehen könnte.	With regard to the fourth condition - environmental friendliness and citizen participation - I leave it to your assessment just what citizen participation might look like in Ukraine today.
An der Stillegung von Tschernobyl darf hingegen nicht gerüttelt werden, sondern es muß alles unternommen werden, um diesen Unglücksreaktor so rasch wie möglich für alle Zeiten stillzulegen.	There must be no retreat on the closure of Chernobyl. On the contrary, everything possible must be done to close this damaged reactor for all time as quickly as we can.
Ich glaube, es ist unverantwortlich, Tschernobyl auch nur um einen Tag länger laufen zu lassen, oder es vielleicht sogar als Grund zu nehmen, zwei neue, ebenfalls problematische Kernkraftwerke fertigbauen zu können.	I think it is irresponsible to allow Chernobyl to run for even one more day, or perhaps to use it as an excuse for the construction of two more, equally problematic, nuclear power stations.
Vor wenigen Tagen war der Präsident der EBWE, Jacques Larosi&#x010D;re, in Österreich und hat Gespräche mit österreichischen Regierungsmitgliedern geführt.	A few days ago the President of the EBRD, Jacques Larosière, was in Austria, where he held talks with members of the Austrian Government.
Österreich hat sich hier ganz klar gegen jede Finanzierung dieser beiden AKWs ausgesprochen.	Austria came out quite clearly against any financing of these two nuclear power stations.
Als Alternative tritt Österreich unter anderem für eine Modernisierung bestehender kalorischer Kraftwerke ein.	As an alternative, Austria supported, amongst other measures, the modernization of existing calorific power stations.
Wenn man weiß, wie hoch der Wärmeverlust all dessen ist, was in der Ukraine produziert wird - bis zu 60 % -, ist das so gigantisch, daß man sich leicht vorstellen kann, daß man mit weitaus weniger Mitteln auf weitaus weniger gefährliche Art und Weise den Menschen dort wirklich helfen kann.	When one considers the heat loss of everything being built in Ukraine - up to 60 % - that is so huge that one can easily imagine that one could help the people there with far fewer resources and in a much less dangerous manner.
Österreich wird selbstverständlich die Ummantelung des Katastrophenreaktors von Tschernobyl mitfinanzieren, und Österreich wird auch in den entsprechenden Fonds einzahlen.	Austria will obviously help to finance the sheathing of the ruined reactor at Chernobyl, and it will also pay into the corresponding funds.
Tschernobyl war die eine Katastrophe.	Chernobyl was one catastrophe.
Schaffen wir doch um Gottes willen mit der Fertigstellung dieser beiden problematischen AKWs nicht potentielle neue Katastrophen!	In God's name let us not create potential new catastrophes through the completion of these two doubtful nuclear power stations!
