. Erlauben Sie mir auch bei dieser Frage eine kurze politische Vorbemerkung.	. – May I on this question too make a brief political preliminary remark?
Ich wundere mich manchmal ein bisschen, dass der Kommission Fragen gestellt werden, die den Eindruck erwecken, als seien wir verantwortlich für alle möglichen Zustände in den künftigen Mitgliedsländern, als hätten wir eine Zuständigkeit in Bereichen, in denen es definitiv keine Gemeinschaftszuständigkeit gibt.	I am sometimes slightly surprised that the Commission is asked questions that give the impression that we are responsible for all possible circumstances in the future Member States, as though we had powers in areas where there is definitely no Community competence.
Hier haben wir es mit einer Frage zu tun, bei der wir noch nicht einmal wissen, wie die Lage in den Mitgliedstaaten ist.	We are dealing here with a question where we do not even know what the situation is in the Member States.
Gleichwohl haben wir etwas tun können, weil für die künftigen Mitgliedsländer ja die Kopenhagener Kriterien gelten und die Kopenhagener Kriterien uns helfen, in solchen Fragen tätig zu werden.	All the same, we have been able to do something, because the Copenhagen criteria do apply for the future Member States and the Copenhagen criteria help us to take action in such matters.
Wir müssen sie dann aber immer als Menschenrechtsfragen behandeln.	But then we must always treat them as human rights matters.
Dies musste ich vorausschicken.	I had to say that first.
Was die von Ihnen in der Frage angeführte Problematik der Käfigbetten angeht, so hat das eine internationale Organisation zur Förderung und Wahrung der Rechte von Menschen mit geistigen Behinderungen, dem Europäischen Parlament am 17. Juni einen Bericht vorgelegt.	So far as the problem of caged beds is concerned, which you raise in your question, the an international organisation for the promotion and protection of the rights of people with mental disabilities, presented a report to the European Parliament on 17 June.
Das wissen Sie natürlich.	You know that, of course.
In diesem Bericht wird darauf hingewiesen, dass in vier Beitrittsländern, nämlich in der Tschechischen Republik, in Ungarn, in der Slowakei und in Slowenien, noch immer Käfigbetten zur Ruhigstellung von Menschen mit geistiger Behinderung verwendet werden.	That report points out that caged beds are still used to restrain people with mental disabilities in four accession countries, namely the Czech Republic, Hungary, Slovakia and Slovenia.
Die Kommission hat sich aufgrund der Ergebnisse dieses Berichts zur genauen Untersuchung der aktuellen Situation sofort mit den betreffenden Ländern in Verbindung gesetzt und die Behörden der betreffenden Länder aufgefordert, die Kommission über die bestehenden Zustände zu unterrichten.	On the strength of that report’s findings, the Commission immediately contacted the countries concerned in order to investigate the present situation precisely and called on the authorities of the countries concerned to inform the Commission of the existing circumstances.
Die Kommission hat daraufhin die erwünschten Informationen erhalten, und es zeigt sich, dass sich allein aufgrund der Anfrage der Kommission die Situation im Vergleich zum Bericht bereits verbessert hat.	The Commission then received the information requested and it appears that the situation has already improved by comparison with the report simply as a result of the Commission’s enquiry.
Die slowenischen Behörden haben uns darüber informiert, dass in Slowenien kein Gebrauch mehr von Käfigbetten gemacht wird.	The Slovenian authorities informed us that caged beds are no longer used in Slovenia.
In der Slowakei, in der Tschechischen Republik und in Ungarn kommt es weiterhin in ganz seltenen Ausnahmefällen und unter Einhaltung strikter Anweisungen vor.	In Slovakia, the Czech Republic and Hungary they are still used in a very few exceptional cases and strict guidelines must be followed.
Die betroffenen Länder haben allerdings eingeräumt, dass die Bemühungen, modernere Methoden der psychiatrischen Betreuung einzuführen, im Augenblick noch aufgrund unzureichender personeller Mittel erschwert sein können.	The countries concerned have however conceded that efforts to introduce more modern methods of psychiatric care may for the present be hampered by insufficient staff resources.
Der Kommission liegen Informationen darüber vor, dass die slowakische Regierung einschlägige Maßnahmen ergriffen hat und im Augenblick an einem Plan zur schrittweisen Abschaffung von Käfigbetten arbeitet.	The Commission has information that the Slovak Government has taken relevant measures and is at present working on a plan to phase out caged beds.
Die tschechische Regierung hat der Kommission versichert, diese Angelegenheit eingehend zu untersuchen und uns über den gelegentlichen Einsatz von Käfigbetten noch genauer zu informieren.	The Czech Government has assured the Commission that it is investigating the matter in detail in order to provide us with more precise information about the occasional use of caged beds.
In Ungarn ist die Zahl der Käfigbetten bereits kontinuierlich zurückgegangen.	In Hungary the number of caged beds has already fallen steadily.
Die ganz wenigen Einrichtungen, in denen solche Betten verwendet werden, stehen unter regelmäßiger Überwachung, und es wird nach Lösungen gesucht, die es erlauben, diese schrecklichen Betten abzuschaffen.	The very few establishments where such beds are used are regularly monitored and ways are being sought that will allow these terrible beds to be abolished.
Wenn Sie mir einen Satz zur Bewertung gestatten: Ich denke, dass wir hier vor einem Phänomen stehen, das uns einen Blick in die teilweise schreckenerregende Vergangenheit der Psychiatrie eröffnet, und dass wir angesichts dieses Blicks wirklich erschrecken müssen.	If I may make a brief assessment, I think we are faced here with a phenomenon that gives us a glimpse into the sometimes horrifying past of psychiatry and that we really must be shocked at what we see.
Dass solche Methoden in der modernen Psychiatrie nichts zu suchen haben, darin stimmen wir sicherlich alle überein.	I am sure we all agree that such methods have no place in modern psychiatry.
Deshalb wird die Kommission alle ihr zur Verfügung stehenden Mittel nutzen, um diese Angelegenheit weiter zu verfolgen, und wir werden damit nicht aufhören, bis in jedem dieser Länder auch das letzte Käfigbett verschwunden ist.	The Commission will therefore be using every means at its disposal to pursue this matter further and we shall not cease until the last caged bed has vanished from each of these countries.
