Herr Präsident, liebe Kolleginnen und Kollegen! Wir sind jetzt an einem ganz entscheidenden Punkt.	Mr President, ladies and gentlemen, we have come to an absolutely decisive point.
Ich bitte Sie, Herr Präsident, um einen Moment Geduld.	May I prevail for a moment upon your patience, Mr President.
Meine Fraktion hat auf Wunsch anderer Fraktionen über diesen Satz "für die Dauer der fünften Wahlperiode wird eine Übergangsregelung festgelegt" eine getrennte Abstimmung beantragt.	At the request of other groups, my group requested a separate vote on the sentence 'Transitional provisions shall be adopted for the duration of the fifth parliamentary term'.
In unserer Abstimmungsliste steht Nein. Aber nur aus einem einzigen Grund, weil dieser Satz an dieser Stelle nicht paßt.	There is a 'no' against this on our voting list, but for the sole reason that the sentence is inappropriate at that point in the text.
Nur aus diesem Grund!	That is the one and only reason!
Ich habe vor der Abstimmung darauf hingewiesen.	I pointed that out before the vote.
Das ist lediglich redaktionell.	It is a purely technical point.
Es muß möglich sein, daß wir bei einer Abstimmung sagen, dieser Text, den wir wollen, gehört nicht an diese Stelle, sondern an eine andere.	When we vote, it must surely be possible for us to indicate that the wording we favour does not belong at this particular point but should be elsewhere in the text.
Das muß möglich sein!	That has to be possible!
Das ist ein Antrag.	This is a motion.
Meine Fraktion ist nämlich für die Übergangsregelung, genauso wie die anderen Fraktionen auch.	The point is that my group supports a transitional system, as do the other groups.
Jetzt können Sie nicht, weil wir gesagt haben, dieser Satz gehört nicht an diese Stelle, sondern an eine andere, einfach sagen, das ist jetzt entschieden.	Just because we have now said that this sentence does not belong at this place in the text but at a different point, you cannot simply rule that the matter has been decided.
(Beifall) Ich bitte Sie eindringlich, weil Sie den Willen des Parlaments respektieren sollten, jetzt genau nach der Abstimmungsliste vorzugehen und über das Prinzip einer Übergangsregelung abstimmen zu lassen.	(Applause) Since you ought to respect the will of Parliament, I strongly urge you to proceed in strict accordance with the voting list and take a vote now on the principle of a transitional arrangement.
