Herr Präsident! Es gibt ein großes Potential der Zusammenarbeit zwischen der EU und der Ukraine.	Mr President, there is huge potential for cooperation between the EU and Ukraine.
Das hat der Gipfel gezeigt.	That was evident at the summit.
Das Programm zur Visumfreiheit oder auch das Assoziationsabkommen sind nur zwei Stichworte dafür.	The Action Plan towards visa liberalisation and the Association Agreement are just two examples that demonstrate this.
Wir haben in dieser Kompromissresolution - und das sieht man an den Aspekten, aus denen sich diese Resolution zusammengesetzt - auch die potentiell positiven Aspekte hervorgehoben.	In this compromise resolution - and this is evident from the aspects from which this resolution is put together - we have also highlighted the potentially positive aspects.
Aber ich zitiere da ein englisches Sprichwort: the proof of the pudding is in the eating.	However, I would like to quote an English proverb, which says that the proof of the pudding is in the eating.
Ob tatsächlich die Reformpakete und Reformgesetze in der Praxis dann realisiert werden, das müssen wir noch sehen.	Whether the reform package and reform laws will actually be implemented in practice remains to be seen.
Der Kommissar hat das Gesetz über das öffentliche Beschaffungswesen genannt.	The Commissioner mentioned the Law on Public Procurement.
Da ist schon gleich eine große Ausnahme verabschiedet worden.	A major exception to this has just been adopted.
Alle Beschaffungen im Zusammenhang mit der Fußball-Europameisterschaft sind von diesem Gesetz ausgenommen.	All procurements in connection with the European Football Championship have been excluded from the scope of this law.
Ich kann mir schon sehr gut vorstellen, wer sich da wunderschön bereichern wird.	I can already very well imagine who will grow wonderfully rich as a result of this.
Das ist also ein Beispiel, bei dem das Prinzip hochgehalten wird, aber es in der Praxis dann ganz anders aussieht.	Thus, this is an example of the principle being held in high esteem, but things looking very different in practice.
Ich danke dem Kommissar ganz ausdrücklich dafür, dass er die Sorge über die Medien-, Versammlungs- und Meinungsfreiheit zum Ausdruck gebracht hat und auch deutlich gesagt hat, die Kommunalwahl ist ein Rückschritt.	I would like to expressly thank the Commissioner for expressing concern about freedom of the press, freedom of assembly and freedom of expression and also clearly stating that the local elections represent a backward step.
Jedenfalls war das in der deutschen Übersetzung so formuliert.	At least that was how it was expressed in the German translation.
Und das ist auch die Auffassung der EVP-Fraktion, und das haben wir auch deutlich zum Ausdruck gebracht.	That is also the view of the Group of the European People's Party (Christian Democrats), and we have also expressed that view very clearly.
Wenn der Kollege Severin keine Notwendigkeit der Internationalisierung interner Konflikte postuliert, dann ist das für mich eine nettere Formulierung für das, was früher das Prinzip der Nichteinmischung in die inneren Angelegenheiten genannt wurde.	If Mr Severin is claiming that there is no need to internationalise internal conflicts, that to me is a nicer way of putting what was previously referred to as the principle of non-interference in internal affairs.
Das kennen wir zur Genüge, und das sollte also nicht das Prinzip sein, nach dem wir mit der Ukraine agieren.	There has been too much of this, and this should not therefore be the principle that guides our actions in respect of Ukraine.
Gerade weil wir das Land an Europa heranführen wollen, muss sich das Land auch an europäischen Maßstäben messen lassen.	Precisely because we want to bring this country closer to Europe, it must also allow itself to be measured by European standards.
Und deswegen ist es richtig, wie es auch die Kollegin Harms gesagt hat, dass wir jetzt ganz eng mit der Ukraine weiterhin in Kontakt bleiben und darauf achten, dass das, was an Demokratie und Menschenrechten dort erreicht worden ist, nicht durch eine rückwärts gewandte Politik wieder in Frage gestellt wird.	For that reason, Mrs Harms is right in what she said, namely that we must now remain in very close contact with Ukraine and ensure that what has been achieved there in terms of democracy and human rights is not called into question once again by a backward-looking policy.
