Es tut mir Leid, Herr Fatuzzo ist heute nicht hier. Anscheinend ersetze ich ihn.	I am sorry that Mr Fatuzzo is not here today - I seem to be standing in for him.
Aber es geht mir hier wirklich um die Sache.	However, I am genuinely concerned about this issue.
Ich möchte zum Bericht von Frau Stenzel sagen, ich gratuliere ihr sehr zu diesem Bericht.	On the subject of Mrs Stenzel's report, I would like to congratulate her very warmly on it.
Ich bin froh, dass wir ihn heute verabschiedet haben, denn am 15. September sind Wahlen in Mazedonien.	I am pleased that we have adopted it today, as elections are being held in Macedonia on 15 September.
Es geht um die demokratische Stabilität dieses wichtigen Landes, mit dem wir jetzt durch ein Assoziierungsabkommen verbunden sind.	What is at stake here is the democratic stability of this important country, to which we are now linked by an association agreement.
Das Land hat eine Fluchtwelle erlebt.	This country has experienced a huge refugee problem.
Es hat zweimal Krieg in seinen Grenzen erlebt, viele Katastrophen, jetzt noch Terrorismus.	It has had two wars within its borders, many disasters, and now it is afflicted by terrorism.
Deshalb ist es ganz wichtig, dass wir heute noch das Signal nach Mazedonien senden, dass wir hinter dieser jungen Demokratie stehen, der es in diesen letzten vier Jahren, wo es mehrere große Katastrophen gegeben hat, in erstaunlicher Weise gelungen ist, einen Ausgleich zwischen den Nationalitäten herbeizuführen.	That is why it is very important for us to signal to Macedonia today that this democracy has our support, this democracy, which over the last four years - during which there have been several major disasters - has amazingly succeeded in achieving a balance between different nationalities.
Wenn auch noch vieles nicht Gold ist, was glänzt, muss man, wenn man sieht, wie die Verhältnisse in der Umgebung sind, sagen, die Mazedonier haben Erstaunliches geleistet, verdienen unsere Solidarität.	Even if quite a lot that glitters is still not gold, when you see the remarkable things the Macedonians have achieved, you have to say that they have earned our solidarity.
Ein solches Zeichen könnte auch sein, dass wir endlich die Visumspflicht für Mazedonien abschaffen.	One sign that we could give would be to abolish the visa requirement for Macedonia at long last.
Jugoslawien hatte nie eine, Kroatien hat keine, Slowenien hat keine, Mazedonien ist das einzige assoziierte Land mit Visumspflicht.	There was never such a requirement for Yugoslavia, there is not one for Croatia or Slovenia, and in fact Macedonia is the only associated country with a visa requirement.
Wir sollten endlich dieses kleine Land als einen echten europäischen Partner akzeptieren.	We should finally accept this small country as a genuine European partner.
