Herr Präsident!	Mr President, two points.
Zwei Dinge: Erstens, wir hatten uns nun einmal in der Konferenz der Präsidenten geeinigt, dass wir beides diskutieren.	First, we did in fact agree in the Conference of Presidents to discuss both issues.
Wir wollten das zwar getrennt diskutieren, aber es wurde uns gesagt, nein, das geht nur im Zusammenhang mit der Erklärung der Kommission.	We wanted to discuss them separately but we were told, no, it had to be in conjunction with the Commission statement.
Man muss sich nur irgendwann einmal darüber einigen, was man will.	You just have to agree at some point on what it is you want.
Wir sind bereit, das so oder so zu diskutieren.	We are prepared to discuss it one way or the other.
Wir sind aber nicht damit einverstanden, dass man uns jedes Mal, wenn wir etwas beschließen, sagt, andersherum muss man es machen, und dann wieder anders herum!	But what we do not agree with is someone telling us, every time we decide something, that it has to be done the other way round and then turning it all round again!
Zweitens, zur Intervention von Regierungen.	Secondly, on the question of government intervention.
Ich werde Sie überraschen. Sie haben Recht, wenn Sie den Bundeskanzler kritisieren, und er hat Recht, wenn er die Regierung kritisiert...	It may come as a surprise, but you are right to criticise the German Chancellor and he is right to criticise the government ...
(Zwischenruf von Herrn Poettering: Dann soll er beides machen!)	(Interjection from Mr Poettering: then he should do both!)
...sag ich doch! Aber da ist etwas ganz falsch!	... that is what I am saying!
Die Kommissare sind keine Vertreter ihrer Regierungen, sondern sie vertreten das Interesse der Europäischen Union!	Except that the Commissioners do not represent their governments, they represent the interests of the European Union.
Die Minister vertreten die Regierungen. Das müssen wir all unseren Regierungen ganz deutlich klar machen.	The ministers represent governments and we have to make that perfectly clear to all our governments.
Machen wir uns als Abgeordnete hier nicht zu Vertretern unserer Parteien oder Regierungen, sondern vertreten wir mit der Kommission die Interessen der Europäischen Union!	So instead of sitting here trying to represent parties and governments, let us join with the Commission in representing the interests of the European Union.
Einverstanden?	Agreed?
Einverstanden!	Agreed!
(Heiterkeit, Beifall)	(Laughter, applause)
