Herr Präsident! Ich möchte mich zunächst einmal ganz herzlich bei Brian Simpson bedanken.	Mr President, I would first of all like to offer my sincere thanks to Mr Simpson.
Wir kennen das schon im Verkehrsausschuss: Wenn unser Vorsitzender einen Bericht macht, hat man eigentlich nichts dagegen zu sagen.	In the Committee on Transport and Tourism, we know that, if our Chair prepares a report, we will not actually have anything to say against it.
Er bedenkt immer sehr viele Dinge, und man kann nur sagen: Prima gemacht, Brian, man kann zustimmen.	He always takes a great number of things into account, and the only thing we can say is: excellent Brian, we can support that.
In diesem Fall wurde schon verschiedentlich gesagt, es sei ein technischer Bericht.	In this case, it has been variously said that it is a technical report.
Das klingt so langweilig.	That sounds so boring.
Ich finde ihn gar nicht so langweilig; er ist zwar technisch, aber er beschreibt ja den Tourismus, der wirklich ein ganz wichtiges Wirtschaftsziel bei uns in Europa ist.	I do not find it at all boring. Although it is technical, it describes tourism, which really is a very important economic objective for us in Europe.
40 % der Menschen weltweit reisen nach Europa, das wurde schon gesagt.	It has already been mentioned that 40% of people worldwide travel to Europe.
Europa ist also eine wichtige Tourismusregion, und daher ist es natürlich entscheidend zu wissen, warum die Leute nach Europa reisen.	Thus, Europe is an important region for tourism, and therefore it is, of course, vital to know why these people travel to Europe.
Wenn wir jetzt mit der neuen Zuständigkeit nach dem Vertrag von Lissabon einen neuen europäischen Rahmen entwickeln wollen, müssen wir die Daten kennen und sie auch harmonisiert austauschen können.	If, with our new competence under the Treaty of Lisbon, we now want to develop a new European framework, we must be familiar with the data and also be able to exchange this data in a harmonised way.
Dazu dient dieser Bericht, und er zeigt auch, was es an neuen Entwicklungen gibt, z.B. mit Tagesausflügen oder mit Fahrradtourismus.	That is the purpose of this report, and it also shows the new developments, for example, in terms of same-day visits or bicycle tourism.
Auch das industrielle Erbe wollen wir aufnehmen.	We also want to include our industrial heritage.
All das muss künftig erfasst werden, damit wir wirklich wissen, wie wir unsere Ziele festlegen können.	All of this must be included in future so that we will really know how to set our objectives.
Darum vielen Dank, es ist ein guter Bericht, und wir können ihm, glaube ich, zustimmen.	Therefore, thank you very much - it is a good report and I believe we are able to support it.
