Herr Präsident, Herr Kommissar! Vielen Dank an Frau Novak und an ihre Vorgängerin, Frau Zissner.	Mr President, Commissioner, may I express my thanks to Mrs Novak and her predecessor, Mrs Zissener.
Der Europass ist ein europäisches Gütesiegel, mit dem wir Gott sei Dank den vielen Sonntagsreden über Bürgernähe eine kleine, aber wichtige Tat folgen lassen.	The Europass is a European record of achievement with which, I am glad to say, we have been able to take a small but important step forward after all the fine words about taking government to the people.
Er schafft erstens Transparenz in ganz Europa für alle Bildungs- und Ausbildungszeiten, für die erworbenen Kompetenzen in allen Bereichen des Lebens.	First of all, it creates transparency throughout Europe for all periods of education and training, for skills acquired in all walks of life.
Er schafft zweitens Glaubwürdigkeit durch die Bestätigung und Anerkennung beruflicher und nichtberuflicher Erfahrungen, vor allem auch der freiwilligen Arbeit im sozialen, kulturellen und sportlichen Bereich sowie des Erwerbs verschiedener Sprachfertigkeiten.	Secondly, it creates credibility through the certification and recognition of occupational and extra-vocational experience, including voluntary work in the realms of social welfare, culture and sport as well as the acquisition of various linguistic skills.
Und er schafft drittens Effizienz, weil er ein Werkzeug der Verständigung und der Anerkennung von Kompetenzen für eine immer größer werdende Zahl mobiler Jugendlicher und Älterer ist.	Thirdly, it creates efficiency, because it fosters understanding and recognition of qualifications and skills for an ever-increasing number of young and not-so-young people.
Wir brauchen mehr denn je mehr Bürgernähe, weniger Reden über ein virtuelles technokratisch-bürokratisches Europa.	More than ever before, we need to take government closer to the people, and we need fewer eulogies to a technocratic and bureaucratic virtual Europe.
Wir brauchen konkrete Instrumente wie eben den Europass.	We need tangible instruments, of which the Europass is a prime example.
Er ist ein Werkzeug des täglichen Lebens.	It is a resource for people’s everyday lives.
Europa lebt man nämlich täglich und überall.	It lets people experience Europe at first hand on a daily basis, wherever they are.
Alle bildungspolitischen Maßnahmen wie COMENIUS, ERASMUS, GRUNDTVIG, e-learning, die Anerkennung von Diplomen und jetzt der Europass ergeben den europäischen Mehrwert, der Europa eine menschliche Dimension gibt.	All measures in the field of education policy, such as Comenius, Erasmus, Grundtvig, e-learning, the mutual recognition of diplomas and now the Europass, add value to Europe by lending it a human dimension.
Dieses Mehr an Seele, die das Individuum in den Mittelpunkt der Debatte und der Entscheidung über sein tägliches Leben rückt, ist wichtig.	This injection of soul into Europe, which puts individuals at the heart of the debate and makes them the focus of decisions affecting their everyday lives, is important.
Der Europass ist ein Schlüsselelement nicht nur wegen der Vergleichbarkeit oder der Anerkennung professioneller Leistungen, sondern gerade auch wegen der Aufnahme sozialen und bürgerlichen Engagements als Teil des Kompetenzkatalogs.	The Europass is a key element, not only in terms of the comparability and recognition of professional achievements but more especially because it includes voluntary social and civic involvement in the catalogue of acquired skills.
Ich möchte die Kommission und uns alle beglückwünschen, dass wir in so kurzer Zeit - in noch nicht einmal einem Jahr - dieses wirklich gute Werkzeug geschaffen haben, und ich hoffe sehr, dass wir mit den Verbesserungen, die Kommissar Figeľ noch anvisiert hat, im nächsten Jahr einen guten Start für den Europass haben werden.	I should like to congratulate the Commission and all of us here for having created this really good mechanism in such a short time – less than a year – and I very much hope that, along with the other improvements envisaged by Commissioner Figeľ, we shall have a good platform from which to launch the Europass next year.
Ich wünsche ihm und damit unserer Jugend alles Gute!	I wish him, and hence our young people too, every success.
