Herr Präsident! Herr Sakellariou, ich kann unmittelbar an Ihren Beitrag anschließen.	Mr President, Mr Sakellariou, I can immediately endorse what you have said.
Ich war ja auch im Oktober dort.	I was there in October.
Ich kann bestätigen, daß die militärische Gewalt die Probleme vor Ort nicht lösen konnte.	I can confirm that the military power could not resolve the problems on the spot.
Im Gegenteil, es bestätigt sich der alte Grundsatz: Gewalt erzeugt wieder Gewalt.	On the contrary, the old principle is being borne out: violence breeds violence.
Die internationale Gemeinschaft hat nämlich keine Lösung für den Kosovokonflikt, der nach wie vor existiert.	The international community in fact has no solution to the Kosovo conflict that exists just as it did before.
Der Konflikt ist nach wie vor da.	The conflict is there as it was previously.
Von der internationalen Seite her wird zwar gesagt: Kosovo ist Teil von Restjugoslawien, und wir schaffen eine multiethnische Gesellschaft.	The international community does say that Kosovo is part of the rest of Yugoslavia and we are creating a multi-ethnic society.
Aber die Wirklichkeit im Kosovo ist völlig anders.	But the reality in Kosovo is completely different.
Jeder, der dort ist, und jeder, der dort arbeitet, weiß das, auch die Behörden aus der EU.	Everyone who is there and everyone who works there knows that, and that includes the EU officials.
Die ehemalige UCK, Herr Sakellariou, ich kann das unterstreichen, fühlt sich als Sieger und durch die internationale hauptsächlich ökonomische Hilfe auch noch in diesem Sieg bestätigt.	The former KLA, Mr Sakellariou, I can stress, feels that it is the victor and, through the mainly economic international aid, feels that this victory is confirmed.
Alle Parteien deklarieren zwar theoretisch das Zusammenleben zwischen Serben, Roma und Albanern, aber praktisch herrscht in Pristina eine andere Situation.	All the parties theoretically declare that the Serbs, Roma and Albanians can live together but in practice the situation in Pristina is different.
Kyrillische Buchstaben gibt es dort nicht einen mehr.	You can no longer see the Cyrillic alphabet.
Sie sind alle vernichtet worden, denn die slawische Sprache darf dort nicht mehr gesprochen werden.	It has all been destroyed, because the Slav language may no longer be spoken.
Für alle Serben, die in Pristina leben, bedeutet das, sie können praktisch am öffentlichen Leben nicht mehr teilnehmen.	For all Serbs who live in Pristina this means that they can really no longer take part in public life.
Das ist Pristina, eine Stadt voller internationaler Organisationen!	This is Pristina, a city full of international organisations!
In Mítrovica sieht es noch viel schlimmer aus.	In Mítrovica the situation is much worse.
Die Stadt ist völlig geteilt, Tag für Tag völlig separiert. Alle multiethnischen Projekte, auch die der EU, sind genau daran gescheitert.	The city is completely divided and is becoming more markedly so day by day.
Woran liegt das?	Why is that?
Das liegt schlichtweg daran, daß wir uns nur auf ökonomische Hilfe konzentrieren und die entscheidenden Dinge vergessen, nämlich das Einüben von Toleranz, das Einüben von Demokratie und die Hilfe im sozialen Bereich.	The reason is simply that we only concentrate on economic aid and forget the crucial things, that is to say, the practise of tolerance, the practise of democracy and aid in the social field.
Dafür gibt es vor Ort keine zugänglichen Gelder.	There is no money available for these things on the spot.
Herr Kouchner weiß, daß der Aufbau im Kosovo genau an der Frage des Schutzes der Minderheiten scheitern wird.	Mr Kouchner knows that reconstruction in Kosovo will fail on the very matter of the protection of the minorities.
Er bekommt von der EU da keine Hilfe.	He is not receiving any help from the EU in that regard.
