Herr Präsident, meine Damen und Herren! Ich widerspreche Ihnen energisch, Herr Kollege Oostlander.	Mr President, ladies and gentlemen, I vigorously contest what Mr Oostlander has said.
Ich fand die Schilder hinter mir auch nicht besonders gut, aber Sie sollten sich - gerade weil Ihre Fraktion ja weniger Schilder hoch hält - mit Ihrem Kollegen Helmer unterhalten. Er hat hier nämlich ein Schild hoch gehalten, auf dem 'Blitzkrieg' stand.	I did not think much of the placards behind me either, but - particularly as their group has fewer placards on display - he should have a word with his colleague Mr Helmer, who held up a placard bearing the word 'Blitzkrieg'.
Nun kann jeder seine geistige Haltung mit Schildern zum Ausdruck bringen. Herr Helmer hat das heute getan, des Geistes Kind scheint er ja zu sein, der Leute, die diese Schilder schon einmal hoch gehalten haben.	Now, anyone can use placards to express his intellectual stance, and Mr Helmer has done so today, seeming to be the intellectual heir of the people who once held such placards aloft.
Und wenn Sie Max van der Stool zitieren und sagen, die Grundlage ist nicht immer überzeugend, aber moralisch ist die Tat gerechtfertigt, dann wird umgekehrt ein Schuh draus: nur wenn die Grundlage wirklich überzeugend ist, dann ist auch die Aktion gerechtfertigt.	Mr Oostlander, if you quote Max van der Stoel and say that the basis may not be convincing, but that, in moral terms, the action is justified, you can also try putting it the other way round and saying that an action is justified only if it is taken on a truly convincing basis.
Wenn es den leisesten Zweifel gibt, dann nehmen Sie die Verantwortung auf sich, Menschenleben zu riskieren.	If there is even a whisper of doubt, you are assuming responsibility for endangering human lives.
Krieg muss immer das letzte Mittel der Politik sein. Solange es aber noch Zweifel in der Politik gibt, kann der Krieg nicht das letzte Mittel sein.	War must always be the last resort of politics, but it cannot be the last resort as long as the policy is a matter of doubt.
Wenn es je einen Krieg gab, der vermeidbar gewesen wäre, dann war es dieser.	If ever there were an avoidable war, this one is it.
Es ist wenige Tage her, meine Damen und Herren, da hatten wir die Option vor Augen, auf der Grundlage zweier seriöser Diplomaten und ihrer Berichte zu entscheiden, die von Herrn Blix und Herrn El Baradei.	A few days ago, ladies and gentlemen, we were presented with the option of coming to a decision on the basis of reports from two respectable diplomats, Mr Blix and Mr ElBaradei.
Die sagten, bzw. Herr El Baradei sagte: Es gibt keine Atomwaffen, wir haben keine gefunden! Und Herr Blix sagte: Meine Aktion ist erfolgreich, wir können, wenn wir noch wenige Monate bekommen, auf friedlichem Weg den Irak entwaffnen.	They said, or rather Mr ElBaradei said, that there were no nuclear weapons, and that they had found none, and Mr Blix said that his mission had been successful and that we could, given a couple more months, disarm Iraq peacefully.
Das waren ja keine Radikalsozialisten, die beiden Herren, die das vorgeschlagen haben, auch keine anti-amerikanischen Wortführer, sondern hochseriöse Diplomaten der Vereinten Nationen, die uns den friedlichen Weg gezeigt haben. Es gab im Weltsicherheitsrat eine Mehrheit für diesen Weg.	The two gentlemen who made these proposals were not radical socialists, nor were they anti-American agitators; on the contrary, they are thoroughly respectable diplomats from the United Nations, and were showing us a peaceful way ahead, for which there was a majority in the Security Council.
Es gab aber eine Minderheit, der hätte der Papst auch den apostolischen Segen erteilen können, sie hätte trotzdem für diesen Krieg gestimmt, weil sie keine Koalition der Willigen, sondern eine Koalition der Mutwilligen geschlossen hatte, die diesen Krieg unter allen Umständen wollte.	There was, though, also a minority, to which the Pope could have given his apostolic blessing, had they nonetheless voted for this war because they had forged a coalition - not of the willing, but of the wilful - which wanted this war to happen come what may.
Ich spreche vielen Kolleginnen und Kollegen hier in diesem Hause nicht ab, dass sie aus tiefer innerer Überzeugung glauben, dass dieser schäbige Diktator nur mit militärischer Gewalt zu beseitigen ist.	I am not impugning the many Members here in this House who believe, on the basis of profound inner conviction, that this tinpot dictator can be got rid of only by the use of armed force.
Das kann man so sehen, das ändert aber nichts an der Tatsache, dass die beiden von mir zitierten Herren uns den friedlichen Weg gezeigt haben, und ich habe alle hier in diesem Hause, auch aus Ihrer Fraktion, Herr Poettering, gehört, die gesagt haben, das sei der richtige Weg.	That is one way of looking at things, but not in the least does it alter the fact that these two gentlemen I have quoted showed us a peaceful way forward, and I have heard all those in this House - including those in your group, Mr Poettering - who have said that this was the right way to go.
Wenn dies der richtige Weg gewesen wäre, warum bringen Sie dann nicht den Mut auf zu sagen, der Krieg ist der falsche Weg?	If this was the right way to go, why do you not summon up the courage to say that the war is the wrong way?
Das wäre nämlich die logische Konsequenz daraus.	That, after all, would be the logical conclusion to come to.
Ich sage es noch einmal: Diejenigen, die gegen jede Vernunft diesen Weg gegangen sind, tragen auch die Verantwortung für die blutigen Konsequenzen, die dieser Weg mit sich bringt. Und über die Konsequenzen werden wir alle noch lange reden, weil wir alle unter diesen Konsequenzen leiden werden.	Let me say again that those who defy all reason by going down this road also bear the responsibility for the bloody consequences along the way - consequences about which we will all be talking for a long time yet, because we will all be suffering from them.
