Frau Präsidentin, ich habe eine persönliche Erklärung.	Madam President, I wish to make a personal statement.
Ich habe gegen den Vorschlag von Herrn Rothley gestimmt, weil ich es bedauere, daß wir das Ratsdokument nicht angenommen haben. Wir haben somit die große Chance verpaßt, am Ende der Legislaturperiode endlich ein Statut zu erreichen.	I voted against Mr Rothley's proposal because I am sorry we did not accept the Council document, which meant that we missed a major opportunity finally to obtain a statute at the end of this legislative term.
Sie alle wissen, wie schwierig es ist, in der neuen Periode ein Statut voranzubringen.	You all know how difficult it will be to make progress on a statute during the new term.
Es ist geradezu unmöglich.	It will be wellnigh impossible.
Ich befürchte, daß durch das Vorgehen des Parlaments nur ein Verschiebebahnhof entstanden ist.	I fear that Parliament's action has merely relegated the Statute to a kind of shunting yard.
Ich fand es richtig, daß wir endlich Bewegung in das Statut bekommen, und die Aussage "Gleiches Geld für alle" betrifft genausogut den Ministerrat; auch er macht gleiche Arbeit und hat unterschiedliche Gehälter.	I thought it was right for us finally to get some movement into the Statute, and the words 'equal pay for all' apply just as much to the Council; its members also do the same work but have different salaries.
Es gibt Hunderte von Journalisten, die die gleiche Arbeit machen und unterschiedliche Gehälter haben.	There are hundreds of journalists who do the same work for different pay.
Ich fand den Kompromiß tragfähig, auch wenn er - was natürlich nicht gut ist - bedeutet hätte, daß schwedische, dänische und britische Abgeordnete nach einheimischen Regeln besteuert worden wären.	I regarded the compromise as viable even if - which is not, of course, a good thing - it would have meant that Swedish, Danish and British Members were taxed under their national rules.
Ich habe aber den Eindruck gewonnen, daß es hier darum gar nicht ging, sondern daß es darum ging, das Abgeordnetenstatut weiter auf den Verschiebebahnhof zu bringen.	But I got the impression that was not the issue at all; rather it was to go on relegating the Statute for Members to the shunting yard.
Das habe ich sehr bedauert.	I very much regretted that.
Daher habe ich gegen die Vorgabe von Herrn Rothley gestimmt und hätte gern für den Vorschlag des Rates gestimmt.	That is why I voted against Mr Rothley's proposal and would have liked to vote for the Council proposal.
