Herr Präsident Türk! Wir dürfen Ihnen für Ihre europäische Rede sehr herzlich danken.	Mr President, may we thank you very warmly for your European speech.
Ihre Anwesenheit und Ihre Rede haben zum Ausdruck gebracht, dass Slowenien und die Präsidentschaft Sloweniens mit Ministerpräsident Janus Janša - ich sehe zwei Minister hier: Janez Lenarčič und Janez Podobnik - eng mit dem Europäischen Parlament zusammenarbeiten wollen.	Your presence here and your speech have made it clear that Slovenia and the Slovenian Presidency under Prime Minister Janus Janša - and I see two ministers sitting here: Janez Lenarčič and Janez Podobnik - want to work closely with the European Parliament.
Sie als der Staatspräsident Sloweniens bringen dies in besonderer Weise zum Ausdruck.	As the President of Slovenia, you convey that message with particular resonance.
Unsere Erfahrung hier im Europäischen Parlament ist, dass es für den Erfolg einer Präsidentschaft nicht darauf ankommt, ob es sich um ein großes, ein mittleres oder ein kleines Land der Europäischen Union handelt, sondern von dem Geist, der diese Präsidentschaft leitet, abhängt.	Our experience here in the European Parliament has shown us that it is not the size of the country - small, large or medium-sized - that determines whether an EU Presidency will be successful; it is the spirit guiding the Presidency that counts.
Schon jetzt kann man sagen, dass Slowenien, weil es mit einem so europäischen Geist an die Arbeit geht - und auch Präsident Türk - mit dieser Präsidentschaft Europa voranbringen wird. Dafür möchten wir Ihnen herzlich danken.	I think we can safely say that because Slovenia - and its President - are motivated by such a European spirit, this is a Presidency which will take Europe forward, and we would like to express our warm thanks to you for that.
(Beifall)	(Applause)
Wir möchten Ihnen auch dafür danken, dass Sie unsere Prioritäten als Europäisches Parlament unterstützen, und ich will nur zwei von denen nennen, die Sie genannt haben.	We would also like to thank you for supporting the European Parliament's priorities. Let me mention just two that you have talked about.
Zum einen den Klimaschutz - wir werden unsere Arbeiten, wenn wir im Zeitplan bleiben, so abschließen, dass es für den Dezember-Gipfel der Vereinten Nationen im Jahre 2009 in Kopenhagen eine Position der Europäischen Union geben wird.	The first is climate protection. If we stick to the timetable, we will complete our work so that there is an EU position for the UN Summit in Copenhagen in December 2009.
Wir möchten Ihnen auch danken für Ihr Plädoyer für die Menschenrechte. Denn wenn wir als Europäisches Parlament uns nicht für die Menschenrechte einsetzen, wer soll es dann tun?	We would also like to thank you for your appeal for human rights, for if we, as the European Parliament, do not champion the cause of human rights, who will do so?
Die Regierungen lassen sich oftmals von Interessen leiten - was auch verständlich ist -, aber wichtig ist, dass wir Interessen und unsere Werte in kluger, den Menschen dienender Weise verbinden, und deswegen stehen die Menschenrechte im Zentrum unserer Politik.	So often, governments are guided by other interests - which is understandable - but we must find a way of dovetailing these interests and our values skilfully in a way which genuinely benefits people, and that is why human rights are at the heart of our policies here in the European Parliament.
Herr Präsident, herzlichen Dank für Ihren Besuch im Europäischen Parlament.	Mr President, thank you for visiting the European Parliament.
Sie werden ja noch einige Zeit bei uns bleiben.	You will be staying with us for a little longer.
Im Namen der Kolleginnen und Kollegen noch einmal ein aufrichtiges Wort des Dankes an Sie persönlich und an die slowenische Präsidentschaft.	Once again, on behalf of the House, may I express my sincere thanks to you personally and to the Slovenian Presidency.
Wir wünschen Ihnen allen Erfolg in dem Halbjahr, in dem Sie Europa, die Europäische Union führen.	We wish you every success for the rest of the six months during which Slovenia is at the helm of the European Union.
Wenn Sie erfolgreich sind, werden wir alle erfolgreich sein, d. h. die Europäische Union, dies ist unser gemeinsames Ziel.	If you succeed, we all succeed, and by that I mean the European Union. That is our common goal.
Herzlichen Dank.	Thank you.
Die feierliche Sitzung ist damit beendet.	That concludes the formal sitting.
