Herr Präsident, werte Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, the Lisbon Summit has bequeathed a great heritage.
Der Gipfel von Lissabon hat ein großes Erbe hinterlassen; er hat einen großen Auftrag formuliert und eine mutige Idee in die Welt gesetzt.	It defined a major task and disseminated a courageous idea: that by the year 2010 Europe will become the most competitive area in the world.
Europa will bis zum Jahr 2010 zum wettbewerbsstärksten Raum dieser Welt werden.	The summit placed its bets on the best Europe has to offer.
Der Gipfel hat dabei auf die beste Karte gesetzt, die Europa hat.	It stated that we are on the road towards full employment.
Er hat nämlich formuliert, dass wir dabei den Weg zur Vollbeschäftigung beschreiten und auf die Innovationskraft der Menschen in der Europäischen Union setzen wollen, auf die Fähigkeit, sich zu bilden, sich auszubilden, auf die Fähigkeit, ihre eigenen Geschicke in die Hand zu nehmen, und auf die Fähigkeit, für das eigene Wohl und das Wohl ihrer Familien Sorge zu tragen.	It also made it clear that we want to stake our hopes on the innovative power of the people of the European Union, on their ability to educate and train themselves, to take their destiny into their own hands, and to bring about their own prosperity and that of their families.
Dies ist die stärkste Produktivkraft, die Europa verfügbar machen kann.	This is the strongest productive force that Europe can release.
Diese Kernidee führt konsequenterweise zu einem politischen Ansatz, der sagt: Wirtschaftsreform, soziale Teilhabe, sozialer Zusammenhalt und Beschäftigungsförderung gehören zueinander.	This central idea logically leads to a political approach which says that economic reform, social involvement, social cohesion and job creation go hand in hand.
Sie sind wechselseitige Bestandteile ein und desselben Prozesses auf diesem Erfolgswege, und sie müssen sich unterstützen.	They are interacting facets of one and the same process along this path to success, and they must be of mutual support.
Sie können nicht gegeneinander ausgespielt werden.	They must not be played off against each other.
Dies ist für manchen von uns eine Herausforderung im Denken.	For many of us this is a challenge to our way of thinking.
Viele, die ein Leben lang dafür gearbeitet haben, dass es einen gemeinsamen liberalisierten Markt gibt, werden ein Stück Weg im Kopf gehen müssen, um zu realisieren, dass erst sozialer Zusammenhalt und Beschäftigungspolitik die soziale Produktivität entfalten, mit der der gemeinsame Markt gelingen kann.	Many people who have striven their entire lives to achieve a common liberalised market will have to make some mental effort to realise that only social cohesion and employment policies can produce the social productivity which will make the common market a success.
Andere, die ein Leben lang stolz waren auf die Errungenschaften der Mitgliedstaaten, werden ein Stück Weg gehen müssen im Kopf, um zu realisieren, dass der große neue gemeinsame Markt auch gemeinsame Anstrengungen und neue Regeln erfordert, damit der Erfolgsprozess auch überall verwirklicht werden kann.	Others, who have prided themselves all their lives on the achievements of the Member States, will also have to make some mental effort to realise that the new enlarged common market calls for concerted efforts and new rules to ensure that the process to achieve success can be implemented everywhere.
