Herr Präsident! In einem Punkt hat uns dieser Frühjahrsgipfel wieder Hoffnung eingehaucht.	– Mr President, in one respect this Spring Summit has given us renewed hope.
Wir können sagen: „Leinen los, volle Fahrt voraus mit dem europäischen Verfassungsschiff!“ Ich hoffe sehr, dass es auch in den kritischen Punkten, die hier von den anderen heute schon angesprochen worden sind, ein gutes Ende nehmen wird.	We can say: ‘Ropes away, full steam ahead with the good ship !’ I very much hope that it will be possible to find a satisfactory solution to the critical points that have already been mentioned by others here today.
Denn wir brauchen diese europäische Verfassung, um deutlich zu machen, Europa ist nicht nur ein Markt, wir sind nicht nur eine Wirtschafts- und Währungsunion, wir haben nicht nur eine einheitliche Währung, nein, wir wollen auch als Werte- und Rechtsgemeinschaft einheitlich sprechen.	The fact is that we need this European Constitution in order to make it clear that Europe is not only a market, that we are not just an economic and currency union, and that not only do we have a single currency, but we also want to speak with one voice as a Community of values and rights.
Einheitlich sprechen müssen wir auch in einem anderen Bereich, wo mir die Vielstimmigkeit viel zu groß ist.	We must also speak with one voice in another area, in which the diversity of voices is much too great.
Noch ist die Lissabon-Strategie zwar nicht verloren.	The Lisbon strategy is not yet lost.
Es geht uns weiter um nachhaltiges Wachstum, um Vollbeschäftigung und sozialen Zusammenhalt.	We are still interested in sustainable growth, full employment and social cohesion.
Aber wir sind von den Zielen, die wir uns selbst gesetzt haben, weit entfernt: Der Konjunktur-Frühling lässt auf sich warten, wir haben eine Massenarbeitslosigkeit mit über 14 Millionen Arbeitslosen, mehr als 55 Millionen Menschen leben an der Armutsgrenze, und wenn wir uns die Investitionen anschauen, dann muss in Europa wirklich von einem „Investitionsattentismus“ gesprochen werden.	However we are far from the objectives which we have set ourselves: the economic spring has not yet arrived, we have mass unemployment with more than 14 million people unemployed, and more than 55 million people are living on the edge of poverty, and, if we consider investments, we must really speak of an ‘investment moratorium’ in Europe.
Die Binnennachfrage ist auch nicht angekurbelt. Sicherlich nicht nur aufgrund des Gefühls der Unsicherheit infolge der Globalisierung, aufgrund der Unsicherheit, wie es in Europa weitergeht, sondern auch aufgrund der Ängste durch die Terroranschläge lässt das Kaufverhalten der europäischen Verbraucher und Verbraucherinnen zu wünschen übrig.	Internal demand has not been stimulated either; certainly it is not just because of the feeling of uncertainty as a result of globalisation, or the uncertainty as to how Europe will advance, but also because of the fears of terrorist attacks, that European consumers’ willingness to buy leaves much to be desired.
Es ist auch das notwendige Stimulans nicht vorhanden, um tatsächlich das Produktionswachstum zu erreichen, das wir nur über eine höhere Erwerbsquote, also über eine Senkung der Arbeitslosigkeit, in der Europäischen Union durchsetzen können.	We also lack the necessary stimulus actually to achieve production growth, which we can implement only through a higher purchasing rate, that is to say, through a reduction of unemployment, in the European Union.
Die europäische Wirtschaft braucht eine neue Dynamik.	The European Union needs a new dynamism.
Selbst wenn es so sein sollte, dass morgen die Europäische Zentralbank angesichts der niedrigen Inflationsraten und des geringen Geldmengenwachstums ihren Spielraum nutzt und die Zinsen senkt, wird das auch nicht reichen.	Even if it were to be the case that tomorrow the European Central Bank, in view of the low inflation rates and the low growth of money supply, were to use its scope for manoeuvre and reduce interest rates, even that would not be sufficient.
