Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!	Mr President, Commissioner, ladies and gentlemen.
Seit 1985 gibt es in diesem Parlament Alarmrufe, um auf die Existenzbedrohung der europäischen Imkerei hinzuweisen.	This Parliament first raised the alarm about the threat to European beekeeping in 1985.
1992, 1995, 1997 haben wir hier in meist einstimmig angenommenen Entschließungen konkrete, vernünftige, bezahlbare und auch juristisch haltbare Vorschläge für Direktbeihilfen gemacht, um die europäische Bienenzucht, die sich trotz rosaroter Statistik in der Kommission in einer regelrechten Krise befindet, zu retten.	The resolutions which we passed in 1992, 1995 and 1997 - mainly unanimously - contain specific, reasonable, affordable and legally tenable proposals for direct aid to save the European beekeeping industry which, the rosy Commission statistics notwithstanding, is in a state of real crisis.
Es geht uns nicht vordergründig darum, für den Konsum von Qualitätshonig unserer Imker einen höheren Selbstversorgungsgrad über die derzeit knapp 50 % zu erreichen.	Our primary concern is not to increase the self-supply rate for quality honey from our beekeepers, which is currently just below 50%.
Nein!	No.
Es geht uns um die Bestäubung von über 80 000 Kultur- und Wildpflanzen, die EU-weit zu gewährleisten ist.	What we are concerned with is guaranteeing that the 80 000 wild and cultivated plants across the European Union will be pollinated.
Diese ist in der Tat bedroht durch die Besorgnis erregende Abnahme der Zahl der Imker, von denen die Hälfte auch noch über 60 Jahre alt ist und die in verschiedenen Regionen wirklich dramatisch ist.	This is currently under threat as a result of the worrying decline in the number of beekeepers, more than half of whom are over 60 years old, and really has reached crisis point in certain regions.
Es ist eigentlich sagenhaft, dass wir es trotz unserer Geduld und Hartnäckigkeit, welche die Sprecher aller Fraktionen dieses Hauses seit 1985 an den Tag gelegt haben, nicht geschafft haben, der Kommission die Einsicht zu vermitteln, dass sie erkennt, dass ihre halbherzige Politik aufgrund der koffeinfreien Verordnung aus 1997 dringend zu verbessern ist, wenn wir die durch die Krise in der Bienenzucht drohende Gefahr für das Gleichgewicht des europäischen Ökosystems abwenden wollen.	It is truly amazing that, despite the patience and determination of the spokesmen of all the groups in this Chamber since 1985, we have not managed to bring the Commission to its senses and make it realise that its half-hearted policy based on the wishy-washy 1997 regulation urgently needs to be improved if we are to avert the threat to the balance of the European ecosystem from the beekeeping crisis.
Es ist unverständlich, ja ärgerlich, dass trotz ihres Berichtes über die unbefriedigende Durchführung der unzureichenden Maßnahmen aufgrund der halbherzigen Verordnung von 1997 die Kommission weiterhin untätig bleiben will, obwohl sie anerkennt, dass die europäische Bienenzucht mit wachsenden Schwierigkeiten zu kämpfen hat.	It is incomprehensible, nay irritating in the extreme, that the Commission persists in doing nothing, despite its report on the unsatisfactory implementation of the inadequate measures based on the half-hearted 1997 regulation and despite its acknowledgement that European beekeeping has to contend with increasing difficulties.
Diese, entschuldigen Sie, Herr Kommissar, absurde Verbohrtheit können wir nicht länger hinnehmen.	With all due respect, Commissioner, we can no longer accept this absurd obduracy.
Die Kommission sollte zur Einsicht kommen.	The Commission needs to come to its senses.
