Frau Präsidentin! Ich möchte zuerst etwas zu der Frage von CO2 sagen.	Madam President, I should like to start by saying something about the CO2 question.
Ich bin sehr erstaunt, daß die Kommission uns eine Mitteilung über die Frage der CO2 -Problematik bei der Automobiltechnik vorgelegt hat.	I am quite amazed that the Commission should send us a communication about the matter of the CO2 problems in car engineering.
Ich war eigentlich der Auffassung, daß es ein klassischer Bestandteil des Auto-Öl-Programms ist.	Because I was actually under the impression that this was a classic part of the auto-oil programme.
Wenn man dann ihr Programm durchliest, dann weiß man auch, warum das nicht Bestandteil des Auto-Öl-Programms ist, weil sie nämlich nichts vorschlägt, bis auf die Tatsache, daß sie glaubt, die freiwillige Vereinbarung sei gerade in diesem Bereich, ausgehend von Europa, der Königsweg.	But if you read through the Commission's programme then you find out why it isn't part of the auto-oil programme, because the Commission is not actually proposing anything except to say that it believes a voluntary agreement is the panacea in this particular sector, starting from Europe.
Das kann er ganz sicherlich nicht sein, denn zu freiwilligen Vereinbarungen gehören ordnungsrechtliche Rahmendaten, und die schlagen sie nicht vor.	That can't possibly be right, because voluntary agreements need framework data provided by administrative law, and the Commission proposes no such data.
Ich kann nur davor warnen, daß freiwillige Vereinbarungen ohne diese Rahmendaten in Europa etabliert werden.	I must sound a warning note against introducing voluntary agreements without these framework data in Europe.
Das genau wird zu den großen Wettbewerbsverzerrungen führen, die wir fürchten, und mit Recht.	That is precisely what will lead to the serious distortions of competition that we rightly fear.
Deswegen gehören freiwillige Vereinbarungen im höchsten Falle an das Ende der Skala.	At the most, then, voluntary agreements come at the end of the scale.
Da könnte ich mir das sehr gut vorstellen.	Then I could quite well image such things.
Wir brauchen einen Stufenplan für Grenzwerte, was CO2 anbelangt, über das Jahr 2005 bis zum Jahre 2010.	We need a phased plan for limit values, as far as CO2 is concerned, going beyond the year 2005 and as far as the year 2010.
Ich könnte mir vorstellen, daß steuerliche Anreize hier ein Weg sind.	I could imagine that tax incentives might be a way forward here.
Das Automobilkonzept hat gut angefangen.	The car concept has got off to a good start.
Wir haben die Kontrahenten an einen Tisch gebracht.	We have been able to get the contracting parties sitting round a table.
Wir haben die Automobilindustrie in den letzten Jahren hart an die Kandare genommen, und ich bin der Meinung, sie hat viel getan.	We have been giving the car industry a hard time in recent years, and I think the industry has done a great deal.
Zu einem Tango gehören aber nun einmal zwei; dazu gehörte die Ölindustrie, und die hat diesen Tango nur eine Zeit lang mitgemacht, Herr Kommissar.	But it takes two to tango, and the oil industry dropped out of the dance after a while, Commissioner.
Dann ist diese Partnerschaft zerbrochen, und das Ergebnis dieser zerbrochenen Partnerschaft liegt vor Ihnen: Ein langweiliges Auto-Öl-Konzept, das nicht in die Zukunft führt.	That broke the partnership, and the result of the broken partnership lies before you: a boring auto-oil concept that leads nowhere.
Wir sind wie ein Tiger gestartet, und die Kommission ist mit einem wirklich kläglichen Papier wie ein Bettvorleger gelandet.	We took off like a tiger, and the Commission's truly lamentable paper has turned our tiger into a rug.
Das darf nicht Ziel dieses Parlaments sein.	That must not be the aim of this Parliament.
Wir werden dieses Auto-Öl-Programm in den von vielen Kollegen korrigierten Punkten so hinstellen, daß wir glauben, daß es Perspektiven für die Zukunft darstellt.	We will change this auto-oil programme, with the corrections made by so many Members, until we think it holds some promise for the future.
Ich bin sehr wohl bereit, über Übergangszeiten mit mir reden zu lassen.	I am perfectly willing to talk about transition periods.
Die Parameter für die Abgaswerte, auch für die Kraftstoffwerte, müssen hergestellt werden.	The parameters for the exhaust values, and for the fuel values, must be met.
Ich bin aber sehr wohl bereit, denjenigen Ländern, die heute und morgen diese Parameter so schnell nicht einstellen können, Übergangsfristen zuzugestehen.	But I am quite prepared to grant transitional periods to those countries, now and in the future, that cannot meet the parameters quite as quickly.
Was war eigentlich die Triebfeder dieses Programmes?	What was the actual driving force behind this programme?
Ich kann nur erkennen, daß shareholder value die Triebfeder dieses Programmes war.	As far as I can see, it seems to have been shareholder value.
Wir werden dafür sorgen, daß Zukunft und Innovation die Triebfeder für dieses Programm werden.	We will change this programme so that the driving force behind it is the future and innovation.
