Herr Präsident, werte Präsidenten! Dieser Wiener Gipfel brachte wenige konkrete Ergebnisse.	Mr President, ladies and gentlemen, this Vienna summit has brought few concrete results.
Ob dies ein Gipfel der Weichenstellung war, wird wohl die Zukunft weisen.	Whether this was a summit that set a new course, only the future can tell.
Daß nicht alles zu schaffen war, was sich die Ratspräsidentschaft vorgenommen hat, möchte ich ihr nicht zum Vorwurf machen.	I would not wish to reproach the presidency of the Council for not being able to achieve everything it set out to achieve.
So ist es verständlich, daß das schwierige und kontroverse Paket der Agenda 2000 nicht zu einem Abschluß gebracht werden konnte.	It is understandable that the difficult and controversial package of Agenda 2000 could not be brought to a conclusion.
Mit der Agenda 2000 geht es doch auch um Interessen statt Visionen.	After all, Agenda 2000 concerns interests rather than visions.
Das macht die Sache so schwierig, so daß eine politische Entscheidung wohl in einer - wie es manche Kommentatoren nannten - " Nacht der langen Messer" fallen wird.	That is what makes things so difficult, and it means that a political decision will probably be taken in what some commentators have called the 'night when heads start to roll'.
Die Enttäuschung von Wien zeigt sich in anderen Bereichen, vor allem in der Frage der Beschäftigung.	The disappointment of Vienna is reflected in other areas too, especially employment.
Die Wiener Strategie benennt zwar als oberste Priorität die Frage der Beschäftigung, sie zeichnet sich aber durch einen Mangel an konkreten Vorschlägen aus.	The Vienna strategy may well designate employment as the top priority, but it is marked by a paucity of concrete proposals.
Qualitative und quantitative Ziele wurden nicht festgelegt.	No qualitative or quantitative objectives were fixed.
Seit Luxemburg also nichts Konkretes.	So there has been nothing concrete since Luxembourg.
Frei nach dem Motto "Was wir jetzt nicht schaffen, das vertagen wir eben auf das nächste Mal" hat das Wiener Treffen letztlich ein Ergebnis gebracht: Es hat die Tagesordnung der darauffolgenden Treffen festgelegt.	Freely following the motto 'what we cannot do now we shall put off till later', the Vienna meeting did in the end produce one result: it fixed the agenda for the next meeting.
Für 17 Millionen Arbeitslose ist dies eine dürftige Antwort.	That is a rather miserable result for 17 million unemployed.
Die zurückhaltenden Kommentare der sozialdemokratischen Familie Europas dürften für diese Arbeitslosen wohl kein Trost sein.	The guarded comments of the social democratic family of Europe are unlikely to offer much consolation to the unemployed.
