Frau Präsidentin!	.
Ich möchte zunächst einmal der Berichterstatterin gratulieren! Sie hat die richtigen Akzente gesetzt, was dazu geführt hat, dass der Finanzrahmen angehoben wurde.	Madam President, I should like to start by congratulating the rapporteur, who, by focussing on the right issues, has secured an increase in funding.
Allerdings heißt mehr Geld nicht automatisch ein besseres Programm.	It must not be assumed, however, that more money automatically means a better programme.
Ich habe dem Kommissar in einer Sondersitzung in Straßburg sehr aufmerksam zugehört, als er zum ersten Mal über seine persönlichen Erfahrungen mit diesem mehrjährigen Mittelstandsprogramm gesprochen hat.	I was present at the special meeting held in Strasbourg when the Commissioner spoke for the first time about his personal experience of this multiannual programme for SMEs, and I paid very close attention to what he had to say on the matter.
Zusammengefasst hat er gesagt, er sei schockiert über die umständlichen Antragsverfahren, zumal es doch um Innovation gehe.	In a nutshell, he said that he had been shocked to learn of the cumbersome application process, particularly in view of the fact that the programme was intended to boost innovation.
Er sei schockiert, dass nicht vor allem die bedürftigen kleinen und mittleren Unternehmen in den Genuss kommen, sondern die findigen Unternehmen, die sich mit den Programmen gut auskennen und daher das Geld bekommen.	He had also been shocked to discover that the main recipients of funding were not the small and mediumsized enterprises that needed it most, but resourceful enterprises that knew the ins and outs of the programmes and were therefore granted money.
Deshalb müssten aus seiner Sicht die Programme gestrafft werden.	In his opinion, it is for this reason that the programmes ought to be made more rigorous.
Ich gratuliere Ihnen, Herr Kommissar. Sie haben bei Ihrer Auswertung Recht.	I should like to congratulate the Commissioner, as his analysis is entirely correct.
Es ist gut, dass es in diesem Bereich jetzt offenbar ein Umdenken gibt, und Ihnen gebührt Dank, dass Sie den Mittelstand ins Zentrum der Wachstumsinitiative und der Initiative für mehr Wettbewerbsfähigkeit rücken.	I am glad to see that there appears to have been a shift in thinking on this matter, and he deserves thanks for having made SMEs the focus of initiatives for growth and increased competitiveness.
Wir werden Sie unterstützen, wenn Sie von Ihren Beamten zudem verlangen, dass Programme nicht nur aus Bürokratiegründen oder wegen des schönen Namens bestehen, sondern dass sie tatsächlich die Bedürftigen, den Mittelstand in den Mittelpunkt rücken.	We will be right behind him if he goes on to demand of his officials that programmes should exist not merely for bureaucratic reasons or because they have impressive names, but only if they concentrate on SMEs, or in other words on those enterprises that are in need of help.
Schluss mit Programmen nur ihrer Namen wegen, und her mit ganz klaren Innovationsstrategien für KMU! Her mit neuen Formen der Finanzierung!	We have had enough of programmes that are nothing more than fancy names; what we need now are clear and innovative strategies for SMEs and new forms of financing.
Die Programme werden ja nun künftig im ZIP zusammengefasst.	In future, these programmes will be combined in the Competitiveness and Innovation Programme.
Das ist ein konsequenter und ein richtiger Ansatz. Insbesondere ist gut, dass es eine Parallelität zum siebten Forschungsrahmenprogramm gibt.	This is both a consistent approach and a step in the right direction, and I particularly welcome the fact that parallels will exist between this Programme and the Seventh Research Framework Programme.
Aber wir dürfen die Fehler der Vergangenheit nicht fortsetzen, auch wenn wir jetzt alles unter einem neuen Mantel zusammenfassen.	We must not repeat past mistakes, however, even if everything is now to be combined in a new document.
Entscheidend ist doch, dass am Ende Wachstum steht und Jobs Vorrang haben, und nicht irgendeine ideologische Befriedigung von politischen Gruppierungen.	What matters is that growth and jobs are the ultimate goals, rather than the ideological gratification of political groups.
Wir laufen allerdings Gefahr, dass genau das im ZIP passiert, wenn wir uns zum Beispiel die starke Konzentration auf Ökoinnovation und auf Energieeffizienz anschauen.	Yet we are running the risk of this being precisely what happens in the case of the CIP; one need only look at the heavy emphasis on ecoinnovations and energy efficiency for proof of this.
Das muss noch einmal hinterfragt werden. Ich werde das als Berichterstatter auch ein wenig tun.	More questions need to be asked in this respect, and I will be able to ask some of these in my capacity as rapporteur.
Wir stehen vor der Verabschiedung neuer Finanzieller Vorausschau, und in allen Ländern Europas schauen die Menschen immer mehr auf das Geld.	We are about to adopt a new Financial Perspective, at a time when the citizens of all the EU Member States are being increasingly careful with their money.
Sie werden uns – dem Gesetzgeber – nicht verzeihen, wenn wir jetzt nicht die Chance nutzen und – anstatt ideologischer Auseinandersetzungen – auf eine klare Förderung des Mittelstandes, auf Vorrang für mehr Jobs setzen.	They will regard it as unforgivable if we, their legislator, miss the opportunity now available to us to opt for the provision of real support to SMEs and for priority to be given to creating more jobs, and if we instead indulge in ideological disputes.
