Herr Präsident, Herr Kommissar, verehrte Kolleginnen und Kollegen!	Mr President, Mr Commissioner, ladies and gentlemen.
Ich halte es für wichtig, daß der Beitrag der Kultur für die regionale Entwicklung wie in dieser Mitteilung immer deutlicher gemacht wird.	I believe it is important that the part played by culture in regional development, as highlighted in this report, is always understood.
Artikel 128(4) des Vertrags verpflichtet die Gemeinschaft, den kulturellen Aspekten bei ihrer Tätigkeit Rechnung zu tragen.	Article 128(4) of the treaty requires that the Community pay regard to the cultural aspects of its duties.
Erst vor wenigen Wochen fragten mich deutsche Studenten der Universität Witten nach den Möglichkeiten der Verwirklichung folgender Maxime: Wie können wir es schaffen, daß der Aspekt der Kultur bei den Aktivitäten der Europäischen Union beachtet wird?	Only a few weeks ago German students at Witten University asked me about the possibility of realizing the following question: How can we make it possible for culture to be recognized amongst the activities of the European Union?
Ist es überhaupt immer sinnvoll, die Kultur zu beachten, selbst wenn es sich um vorwiegend wirtschaftliche Fragen handelt?	Is it, indeed, always reasonable for culture to be considered, even when the main concern is for economic aspects?
Dieser Bericht zeigt, daß es durchaus Gebiete, wie eben die Strukturpolitik gibt, in denen zwar die Kultur auf den ersten Blick keine Bedeutung zu haben scheint, bei näherem Hinsehen ihr Einfluß allerdings deutlich wird.	This report shows that there are indeed areas, as shown in the structural policy, in which culture may not at first glance appear to play a role, but in which closer inspection shows it to have a clear influence.
Darüber hinaus hat sich gezeigt, daß die Kulturprojekte durchaus mit den Zielvorstellungen der Kohäsions- und Entwicklungsprogramme vereinbar sind.	It has been shown, furthermore, that cultural projects are thoroughly compatible with the aims of the cohesion and development plans.
Die Kultur kann nach den derzeitigen Regelungen nur dann in Betracht gezogen werden, wenn sie Bestandteil regionaler oder lokaler Entwicklungsvorhaben zur Schaffung dauerhafter Arbeitsplätze ist.	According to current regulations culture can only then be considered when it is part of the regional or local development plans for the creation of permanent jobs.
Die Entwicklung unserer Gesellschaft zeigt, daß Dienstleistungen und Mobilität immer mehr an Bedeutung gewinnen.	The development of our society shows that services and mobility continue to grow in importance.
Durch mehr Freizeit und höhere Ansprüche steigt die Nachfrage nach kulturellen Aspekten im Tourismus stetig.	The demand increases constantly for cultural aspects of tourism, because of ever more leisure time and raised expectations.
Der kulturelle Sektor ist also auch auf anderen Gebieten, wie etwa im Medienbereich, ein besonders dynamischer Bereich der Dienstleistungswirtschaft, der auch positiv zur Beschäftigung beitragen kann.	The cultural sector is, therefore, in other areas, such as in the media, a particularly dynamic part of the service industries that can also play a positive part in employment.
Dennoch dürfen wir nicht vergessen, daß Kulturmaßnahmen in der Regel vorwiegend indirekte Auswirkungen auf die Beschäftigung haben.	We should not forget, however, that cultural measures have a mainly indirect effect on employment.
Es ist daher fraglich, ob sie ebenso wirksam für das Beschäftigungsziel sein können wie direkte investive Maßnahmen.	It is questionable, therefore, if they can be as effective for employment as are direct investment measures.
In der Programmförderung der Strukturfonds ist es Aufgabe der Mitgliedstaaten und Regionen, die Förderung des Bereichs Kultur im Rahmen ihrer Gesamtförderung zu gewichten.	According to the programme support of the structural funds, it is the role of the Member States and regions to give due weight to the enhancement of culture within the framework of over-all support.
Auch in Zukunft muß es nach dem Subsidiaritätsgrundsatz den Mitgliedstaaten und Regionen überlassen bleiben, wie sie ihre Gewichtung von Kulturaktivitäten vornehmen.	In accordance with the subsidiarity principle it must also be left in future to Member States and regions as to how they value cultural activities.
