Herr Präsident, uns liegen heute fünf Berichte vor, über die wir zu befinden haben.	Mr President, today we have before us five reports on which we have to rule.
Vier betreffen die internationalen Abkommen, ein Bericht betrifft, wie wir bereits gehört haben, die Kontroll- und Erhaltungsmaßnahmen in der Antarktis.	Four concern the international agreements and, as we have already heard, one concerns conservation and control measures in the Antarctic.
Der für die Fischereipolitik wichtige Aspekt der internationalen Abkommen kommt in der Entschließung des Europäischen Parlaments vom Mittwoch dieser Woche zum Vertrag von Amsterdam zur Sprache, auch aufgrund des Drucks des Ausschusses für Fischerei.	The aspect of the international agreements which is relevant to fisheries policy is expressed in the decision of the European Parliament taken on Wednesday of this week concerning the Treaty of Amsterdam, which was also prompted by pressure from the Committee on Fisheries.
Es wird gefordert, daß endlich das Verfahren der Zustimmung auf alle wichtigen internationalen Abkommen angewendet werden muß.	What is required is for the assent procedure to be applied to all major international agreements once and for all.
Daß wir bisher nur angehört werden, hat uns die effiziente Arbeit - Frau Bonino und andere - sehr erschwert und in manchen Fällen gar unmöglich gemacht.	The fact that previously we were only listened to made it difficult, and in many cases impossible, for us - Mrs Bonino and others - to work efficiently.
Ich gebe gerne zu, auch Dank Ihrer Persönlichkeit, Frau Bonino, hat sich die Situation in der Vergangenheit verbessert, vor allem in bezug auf die Informationen, die jetzt wesentlich schneller zu uns gelangen.	I am pleased to admit that, mainly thanks to the force of her personality, Mrs Bonino has improved the situation in the past, especially with regard to information which now reaches us much more quickly.
Es ist aber weiterhin wahr, daß es einen wirklichen Einfluß des Europäischen Parlaments bei Fischereiabkommen mit Drittländern nur geben kann, wenn das Zustimmungsverfahren als allgemeine Rechtsgrundlage gilt.	However, it continues to be the case that the only way the European Parliament can exert any real influence on fisheries agreements with third countries is if the assent procedure is regarded as a general legal basis.
Erst dann können wir mit den geeigneten Mitteln unsere gemeinsam erarbeiteten und vor kurzem vom Europäischen Parlament verabschiedeten Leitlinien zu Drittlandsabkommen in die Realität umsetzen.	Only then will we be able to use the proper means to implement the guidelines on third country agreements which were jointly worked out and recently adopted by the European Parliament.
Bevor uns eines Tages, früher oder später, eine weitere Regierungskonferenz ins Haus steht und uns hoffentlich dann größere Einflußmöglichkeiten beschert, können wir immerhin auf einen positiven Ausgang beim Europäischen Gerichtshof wegen der internationalen Abkommen - hier des internationalen Abkommens mit Mauretanien - hoffen.	Before, sooner or later, another Intergovernmental Conference is held and we hopefully gain greater influence here in this House, we can hope for a positive outcome at the European Court of Justice because of international agreements - in this case the international agreement with Mauritania.
Dies würde uns nun wirklich einen wesentlichen Schritt weiterbringen, wenn dann ein Urteil in unserem Sinne gefällt wird.	This would really be a big step forward if a judgement was given in our favour.
Das Ergebnis wird hoffentlich bald vorliegen, und wir erwarten es mit Spannung.	The result will hopefully be known soon and we look forward to it in eager anticipation.
In der Zwischenzeit müssen wir mit den Möglichkeiten arbeiten, die uns zur Verfügung stehen.	In the meantime we have to work with the options that are available to us.
Die beschränken sich zumindest formal auf Änderungsanträge des Ausschusses für Fischerei, die die Fraktion der Europäischen Volkspartei gerne mitträgt.	They are restricted, at least formally, to amendments from the Committee on Fisheries which the European People's Party group is pleased to support.
Die Änderungsanträge des Haushaltsausschusses allerdings können wir so nicht mittragen.	However, we are unable to support the amendments proposed by the Committee on Budgets.
Die Forderung nach rechtzeitiger Information und Beteiligung des Parlaments ist vom Grundsatz her richtig, und in Zukunft ist ein Blockadeverhalten unsererseits auch nicht mehr außer Sichtweite.	The requirement to inform and consult Parliament on time is right on principle and in future blocking measures by us are no longer out of the question either.
Es stellt sich jedoch die rechtliche Frage, ob wir in diesem Sinne auch in ein laufendes Abkommen und damit in das rechtmäßige Mandat der Kommission eingreifen können.	However, this raises the legal question whether we are entitled to encroach upon a current agreement and therefore the legal mandate of the Commission.
Aber etwas muß geschehen!	But something has to happen!
Deswegen bitte ich Sie, bei den ausstehenden Grundsatzfragen nicht zu kneifen.	I would therefore ask you not to climb down on the outstanding key policy issues.
Wir werden sonst von anderen auf die Füße getreten, und unser Haushalt droht, gekürzt zu werden.	Otherwise other people will be treading on our toes and our budget will be threatened with cuts.
Das wird schmerzen!	That will hurt!
Das müssen wir auf alle Fälle vermeiden!	We have to avoid it at all costs!
