Frau Präsidentin! Die revidierte Lissabon-Strategie zielt auf Wachstum und Beschäftigung.	Madam President, the revised Lisbon strategy aims at growth and employment.
Wir brauchen mehr Flexibilität und Wettbewerbsfähigkeit – einverstanden! Genau das findet sich jedoch im Bericht Cercas zur Arbeitszeitrichtlinie wieder, bei dem EVP-Kollege Silva Peneda und viele von uns an Kompromissen mitgearbeitet haben.	Granted, we need to become more flexible and more competitive, but that is precisely what we find in the Cercas report on the Working Time Directive, and in the compromises on which my colleague Mr Silva Peneda and others from our group have worked.
Wir wollen kein starres Korsett für die gesamte EU, sondern einen vernünftigen Handlungsrahmen, der Raum lässt für nationale Regelungen, etwa die Erweiterung des Bezugszeitraums von vier Monaten auf ein Jahr, vorausgesetzt, die Sozialpartner stimmen zu.	We do not want to put the whole of the EU in a straitjacket; rather, we want a reasonable framework for action that leaves room for national regulations, for example to extend the reference period from four months to one year, provided that the social partners agree to this.
Auch mögliche Ausweitungen der 48-Stunden-Woche gehören in ihre Hände und in die Tarifverträge.	Decisions on possible extensions of the 48-hour week, too, are a matter for them and for collective agreements.
Das ist praktische Anwendung des Subsidiaritätsprinzips und der Flexibilität. Grundlage aber muss das EuGH-Urteil bleiben, das den Bereitschaftsdienst als Arbeitszeit definiert.	This is a practical expression of what subsidiarity and flexibility are about, but the basis for all this must continue to be the ruling in which the Court of Justice defined on-call time as working time.
Den Kommissionsvorschlag mit der Aufteilung in bezahlte aktive und unbezahlte inaktive Arbeitszeit halte ich für realitätsfern.	I regard the Commission proposal, which draws a distinction between paid active and unpaid inactive working time, as unrealistic.
Herr Kommissar Špidla, ich habe an der größten Unfallklinik in Hessen eine Nachtschicht mitgemacht.	I can tell Commissioner Špidla that I, on one occasion, joined the staff of the biggest accident and emergency unit in Hessen for their night shift.
Was Assistenzärzte, Krankenschwestern und Rettungsfahrer da geleistet haben, war höchst aktiver Bereitschaftsdienst.	The junior doctors, nurses and ambulance drivers were on call, and extremely actively so.
Die kurzen Pausen zwischen den Einsätzen haben für eine Regeneration nicht ausgereicht.	The short breaks between callouts were not long enough to allow the staff to recharge their batteries.
Beschäftigte haben nicht nur in Kliniken Anspruch auf Arbeitssicherheit und Arbeitszufriedenheit. Auszunehmen aus der Richtlinie sind Feuerwehren, u. a. auf Flughäfen, Katastrophenschutz und Sicherheitsdienste in umweltsensiblen Unternehmen.	It is not only in hospitals that workers are entitled to job security and job satisfaction; there is a need for derogations from the directive for fire brigades, including those on airports, for rescue workers and for security workers in environmentally sensitive enterprises.
Ich habe mit ihnen allen gesprochen.	I have talked to all of them.
Die Finanzsorgen der Krankenhäuser kenne ich. Sie müssen aber – wie in anderen Bereichen auch – intelligente Methoden finden, um Kosten einzusparen, Einsätze ihres qualifizierten Personals besser koordinieren und technische Einrichtungen optimaler nutzen.	Familiar though I am with the hospitals’ financial worries, they must do what has been done in other sectors and find intelligent ways of reducing costs, improving the coordination of their staff’s callouts and making better use of technical facilities.
Vergessen wir nicht, dass es auch andere Kosten gibt, die dann entstehen, wenn das Personal täglich so strapaziert wird, dass ihm dauerhafte Gesundheitsschäden drohen, ganz zu schweigen von möglichen Fehldiagnosen oder nicht sachgemäßen Behandlungen durch übermüdete Mitarbeiter.	Let us not forget the other costs that result when staff are, day in and day out, so stressed out that they run the risk of permanent damage to their health, not to mention the risk of exhausted staff making the wrong diagnosis or giving the wrong treatment.
Patienten einem derartigen Risiko auszusetzen, ist nicht hinnehmbar!	It is not acceptable that patients should be exposed to such risks.
