Herr Präsident, ich muss mich doch sehr wundern!	Mr President, I must confess to being quite astonished!
Wir sprechen heute über Produkte, die auf dem Markt verfügbar sind, und fragen, warum sollen die ihre Sicherheit nachweisen?	We are speaking about products that are on the market today and are asking why we need to provide evidence of their safety!
Ich kann Ihnen sagen warum: Weil jeder kleine Farbstoff, der in Ihren Uncle Jo's Mintballs sein muss, das tun muss, weil jeder Konservierungsstoff, der in einer Marmelade ist, das tun muss, und weil wir auch sonst immer hier aufstehen und sagen, die Sicherheit der Verbraucher ist wichtig.	I can tell you why: because it has to be done for every last bit of artificial colouring that goes into your Uncle Joe's Mintballs and for every preservative that is added to jam, and because we have always resolutely proclaimed in this forum that consumer safety is important.
Deshalb darf nur etwas auf dem Markt sein, was seine Sicherheit und Unbedenklichkeit nachweisen kann.	For this reason a product cannot be deemed marketable unless it can be proved safe and harmless.
Das muss doch einfach sein für etwas, was auf dem Markt war!	This is surely easy to demonstrate for any product that has already been on the market for some time.
Ich muss mich auch außerdem sehr wundern, wenn auf die unterschiedlichen Systeme hingewiesen wird.	Moreover, I must also express my astonishment at the references to divergent systems.
Ich weiß nicht, wovon Sie sprechen.	I do not know what you are talking about.
Weder bei Frau Oomen-Ruijten noch bei Frau Jackson habe ich das verstanden.	I understood neither Mrs Oomen-Ruijten's reference to these divergences nor Mrs Jackson's.
Sie können in Deutschland in jede Drogerie gehen, wo Sie wollen, sie können in jeden Supermarkt gehen und Vitamine, Kalzium, was auch immer Sie wollen kaufen, frei verkäuflich, in unterschiedlichen Dosierungen.	In Germany you can go into any drugstore at all, into any supermarket, and you will be perfectly free to buy vitamins, calcium or whatever you want in various different dosages.
Dagegen habe ich auch nichts.	I have nothing against that.
Ich habe auch nichts dagegen, dass das weiter freiverkäuflich bleibt.	Nor do I object to these products remaining freely obtainable.
Ich möchte aber, dass es eine Maximaldosis gibt, ja, das möchte ich!	I do wish, however, to see the introduction of a maximum dose - yes, a maximum dose is something I do want to see.
Denn Menschen wie ich zum Beispiel, die das Pech haben, Nierensteine zu haben, dürfen nicht viel Vitamin C zu sich nehmen, denn es kristallisiert.	People like myself, for example, who have the misfortune to suffer from kidney stones, must not take too much Vitamin C, because it crystallises.
Ebenso müssen sie vorsichtig sein mit Kalzium, und das müssen Menschen wie ich wissen.	People like me must also be careful with calcium, and we have to know these things.
Deshalb muss es gekennzeichnet sein, deshalb muss es sicher sein.	This is why labelling is needed; this is why safety is paramount.
Jeder, der heute hier aufsteht wie Patricia McKenna und sagt, wenn diese Richtlinie verabschiedet wird, würden Produkte vom Markt verschwinden, täuscht!	Anyone who stands up today like Patricia McKenna and says that the adoption of this directive would force products off the market is misleading people.
Ich sage das ungern, Patricia, weil wir häufig einer Meinung sind.	I take no pleasure in saying this, Patricia, because our opinions often concur.
Es stimmt nicht, dass ein einziges Produkt, das heute sicher ist, vom Markt verschwinden wird.	It is not true that a single safe product will disappear from today's market.
Jeder muss es leisten können, einen Sicherheitsnachweis zu führen.	All manufacturers must be able to demonstrate the safety of their products.
Jeder muss das leisten können!	Every single manufacturer must be able to do that.
Für jedes einzelne Produkt, das wir kaufen, für Kosmetik, für Pharmazeutika, für jeden einzelnen Süßstoff verlangen wir das.	For each and every product we buy - for all our cosmetics, our pharmaceutical products, our artificial sweeteners - we expect proof of safety.
Und jetzt verlangen wir das nicht für Nahrungsergänzungsmittel?	And are we now saying that we do not expect the same for food supplements?
Da kommen die Lebensmittelhersteller in Zukunft an und sagen, warum sollten wir das denn für einen Müsliriegel?	Surely food manufacturers will then come along to us and say, 'Why must we prove that our muesli bars are safe?'
Und Recht haben sie!	And they would be right to do so.
Sie müssen es dann in Zukunft auch nicht mehr.	They would then be exempted in future too.
Dann können sie gentechnisch veränderte Organismen, sie können was sie wollen rein tun.	At that point they could start making their products with genetically modified organisms and whatever else.
Warum sollen sie denn dann Sicherheitsnachweis liefern?	Why should anyone then have to demonstrate the safety of any product?
Ich habe weiß Gott genügend lange Verbraucherschutz hier in diesem Haus gemacht.	Goodness knows that I have been involved for long enough in matters of consumer protection in this House.
Ich glaube auch, dass mein Ruf das in der Vergangenheit klar bewiesen hat.	I believe my reputation goes before me in that respect.
Ich sage allen Menschen, die mich anrufen: Kein Produkt, das Sie heute kaufen, werden Sie in Zukunft nicht mehr kaufen können!	I tell all the people who call me that none of the products they can now buy will be taken off the market.
Ich werde dafür sorgen, dass sie darüber informiert sind, was sie kaufen und ob das Produkt sicher ist.	I shall ensure that they are informed in future about any product they buy and whether it is safe.
Ob das in 24 oder in 30 Monaten nachgewiesen wird, ist mir egal, es muss nachgewiesen werden.	It makes no difference to me whether the evidence has to be produced within 24 or 30 months, but the evidence must be produced.
Ich beglückwünsche Frau Müller zu ihrem ausgezeichneten Bericht, dem ich morgen uneingeschränkt zustimmen werde!	I congratulate Mrs Müller on her excellent report, which will have my unreserved support tomorrow.
