Frau Präsidentin! Lassen Sie mich mit einem Detail beginnen.	Madam President, let me begin with a detail.
Der von mir sehr geschätzte Kommissar Potočnik nennt Zahlen in Dollar, rechnet sie zwar dann in Euro um.	Commissioner Potočnik - whom I hold in very high esteem - gives figures in dollars, although he then converts these into euro.
Kollege Deva nennt auch Dollarzahlen.	Mr Deva also gives figures in dollars.
Ich habe es nicht im Detail, aber es zeigt uns eigentlich, dass die Debatte über die Biodiversität offensichtlich noch nicht in Europa angekommen ist.	I have not looked into this in detail, but actually it demonstrates to us that the debate on biodiversity has clearly not yet arrived in Europe.
Offensichtlich sind wir noch nicht fähig, uns hier in Europa eine eigene Meinung dazu zu bilden, und ich glaube, es wäre schon gut, wenn wir hier diese Debatte in dem Sinne ernst nehmen, dass wir auch in Zahlen übersetzen, Wir haben hier nämlich eine totale Elitedebatte, die abgehoben ist, glaube ich, von dem, was wirklich zu Hause bei unseren Bürgerinnen und Bürgern passiert.	Apparently, we in Europe are not yet capable of forming our own opinion on this and I think it would be a good idea if we could take this debate seriously enough to actually translate what it means in concrete terms into figures. I believe this is an elitist debate far removed from what is actually going on in the homes of our citizens.
Und solange wir es nicht schaffen, diese Debatte zu Hause in die Haushalte zu bringen, glaube ich, sind wir auch verloren, hier politisches Gewicht zu bekommen.	I believe that until we succeed in getting this debate into the homes and households of Europe, then we have no hope of it gaining political weight here in Parliament.
Das heißt: Ich glaube, die Kommunikationsstrategie, die wir jetzt wählen sollten, ist einfach die, dass wir das Thema wie gesagt an die Menschen heranbringen und mit diesem Wissen, wie die Menschen reagieren, dann auch unsere konkreten Ziele festlegen.	In other words, I believe that the communication strategy that we should now adopt is simply to take this matter to the people, as I said, and once we know how people react, then we can set ourselves specific goals.
Der Herr Kommissar hat sehr konkrete Ziele genannt.	The Commissioner has mentioned some very specific objectives.
Ich hoffe, er wird sie auch dort in Nagoya umsetzen, und ich hoffe auch, die Gemeinschaft wird mit einer Stimme sprechen.	I hope he will be able to get these adopted in Nagoya and I also hope that the Community will speak with one voice.
Das ist immer die große Herausforderung bei diesen internationalen Konferenzen.	That is always the big challenge at these international conferences.
Ich glaube auch, dass Geld allein nicht genug ist.	I also believe that money alone is not enough.
Viele Kollegen fordern, die Mittel aufzustocken.	Many of my fellow Members have called for additional funding.
Das mag ein Weg sein, aber das ist nicht genug, wenn wir hier zum Erfolg kommen wollen.	That may be one way, but it is not sufficient to ensure success.
Zweitens, wie gesagt, die Kommunikationsstrategie ändern, und drittens, die Daten verbessern, die wir haben.	Secondly, as I mentioned, we need to change our communication strategy; and thirdly, we need to improve the quality of the data that we have.
Offensichtlich fehlt da sehr viel noch an Datenmaterial, und ich glaube, hier könnte die Gemeinschaft mit ihrem Forschungsproblem konkret noch einiges tun.	It is clear that much data is still lacking and I believe that this is an area in which the Community, with its research problem, could yet do something specific.
Und Sie wissen, mein Lieblingsthema ist das Wasser.	As you know, my pet subject is water.
Wir haben beispielsweise, wenn wir jetzt die neue Fischereipolitik auf den Weg bringen, einen großen Nachholbedarf, was zu schützende Arten anlangt.	If we get the new fisheries policy off the ground, for example, then we will have a great deal of catching up to do as regards species that need protecting.
Die Fischereiminister werden wahrscheinlich wieder überhöhte Fangquoten beschließen, und die Biodiversität ist wieder ein Randthema.	The fisheries ministers will probably pass excessive fishing quotas again, and biodiversity will once again be pushed to the sidelines.
Darum glaube ich, wir haben jetzt konkret zu Hause einen Anlass, hier unsere Zusagen wirklich ernst zu nehmen.	For that reason, I believe this gives us a real opportunity to show in this House that we are serious in what we say.
Und wir werden sehen, wie die Vorschläge dann ausfallen.	Let us see what shape the proposals take then.
