Herr Präsident! O sonho europeo, the European dream, der Europäische Traum!	Mr President, o sonho europeo, the European dream, der Europäische Traum!
Ich denke, dass die überwältigende Mehrheit der Europäerinnen und Europäer sich da ziemlich einig und klar ist, wie der aussieht.	I think that the vast majority of Europeans have a fairly clear idea and generally agree on what this should be.
Warum ist es dann so, dass in so vielen Ländern gerade Ihnen von der Kommission so viel Misstrauen entgegenschlägt.	That being the case, why is there so much mistrust directed towards the Commission in so many countries?
Sie sagen, es liegt an der Kommunikation.	You say that it has to do with communication.
Sehr viele Bürger, die sich auch nur ansatzweise mit den Problemen beschäftigen, sagen: Nein, es liegt an den konkreten Projekten, es liegt an der bislang so gescheiterten Lissabon-Strategie.	However, a great many citizens, even those who only consider these problems in passing, are saying, no, it has to do with the specific projects, and it has to do with the Lisbon Strategy and its obvious failure to date.
Wenn Herr Swoboda davon spricht, dass das Soziale fehlt, muss ich ihm in dieser Frage Recht geben.	Mr Swoboda says that the social dimension is missing and I must admit that on this issue, he is right.
Gleichzeitig aber sagte Herr Duff: Ja, die soziale Dimension des Verfassungsvertrages - Entschuldigung, Sie nennen es Reformvertrag - muss man in den Mittelpunkt stellen.	However, at the same time, Mr Duff has said that the social dimension of the Constitutional Treaty - my apologies, you call it the Reform Treaty - must be the focal point.
Ja, aber wo steht sie denn da? Und in welcher Form ist dieser Vertrag überhaupt lesbar?	That is all very well, but where does it say anything about the social dimension there?
Und wo sind denn da die demokratischen Grundprinzipien der Gewaltenteilung verwirklicht?	In which form is this Treaty actually readable, and where in this Treaty does it say anything about basic democratic principles such as the separation of powers?
Würden Sie das, wovon sie sprechen und was sie offensichtlich wollen, nämlich richtig zu kommunizieren, auch umsetzen in konkrete Daten, dann wäre die Kommunikation gar nicht so schwierig.	If you actually did what you said and what you apparently intend - namely to convey the message effectively and implement your intentions in a way which is verifiable in hard data - communication would become far less of a problem.
Einen ganz konkreten Ansatzpunkt hat Ihnen gestern Abend der Präsident des Rechnungshofes geliefert.	The President of the European Court of Auditors offered you a very clear starting point yesterday evening.
Er hat zum ersten Mal sehr konkrete Zahlen genannt: 4 Milliarden Euro werden demnach unrechtmäßig allein aus den Strukturfondsmitteln ausbezahlt.	He mentioned very specific numbers for the first time: EUR 4 billion incorrectly disbursed from the Structural Funds alone.
Ich zitiere aus seiner Rede: "Die häufigsten Fehler bestanden darin, dass die Erstattung nicht förderfähiger Ausgaben beantragt wurde und keine Ausschreibungen durchgeführt wurden. Überdies fehlten Belegunterlagen zur Berechnung von Gemein- und Personalkosten.	Let me quote from his speech: 'The most frequent errors were claims for ineligible expenditure and failure to carry out tender procedures as well as a lack of evidence to support the calculation of overheads or the staff costs involved.
Die Überwachungs- und Kontrollsysteme der Mitgliedstaaten waren im Allgemeinen unwirksam oder nur bedingt wirksam, und ihre Funktionsweise wird von der Kommission nur in eingeschränktem Maße überwacht."	The supervisory and control systems in the Member States were generally ineffective or moderately effective, and the Commission maintains only a moderately effective supervision of their functioning.'
Tun Sie etwas, und versuchen Sie nicht, das, was Sie nicht tun, besser zu kommunizieren!	You need to take action. Please do not attempt to improve communication about what you are not doing!
Das wird sicher schiefgehen.	That is bound to go wrong.
