Herr Präsident, meine Damen und Herren! Ein Gespenst geht um in Europa.	Mr President, ladies and gentlemen, a spirit is abroad in Europe.
Es ist das Gespenst des Intergouvernementalismus.	It is the spirit of intergovernmentalism.
Die Tendenz zur Zwischenstaatlichkeit - vom Rat betrieben - hat Europa in die Sackgasse von Nizza geführt, und in dieser Frage, Herr Präsident Prodi, sind wir die natürlichen Verbündeten der Kommission.	It is creeping intergovernmentalism - encouraged by the Council - which led Europe into the Nice impasse and on this, President Prodi, we are the Commission's natural allies.
In dieser Frage müssen Kommission und Parlament eng zusammenarbeiten.	The Commission and Parliament must work together closely on this issue.
Wenn das Parlament, Herr Präsident Prodi, gelegentlich am Verwaltungsgebaren der Kommission Kritik übt, dann ist das keine fundamentalistische Gegnerschaft gegen die Kommission, sondern Ausdruck unserer demokratischen Kontrollaufgabe.	If, President Prodi, Parliament occasionally criticises the Commission's administrative behaviour, it is not meant in a spirit of enmity towards the Commission, but as an expression of our democratic duty of scrutiny.
Im Zweifel bringt uns das näher und trennt uns nicht voneinander!	In cases of doubt it brings us closer together rather than rending us asunder.
Die nationalen Parlamente wurden angesprochen.	The issue of national parliaments has been addressed.
Ich lege großen Wert darauf, dass ein Konvent und nicht ein Forum die Vorbereitung für die nächsten Schritte unternimmt, denn die in einem Konvent Handelnden sind demokratisch legitimiert, wie die Ratsvertreter, die Kommission, das Parlament und das Europäische Parlament.	I am very keen on having a convention rather than a forum to prepare the next stage, because the negotiators at a convention, such as the Council representatives, the Commission, parliament and the European Parliament, have democratic credentials.
Wir dürfen nicht in die Beliebigkeit von so genannten gesellschaftlich relevanten Gruppen ausweichen.	We should not espouse the arbitrariness of so-called socially relevant groups.
Es wäre wichtig, wenn diese Einsicht auch in der Kommission eindeutig formuliert würde.	This understanding should also be clearly formulated at the Commission.
Im Übrigen müssen wir über die Rolle der nationalen Parlamente im europäischen Prozess nachdenken.	For the rest, we must consider the role of the national parliaments in the European process.
Es kommt darauf an, dass die nationalen Parlamente den Rat kontrollieren.	At the end of the day, it is the national parliaments which control the Council.
Das ist ihre Aufgabe.	That is their job.
Sie haben keine Kontrollaufgabe gegenüber den Gemeinschaftsorganen wie Kommission oder gar Parlament.	They have no authority over Community institutions, such as the Commission or even Parliament.
Wenn es also um die Mitwirkung der nationalen Parlamente geht, müssen sie im Gesetzgebungsverfahren an die Seite des Rates gestellt werden.	So when we talk about involving national parliaments, we need to put them on the Council's side in the legislative process.
Sie können nicht die Rolle des Europäischen Parlaments einschränken.	They cannot restrict the role of the European Parliament.
Auch auf diese Klarstellung legen wir großen Wert.	It is extremely important to us that this be clarified.
Ein Schwerpunkt in der Arbeit der Kommission wird Asyl und Einwanderung sein.	One of the focal points of the Commission's work will be asylum and immigration.
Hier werden wir kein europäisches Asyl- und Einwanderungsgesetzbuch erarbeiten, sondern - wie Herr Vitorino zutreffend gesagt hat - einzelne Richtlinien.	We do not want to elaborate a European asylum and immigration code, we want - as Mr Vitorino rightly said - individual directives.
Aber wir brauchen ein gemeinsames Konzept, das uns noch fehlt und das die Kommission noch erarbeiten muss.	But we need a common concept. It is this which is still lacking and which the Commission has yet to formulate.
