Frau Präsidentin, Herr Kommissar! Die Krise muss gelöst werden, keine Frage.	Madam President, Mr Cioloş, there is no question that the crisis must be resolved.
Aber hier werden Modelle angeboten, die wir nicht mittragen können.	However, this motion proposes solutions which we cannot support.
Jetzt den Import von Gensoja zu erleichtern, trägt nicht dazu bei, dass wir die Krise bei der Tierhaltung lösen, sondern ganz im Gegenteil: Wir müssen in Europa anfangen, unsere Eiweißversorgung im pflanzlichen Bereich wieder aufzubauen.	Making the import of GM soya easier will not help to resolve the crisis in the livestock sector. On the contrary, we must begin to redevelop our own source of plant protein in Europe.
Wir sind zu 75 % von Importen abhängig.	Around 75% of our plant protein is imported.
Das ist kein Zustand, daran müssen wir dringend etwas ändern.	This is not acceptable and we need to introduce urgent changes.
Ich verstehe auch nicht, warum manche den Kompromiss hier in Frage stellen, den alle Fraktionen ausgehandelt haben, und jetzt hier für Gensoja-Importe die Tür weit öffnen wollen.	I also do not understand why many people are questioning the compromise which has been negotiated by all the groups and why they want to open the door to GM soya imports.
Das ist keine Lösung.	That is not a solution.
Wir brauchen in Europa auch die Diskussion darüber, was für eine Tierhaltung wir wollen.	We also need to discuss what type of livestock farming we want in Europe.
Am stärksten sind wieder die kleinen Betriebe von der Krise betroffen.	Once again, the small farms have been hit hardest by the crisis.
Auf der anderen Seite entwickelt sich in Europa eine industrielle Tierhaltung, die nicht tiergerecht ist, die nicht gerecht ist im Sinne der Landwirtschaft.	On the other hand, industrial-scale livestock farming is developing in Europe which is not livestock friendly and which is not fair in agricultural terms.
Auch da müssen wir letztendlich etwas machen.	We ultimately need to do something in this area as well.
Einen letzten Punkt noch: Mich verwundert sehr, dass aus diesem Agraretat 450 Millionen Euro umverteilt werden sollen zu ITER, zur Kernfusion.	My final point is that I am very surprised that EUR 450 million from the agriculture budget is being transferred to the ITER nuclear fusion project.
Dazu hätte ich gern einmal eine Antwort vom Kommissar, was wir davon letztendlich zu halten haben.	I would like Mr Cioloş to explain what we should think about this.
