Vielen Dank Frau Schreyer, liebe Kolleginnen und Kollegen!	. Thank you, Commissioner Schreyer, ladies and gentlemen.
Das modernste Parlament der Welt zu sein, dazu will ich gerne ebenfalls meinen Beitrag leisten, wenn auch nur einen bescheidenen aus der Sicht des Binnenmarktausschusses.	I, too, will gladly do my bit towards our becoming the most modern parliament in the world, even though my contribution, in the Committee on Internal Market and Consumer Protection, will be a modest one.
Wir haben bei unserer Beratung des Haushaltes klare Prioritäten gesetzt, insbesondere im Hinblick auf die Lissabon-Agenda.	In considering the Budget, we set clear priorities, particularly with regard to the Lisbon agenda.
Es ist wichtiger, die Lissabon-Agenda auch hier im Haushaltsverfahren mit ganz konkreten Initiativen zu fördern, anstatt immer nur wohlfeile Erklärungen abzugeben, ob das die Staats- und Regierungschefs sind, ob das manchmal auch wir selber sind.	Concrete initiatives to push forward the Lisbon agenda, including in this Budget procedure, are more important than a constant succession of statements, whether by the Heads of State and Government, or sometimes by us ourselves, that cost those who make them nothing.
Wir halten den Binnenmarkt nach wie vor für den Kern unserer Wettbewerbsstrategie, und wir stellen fest, dass es hier unverändert eine Reihe von Hindernissen gibt. Deswegen haben wir vorgeschlagen, Mittel einzusetzen, um erneut ein Binnenmarktforum abzuhalten, um die diversen kleinen Hindernisse, die es im Binnenmarkt noch gibt, zusammen mit den Betroffenen zu erörtern, damit wir daraus entsprechende zukunftsweisende Rechtsetzungsinstrumente herausbilden können.	We still regard the internal market as being at the heart of our competition strategy, and, seeing as there has been no change in the obstacles to it, we have proposed allocating funds to the holding of another forum on the internal market in order to discuss the various minor obstacles remaining in the internal market with those who are affected by them, thus enabling us to fashion forward-looking legislative instruments to deal with them.
Wir halten als Binnenmarktausschuss auch die Osterweiterung für ein wesentliches Element, das Wachstum, Wohlstand und Beschäftigung fördern kann, aber wir stellen natürlich ebenfalls fest, dass es nach wie vor Schwierigkeiten im grenzüberschreitenden Zusammenwachsen der Wirtschaften gibt.	We in the Internal Market Committee also regard the eastward enlargement as potentially crucial in promoting growth, prosperity and employment, but we do of course also see that there are still difficulties involved in getting economies to grow together across borders.
Deswegen schlagen wir ein Pilotprojekt für Clusterbildungen in den Grenzregionen vor, damit dort strategische Allianzen geschmiedet werden können.	For that reason, we are proposing a pilot project for the formation of clusters in the border regions, through which strategic alliances can be forged.
Wir denken auch, dass der Binnenmarkt für Verbraucher noch ein erhebliches Potenzial zur Steigerung unserer Wettbewerbsfähigkeit bietet und haben dafür entsprechende Mittel eingesetzt für die Bereiche Lebensmittelsicherheit und Tierseuchen.	We also regard the internal market for consumers as still having considerable potential for enhancing our competitiveness and have, to this end, allocated funds for the fields of food safety and the combating of diseases in animals.
Meine sehr verehrten Damen und Herren, Frau Schreyer, ich möchte Ihnen auch von meiner Seite sehr herzlich für die Zusammenarbeit danken.	I myself would also like to extend warm thanks to Commissioner Schreyer for her cooperation.
Es ist in der Tat so, dass sich diejenigen, die für den Haushalt verantwortlich sind, viele Gegner und Verärgerte schaffen, aber auch manchmal Freunde machen.	It is a fact of life that those responsible for the Budget may make a lot of enemies and annoy a lot of people, but they also make some friends.
Bei den Grenzregionen sind sie jedenfalls zu Freunden geworden, wie auch der Berichterstatter unseres Haushaltes, Herr Garriga. Herzlichen Dank dafür.	When it comes to the border regions, though, they have become friends, as has the rapporteur on our Budget, Mr Garriga Polledo, and for that many thanks.
