Herr Präsident! Der Artikel 13 des Amsterdamer Vertrags wird als Schlafender Riese bezeichnet.	Mr President, Article 13 of the Treaty of Amsterdam has been described as a sleeping giant.
Er ist die Grundlage für ein europaweites Vorgehen gegen Diskriminierung.	It forms the basis for Europe-wide measures to combat discrimination.
Meine Aufgabe war es, mich mit der Rahmenrichtlinie für die Bereiche Beschäftigung und Beruf zu befassen, die gravierende Änderungen in der betrieblichen Praxis zur Folge haben wird.	My job was to consider the framework directive on employment and occupation, which will lead to major changes in company practice.
Erfahrungen mit dem vor zehn Jahren in den USA verabschiedeten anti­discrimination act lassen erahnen, was auf Europa zukommt.	The experience gained with the Anti-Discrimination Act in the USA ten years ago gives some idea of what lies ahead for Europe.
Daher ist es unbedingt notwendig, dass die in Artikel 13 aufgeführten Gruppen wirksam vor Diskriminierung geschützt werden.	That is why it is quite essential for the groups listed in Article 13 to be effectively protected against discrimination.
Gleichzeitig müssen berechtigte Interessen der Arbeitnehmer berücksichtigt werden.	At the same time, the workers' legitimate interests need to be considered.
Kein Wunder, dass die französische Ratspräsidentschaft dieses Thema als eines ihrer Prioritäten bezeichnet hat.	No wonder the French Presidency of Council described this issue as one of its priorities.
Diskriminierung müsse bereits im Vorfeld bekämpft werden, wenn es zu Einschüchterungen kommt, zu Anfeindungen, zu Beleidigungen.	Discrimination must be combated in the early stages, in cases of an intimidating, hostile or offensive environment.
Dabei sind alle Akteure einzubeziehen.	And all the players must be involved.
Menschliche Ressourcen lassen sich erst dann voll ausschöpfen, wenn Betriebsfrieden herrscht.	Human resources can only be utilised to the full in a climate of peace at the workplace.
Er ist wirtschaftlich und sozial ein Gewinn.	That produces an economic and social dividend.
In Unternehmen werden Menschen bei der Fort- und Weiterbildung abgelehnt, weil sie angeblich zu jung oder zu alt sind.	Some undertakings reject applicants for continuing and ongoing training on the pretext that they are too young or too old.
Ältere werden benachteiligt, indem sie aus dem Arbeitsleben herausgedrängt werden, oder indem es bei Einstellungen ein Höchstalter gibt.	Older people are discriminated against by being squeezed out of working life or by setting an upper age limit for recruitment.
Bei Bewerbungsgesprächen werden oft diejenigen nicht akzeptiert, die aus sozial schwierigen Familien oder Stadtteilstrukturen kommen oder weil sie behindert sind.	Job applicants who come from socially disadvantaged families or urban backgrounds or who are disabled are often not accepted.
Behinderte werden abgelehnt mit der Begründung, ihr Anblick sei der Kundschaft oder der Belegschaft nicht zuzumuten.	The disabled are rejected on the pretext that the clients or staff cannot be expected to stand the sight of them.
Dahinter steckt nur die Absicht, Kosten für behindertengerechte Maßnahmen einsparen zu wollen.	The underlying intention is simply to save paying for the necessary measures of assistance for the disabled.
Arbeitgeber berufen sich dann darauf, dass die Einstellung Behinderter eine so genannte unbillige Härte ist.	The employers then claim that hiring disabled people represents what is called undue hardship.
Im Beschäftigungsausschuss haben wir in Artikel 2 Absatz 4 angemessene Anpassungen sehr präzise definiert, ebenso die Umstände, unter denen Unternehmen Kosten nicht zugemutet werden können, nämlich bei fehlender Größe oder fehlendem Umsatz.	In the Committee on Employment and Social Affairs we defined "reasonable adjustment" very precisely in Article 2(4), together with the circumstances under which undertakings cannot reasonably be expected to pay the costs involved, i.e., if they are too small or their turnover is too low.
Ich teile ausdrücklich den Wunsch der Behindertenverbände, eine separate Richtlinie zu schaffen.	I certainly support the call by associations representing the disabled for a separate directive.
In der könnte nämlich genau auf die Unterschiede eingegangen werden, zum Beispiel dass Mobilitätsbehinderte ganz andere Probleme haben als etwa physisch Behinderte.	That directive could consider the differences in detail, for instance the fact that someone whose mobility is impaired has quite different problems from, say, someone who is mentally disabled.
Einige wichtige Punkte in der Regelung sind erstens: Regelung der Beweislast.	A few important points in the directive are, firstly, the rules on the burden of proof.
Artikel 9 des Richtlinienentwurfs sieht vor, dass der, der sich diskriminiert fühlt, sei es als ein abgewiesener Bewerber oder als ein Entlassener, den Rechtsweg beschreiten kann.	Article 9 of the draft directive states that persons who consider themselves discriminated against, whether as unsuccessful job applicants or as dismissed workers, can seek legal remedy.
Er muss nur zu einem Gericht oder zu einer zuständigen Stelle gehen, um glaubhaft zu machen, dass eine Diskriminierung vorliegt.	They need only go to a court or competent authority to establish the facts of discrimination.
Der Beklagte dagegen muss nachweisen, dass er nicht diskriminiert hat, und muss das dokumentieren können.	The respondent, however, has to prove that he did not discriminate and must be able to provide documentary evidence.
Um den logistischen und finanziellen Aufwand gerade für die kleinen und mittleren Unternehmen nicht unzumutbar groß werden zu lassen, plädieren wir für eine Verjährungsfrist von sechs bis zwölf Monaten.	To ensure that small and medium-sized undertakings in particular are not faced with an unreasonable logistical and financial outlay, we are seeking a limitation period of six to twelve months.
Zweitens: das Verbandsklagerecht.	Secondly, the right of associations to initiate proceedings.
Der Kommissionsvorschlag, in dem Verbände erst auf dem Klageweg aktiv werden dürfen, wenn die Betroffenen dem zugestimmt haben, ist nur zu begrüßen.	The Commission proposal, under which associations may only initiate proceedings with the complainant' s approval, has to be welcomed.
Verbände, Organisationen und juristische Personen mit Klagerecht sollten nur Repräsentanten der Arbeitnehmerinteressen und der durch Artikel 13 geschützten Gruppen sein.	Only associations, organisations or legal entities representing the interests of employees and the groups protected by Article 13 should be entitled to initiate proceedings.
Drittens: die Vermittlungsstelle.	Thirdly, the mediating agency.
Bei Streitigkeiten sind unabhängige Vermittlungsstellen einzurichten, die gleichermaßen Arbeitgeberinteressen und Arbeitnehmerinteressen berücksichtigen.	In the event of disputes, independent mediating agencies must be set up to consider the interests of both the employers and the employees.
Viele Probleme lassen sich sehr wohl intern lösen, bevor es zu juristischen Streitigkeiten kommt.	Many problems may well be resolved internally, before going to the lengths of legal proceedings.
Der Beschäftigungsausschuss möchte mehrheitlich, dass diese Stellen in den EU-Mitgliedstaaten eingerichtet werden und nicht als eine Zentralstelle auf europäischer Ebene.	The Committee on Employment and Social Affairs decided by a majority that these agencies should be set up in the EU Member States rather than setting up a central body at European level.
Viertens: die Beteiligung der Sozialpartner.	Fourthly, the involvement of the two sides of industry.
Die Sozialpartner sind als Hauptverantwortliche bei der Regelung von Diskriminierungsfragen am Arbeitsplatz am ehesten in der Lage, praktikable Lösungen zu erarbeiten.	Since they are mainly responsible for settling questions of discrimination at the workplace, the social partners are best placed to work out viable solutions.
Und natürlich sollten die NRO einbezogen werden, aber die Autonomie der Sozialpartner darf zu keiner Zeit in Frage stehen.	And, of course, the NGOs should be involved, although the autonomy of the social partners must not be put in question at any time.
Fünftens: die Religionsgemeinschaften, einer der wohl sensibelsten Bereiche innerhalb unserer Richtlinie.	Fifthly, religious communities, perhaps one of the most sensitive areas of our directive.
Frage: Können Mitgliedstaaten unterschiedliche Behandlungen zulassen, wenn es um Religions- und Glaubensgemeinschaften geht?	The question is whether Member States can allow different treatment when it comes to religion or belief.
Ich meine Ja!	I think they can!
Ihre unverzichtbaren Beiträge für die Gesellschaft in sozialen Einrichtungen wie Kindergärten, Krankenhäuser, Bildungsanstalten sind wichtig.	These communities make vital contributions to society in terms of social facilities such as nurseries, hospitals and educational institutions.
Sie sehen die Gefahr, Menschen einstellen zu müssen, die sich mit ihren Werten und Überzeugungen nicht identifizieren können.	They see the danger of having to hire people who do not identify with their values and convictions.
Mit großer Mehrheit stimmte der Beschäftigungsausschuss dem Kompromiss zu, wonach eine unterschiedliche Behandlung dann keine Diskriminierung darstellt, wenn Religion und Glaube wesentliche Anforderungen für die Berufsausübung sind.	The Committee on Employment and Social Affairs voted by a large majority in favour of the compromise under which different treatment does not represent discrimination in cases where religion and belief are major requirements for the performance of a job.
Gleichbehandlung und Nichtdiskriminierung sind grundlegende Prinzipien der EU.	Equal treatment and non-discrimination are fundamental principles of the EU.
Ob es uns gelingt, nach der exzellenten Zusammenarbeit aller Berichterstatter zum Artikel - ich darf nur Frau Swiebel stellvertretend für alle benennen - und nach den intensiven Diskussionen mit der Kommission und der Ratspräsidentschaft Brücken zu bauen, wird sich morgen bei der Abstimmung zeigen.	We will find out at tomorrow' s vote whether we manage to build bridges, following the excellent cooperation of all the rapporteurs on this article - and let me just mention Mrs Swiebel as standing for all of them - and after the intensive discussions with the Commission and the Council Presidency.
Die Chance, die Kommission und den Rat dazu zu bewegen, viele unserer Empfehlungen zu übernehmen, ist groß.	There is a real chance that we will persuade the Commission and the Council to incorporate many of our recommendations.
