Herr Präsident.	.
Kollege Poettering hat bis zur letzten Minute gewartet!	Mr President, Mr Poettering waited until the last minute!
Wir haben die ganze Zeit hier gesessen und uns gefragt, wann denn nun jetzt die Wahlkampfhilfe kommt.	We have been sitting here all this time, asking ourselves when election campaign support would finally arrive.
In der letzten Minute hat er sie dann gebracht. Aber das muss halt so sein, es sei genehmigt.	It came at the final hour, but that is how it should be, so we will allow it.
Herr Bundeskanzler, ich will mit einem Dank an die österreichische Ratspräsidentschaft für die gute Arbeit beginnen.	Chancellor Schüssel, I want to start by saying thank you to the Austrian presidency for its fine work.
Sie haben darauf hingewiesen, dass Ihr Team einen Rekord an Präsenz aufgestellt hat.	You made reference to the fact that your team set a record in terms of attendance.
Ich gehe sonst sehr kritisch mit der Präsenz von Ratspräsidentschaften um, aber ich muss bekennen: Jawohl, das ist so, die österreichische Ratspräsidentschaft war im Parlament ein präsenter und dialogfähiger Partner.	I have otherwise been very critical of the Council presidency’s attendance, but must certainly admit that the Austrian Council presidency was present in this House and available for dialogue.
Ich will auch im Namen unserer Fraktion deutlich sagen, dass Herr Winkler, ohne größeren Schaden an Leib und Seele genommen zu haben, häufig im Europäischen Parlament anwesend war.	I also want to say clearly on behalf of our group that Mr Winkler was frequently present in the European Parliament, and came away unscathed from the experience.
Dafür herzlichen Dank, Herr Staatssekretär.	Thank you very much for this, Mr Winkler.
Wenn man Ihnen, Herr Bundeskanzler, zuhört, wenn man dem Präsidenten der Kommission zuhört, fängt es an, angenehmer zu werden, weil Sie in jedem dritten Satz Ihrer Reden vom sozialen Zusammenhalt, von der sozialen Verantwortung in Europa, von der Bedeutung der Sozialpolitik und von der richtungweisenden Entscheidung, die mit der Dienstleistungsrichtlinie verbunden war, sprechen.	When we listen to you, Chancellor Schüssel, or to the President of the Commission, things start to become more agreeable, given that in every third sentence of your speeches, you talk about social cohesion, social responsibility in Europe, the importance of social policy and the decision that the Services Directive entailed, and which points the way ahead.
Man spürt es: Der neoliberale Zeitgeist ist erschöpft. Gott sei dank.	We can sense it: the neoliberal spirit of the time has passed, thank goodness.
