Es geht hier um die einheitliche Bemessungsgrundlage für die Unternehmensbesteuerung.	– These questions concern a uniform assessment basis for company taxation.
Die Kommission arbeitet derzeit an den technischen Vorbereitungen für einen Vorschlag für eine gemeinsame, konsolidierte Körperschaftsteuerbemessungsgrundlage.	The Commission is currently working on the technical preparations for a proposal for a common consolidated corporate tax base.
Mit diesen Vorbereitungen ist eine eigene Arbeitsgruppe der Kommission betraut, die nach der informellen Tagung des Ecofin-Rates vom September 2004 eingesetzt wurde.	These preparations are entrusted to a working group under the auspices of the Commission itself that was set up following the informal Ecofin Council in September 2004.
Die Kommission hat dem Rat, dem Europäischen Parlament und dem Europäischen Wirtschafts- und Sozialausschuss am 5. April d.J. eine Mitteilung mit dem Titel „Bisherige Fortschritte und weitere Schritte zu einer gemeinsamen konsolidierten Bemessungsgrundlage“ vorgelegt, in der sie zum einen über die bisherigen Fortschritte berichtet, wie der Titel schon sagt, und zum anderen die Bereiche nennt, in denen sie politische Unterstützung und Leitlinien für die weitere technische Arbeit benötigt.	On 5 April of this year, the Commission presented the Council, the European Parliament and the European Economic and Social Committee with a communication entitled ‘Progress to date and next steps towards a Common Consolidated Corporate Tax Base (CCCTB)’. This firstly reports on the progress made to date, as the title indicates, and secondly identifies the fields in which the Commission requires political support and direction for further technical work.
Auf der informellen Tagung des Rates, die auf Einladung des Vorsitzes am 7. April in Wien stattfand, hörten die Minister einen ersten Bericht der Kommission über den Stand der technischen Vorbereitungen.	At the informal Ecofin Council held at the Presidency’s invitation in Vienna on 7 April, Ministers were presented with the Commission’s initial report on the state of technical preparations.
Am Ende dieser informellen Tagung erklärte Ratspräsident Karlheinz Grasser, bei den Beratungen habe sich gezeigt, dass es eine deutliche Mehrheit für diese Bemessungsgrundlage gibt, die nach Einschätzung der Minister zu Kosteneinsparungen für die Unternehmen und einer Vereinfachung der nationalen Steuersysteme führen würde.	At the end of this informal Council, the Council President, Karl-Heinz Grasser, stated that the discussions had shown there to be clear majority in favour of this assessment basis. In the Ministers’ estimation, this basis would result in cost savings for enterprises and a simplification of the national tax systems.
Ferner erklärte das für die Steuern zuständige Mitglied der Europäischen Kommission, László Kovács, dass das Eintreten für eine harmonisierte Körperschaftsteuerbemessungsgrundlage zwar eine sehr schwierige und heikle Aufgabe sei, die Minister hätten jedoch während des Mittagessens einen informativen Gedankenaustausch geführt.	In addition, the Commissioner responsible for taxation, Commissioner Kovács, stated that, although it was no easy task to speak up for a harmonised corporate tax base, the Ministers had engaged in an informative exchange of views over lunch.
Die Kommission werde dem Rat künftig regelmäßig über den Fortgang der Arbeiten berichten.	In future, the Commission will report regularly to the Council on the progress of the work.
Der Vorsitz hat für die Tagung des Rates am 7. Juni heurigen Jahres einen ersten Gedankenaustausch der Minister über die Kommissionsmitteilung angesetzt.	The Presidency has put an initial exchange of views between Ministers concerning the Commission communication on the agenda for the Council to be held on 7 June of this year.
Er erwartet, dass die technischen Vorbereitungen auf der Grundlage der Beiträge, die die ersterwähnte Arbeitsgruppe von Seiten der Kommission und der Mitgliedstaaten erhalten hat, zügig voranschreiten werden.	His expectation is that the contributions that the working group I have already mentioned receives from the Commission and the Member States will make it possible for rapid progress to be made with technical preparations.
Wie der zuständige Kommissar Kovács bei der letzten informellen Tagung des Rates erklärt hat, dürfte die Frage, wie im Jahresprogramm auch vorgesehen, auch unter dem folgenden Ratsvorsitzenden auf der Tagesordnung stehen.	As Commissioner Kovács, the Commissioner responsible, stated at the last informal Council, the issue should appear on the agenda of the following Council Presidency, too – as envisaged in the annual programme.
Wir haben hier also eine Frage, die nicht in Kürze zu beantworten ist, sondern eines längeren Vorlaufs bedarf.	This is an issue that cannot be resolved in the near future, therefore, but needs lengthy preparation.
