Herr Präsident! Ich möchte nur zwei Fragen anschneiden.	Mr President, there are just two questions I would like to touch on.
Die Kommission hat Recht, wenn sie meint, dass noch eine Reihe von schwierigen Fragen zu lösen ist. Die Ratspräsidentschaft hat dankenswerterweise einige Vorschläge dazu gemacht.	The Commission is right if it thinks that a range of difficult issues remain to be resolved, and we can be grateful to the Presidency of the Council for coming up with a number of proposals on them.
Wenn nun der Kollege Poettering meint, die Regierungen - gemeint sind die Mitgliedsregierungen - müssten sich jetzt anstrengen, um zu einer Lösung zu kommen, so stimme ich ihm zwar zu, möchte aber auf der anderen Seite klar sagen, dass das auch für die Regierungen der Beitrittskandidaten gilt!	Now if Mr Poettering believes that governments - by which he means the governments of the Member States - must now make the effort to come up with a solution, then I do indeed agree with him, but, on the other hand, I also want to make it clear that the same is true of the governments of the candidate countries.
Ich weiß, dass Polen eine Schmerzgrenze hat.	I know that Poland has a pain threshold.
Ich stehe Polen sehr nahe, ich stehe insbesondere auch dieser Regierung sehr nahe, aber auch wir haben Schmerzgrenzen, und ich meine doch, dass beide Seiten anerkennen müssen, dass es hier einen Kompromiss geben muss.	I have deep sympathy with Poland, and especially with its present government, but we too have pain thresholds, and I do think that both sides have to acknowledge the necessity of compromise in this area.
Man sollte auch von Seiten der Beitrittskandidaten die Messlatte nicht so hoch setzen, dass es dann nicht möglich ist, auch drüber zu springen.	Nor should the candidate countries fix the measuring rod so high up that it is no longer possible to jump over it.
Zweitens, zum Procedere, den institutionellen Fragen. Der Ratspräsident hat gesagt, dass das Parlament ein Interesse an diesen Fragen habe.	Secondly, let us look at procedure and the institutional issues, in which the President-in-Office of the Council has described Parliament as having an interest.
Herr Ratspräsident, wir haben heute schon in einem anderen Zusammenhang lange diskutiert - es geht nicht um ein Interesse, es geht um unser Recht und auch um die Verpflichtung des Rates, mit dem Parlament von vornherein zu reden!	Mr President-in-Office of the Council, we have already spent some considerable time today discussing this in another context, and we are not dealing here with an interest, but with our rights and also with the Council's undertaking to talk to Parliament from the very outset.
Wenn das geschehen wäre, wären wir auch in einer leichteren Situation.	If it had done that, our situation would be an easier one.
Kollege Napolitano hat ein paar Argumente vorgebracht, wo das Procedere jetzt geändert sein soll. Ich schätze den Kollegen Napolitano sehr, aber ich bin nicht überzeugt.	Mr Napolitano put forward a few arguments in favour of the procedure being changed at some points, and, much as I respect him, I am not convinced.
Meine persönliche Meinung ist, vom ersten Tag der Mitgliedschaft an hat jedes Land das Recht auf einen Kommissar, sei es auch ohne Portefeuille.	My personal opinion is that every country, from the first day of membership, is entitled to a Commissioner, even if a Commissioner without portfolio.
Aus meiner Sicht, insbesondere bei zehn neuen Kommissaren, muss auch dieses Parlament das Recht haben, zumindest eine globale Zustimmung zu geben.	I take the view that, especially when there are ten new Commissioners, this House must also have the right of at least overall approval.
Diese globale Zustimmung kann natürlich nur unter Beteiligung von Mitgliedern aus den betreffenden neuen Mitgliedsländern erfolgen, denn es wäre pervers, dass wir über einen polnischen Kommissar abstimmen und die polnischen Mitglieder das nicht dürfen.	Such overall approval could only, of course, be given with the involvement of the relevant nine new Member States, as it would be perverse for us to vote on a Polish Commissioner when the Polish MEPs were not allowed to.
Dann kommt es natürlich zum detaillierten Procedere des neuen Parlaments.	This brings us, of course, to the detailed procedure for the new Parliament.
Was die Regierungskonferenz betrifft, so sehe ich die juristischen Argumente, aber ich meine, dass der Vorschlag, sie mehr oder weniger voll zu beteiligen, richtig ist, denn auch diese Länder müssen ja letztendlich darüber abstimmen, müssen ratifizieren.	I can see the legal arguments where the Intergovernmental Conference is concerned, but I do agree with the proposal for its virtually full involvement, as, at the end of the day, these countries too have to vote on it and ratify it.
Ich bitte den Ratspräsidenten um Eines: Verhandeln Sie und sprechen Sie mit den neuen Kandidaten!	One thing I ask of the President-in-Office of the Council: talk to the new candidates and negotiate with them!
Sie sollen voll einbezogen sein.	They are meant to be fully involved.
Aber bevor Sie eine Entscheidung treffen, reden Sie mit diesem Parlament, dann werden wir leichter zu einer gemeinsamen Lösung kommen!	Before you come to a decision, though, talk to us in this House, and then it will be easier for us to come up with a joint solution!
