Frau Präsidentin! Herzlichen Dank für die freundlichen Worte.	Madam President, thank you for your kind words.
Ich weiß, dass meine Kollegin Magdalene Hoff zum Abschluss ihrer Rede, die ich Ihnen vorlesen werde, selbst einige Worte an Sie richten möchte, aber vorab schon einmal herzlichen Dank.	I know that my colleague Mrs Hoff would like to address a few words to you herself at the end of the speech which I am going to read out on her behalf, but I will thank you at the start.
Frau Präsidentin, Herr Ratspräsident, Herr Kommissar, verehrte Kolleginnen und Kollegen! Mit dem Beitritt von Polen und Litauen zur Europäischen Union wird die russische Enklave Kaliningrad auch zu einer Enklave der Europäischen Union.	Madam President, Commissioner, Mr President-in-Office of the Council, the accession of Poland and Lithuania will make Kaliningrad not only a Russian enclave, but also an enclave of the European Union.
Die schwierige, einmalige und geradezu paradoxe Situation besteht darin, dass Kaliningrad als russisches Territorium zwar in den Geltungsbereich des Abkommens für Partnerschaft und Kooperation mit Moskau fällt, tatsächlich aber stärker von der Erweiterung der Europäischen Union betroffen ist.	This problematic, unique and positively paradoxical situation results from the fact that Kaliningrad, being Russian territory, falls within the scope of the Partnership and Cooperation Agreement with Moscow, but is in fact rather more affected by European Union enlargement.
Bereits 1994 hat das Europäische Parlament mit einem Bericht auf die prekäre Lage Kaliningrads aufmerksam gemacht. In dem Bericht sagten wir, dass die Zukunft der Kaliningrad-Region eine Angelegenheit von direkter und dringlicher Bedeutung für Russland, die Anrainerstaaten der Region und ebenso für die Europäische Union ist.	Attention was drawn to Kaliningrad's precarious situation as long ago as 1994, in a report by Parliament which described the future of the Kaliningrad region as a matter of immediate and pressing importance for Russia, for the states bordering on the region, and, equally, for the European Union.
Als praktische Konsequenzen wurden schon damals Maßnahmen beschlossen, deren Bedeutung für einen Aufschwung des Gebiets mittlerweile eher noch zugenommen hat.	The practical response was, even then, to decide on measures which have become, in the meantime, even more relevant to the area's growth prospects.
Beispiele hierfür sind die Stimulierung grenzübergreifender Zusammenarbeit sowie die verstärkte Einbindung des Kaliningrader Gebiets in die europäischen Verkehrs- und Telekommunikationsstrukturen.	One can take as examples of this the encouragement of cross-border cooperation as well as the increased integration of the Kaliningrad area into European transport and telecommunications structures.
Bedauerlich ist, dass die Zeit seitdem nicht ausreichend genutzt wurde.	It is to be regretted that adequate use has not been made of the time that has elapsed since then.
Nunmehr zeichnen sich neue Möglichkeiten ab im Rahmen der anvisierten strategischen Partnerschaft, von der Sie gesprochen haben, und unter angemessener Beteiligung der Nachbarländer Polen und Litauen, für Kaliningrad Lösungen zu finden, die die Lebensfähigkeit des Gebiets sichern, und dieses vielleicht sogar zu einem aktiven Bindeglied zwischen den Partnern zu machen.	Now, in the context of the strategic partnership which we are aiming at and of which you have spoken, new possibilities are taking shape, involving the neighbouring Poland and Lithuania, for finding solutions to Kaliningrad's situation, solutions that will ensure the area's viability and perhaps even enable it to play an active part in joining the partners together.
Zugleich möchte ich allerdings wie bereits 1994 ausdrücklich betonen: Alle Überlegungen zur Entwicklung Kaliningrads haben von der Voraussetzung auszugehen, dass das Gebiet auch in Zukunft völkerrechtlich zu Russland gehört und dass sein staatsrechtlicher Status ausschließlich zwischen den Verantwortlichen in Moskau und Kaliningrad geregelt wird.	At the same time, I would like to echo what was said as long ago as 1994 by emphasising that any consideration of Kaliningrad's future development must start from the premise that the area will continue to belong to Russia under international law and that its legal status will be determined solely by those competent to do so in Moscow and in Kaliningrad itself.
Es bestehen zwei mögliche Szenarien: ein negatives und ein positives.	There are two possible scenarios, one negative and the other positive.
In einem negativen Szenario würde das Verhältnis der Europäischen Union zu Russland stark belastet werden. Beide Seiten hätten einen wichtigen Test auf die Fähigkeit zur Kooperation und Krisenprävention im Rahmen der Partnerschaftsabkommen nicht bestanden.	A negative scenario would see the European Union's relationship with Russia under great strain, with both sides having failed an important test of their ability to cooperate and prevent crises in accordance with the partnership agreement.
In einem positiven Szenario dagegen könnte der Wirtschaftsstandort Kaliningrad als Bezugspunkt von Verkehrsverbindungen, Handelsaktivitäten und modernen Dienstleistungen im dynamischen Ostseeraum insgesamt Profil gewinnen.	In the positive scenario, however, Kaliningrad could take on the overall role of a centre of economic activity and as a point of reference for transport links, commercial activity and modern services in a dynamic Baltic region.
Als Pilotregion für die Implementierung wirtschaftlicher Strukturreformen könnte das Gebiet auf den gesamten Nordwesten Russlands ausstrahlen und diese Großregion enger mit Europa verklammern.	The area could, by piloting the implementation of economic structural reforms, influence the whole of north-western Russia and bind this cross-border region more closely with Europe.
Kurz, eine einvernehmliche Regelung über Kaliningrad könnte zum Modell für eine praktizierte und nicht nur nominelle Partnerschaft EU-Russland insgesamt werden.	An amicable settlement on Kaliningrad could, in short, be a model for how the partnership between the EU and Russia might become practical rather than existing in name only.
Angesichts des akuten Handlungsbedarfs zeichnet sich mittlerweile auf beiden Seiten eine neue Beweglichkeit ab.	New flexibility is, in the meantime manifesting itself on both sides as the acute need for action becomes apparent.
Ich begrüße es ausdrücklich, dass Präsident Prodi kürzlich auf die Notwendigkeit verwies, Regelungen für Kaliningrad bereits vor dem EU-Beitritt von Polen und Litauen zu finden, nachdem die Kommission im Jahr 2001 in ihrer Mitteilung zu Kaliningrad entsprechende Vorstellungen entwickelt hatte.	I welcome President Prodi's recent reference to the need to make arrangements for Kaliningrad even before Poland and Lithuania join the EU, the Commission having elaborated some ideas on the subject in its 2001 communication on Kaliningrad.
Positiv ist ebenso das sichtbare Engagement Präsident Putins für eine konstruktive Verhandlungslösung.	What is also positive is President Putin's evident commitment to a constructive negotiated solution.
Im Folgenden will ich nicht detailliert auf die verschiedenen Felder gemeinsamen Regelungsbedarfs eingehen, sondern ich möchte hierzu nur einige eher grundsätzliche Bemerkungen machen.	I do not propose, in what follows, to go in to detail into the various areas which we need to sort out together, but I would like to make just a few basic observations.
In der Frage des Visa- und Grenzregimes, die von den Menschen verständlicherweise als besonders sensitiv empfunden wird, gilt es, eine Balance zu finden zwischen der strikten Sicherung der EU-Außengrenzen einerseits und dem Bedürfnis nach erleichtertem Grenzübertritt andererseits.	People are understandably touchy about the issue of visas and border controls, and here a balance needs to be achieved between tight controls on the EU's external borders on the one hand, and the need for easier passage across the border on the other.
Russland wird sich auch damit abfinden müssen - und wir gehen davon aus, dass es dieses auch akzeptieren wird -, die Regeln des entsprechenden Gemeinschaftsrechts grundsätzlich zu akzeptieren.	Russia will also have to face up to the need for fundamental acceptance of the rules applicable under Community law, and we are working on the assumption that it will accept them.
Die Union kann hier keine Ausnahmen akzeptieren, zumal damit ein Präjudiz für andere Grenzregionen geschaffen würde.	On this point, the EU cannot allow any exceptions to be made, as this would be to prejudge the cases of other border regions.
Die Europäische Union ihrerseits sollte zugleich überlegen, ob es nicht innerhalb von Schengen und über die in der Mitteilung genannten Fälle hinaus eine Reihe von Möglichkeiten für ein erleichtertes Visaregime gibt.	For its part, the European Union should, at the same time, be considering what range of options there might be for a less onerous visa system within the Schengen boundaries, over and above the instances referred to in the communication.
Hierzu finden sich in meinem Bericht einige weiterführende Vorschläge.	My report includes a number of proposals for a way ahead on this.
Das inklusive Angebot zur Teilintegration Kaliningrads in den Ostseeraum darf nicht durch ein für die Menschen exklusives Grenzregime wiederbelebt werden.	The inclusive offer to partly integrate Kaliningrad into the Baltic area must be revived, but not by a border regime that excludes people.
Flexible Regelungen im Personen- und Warenverkehr bilden zwar wichtige Voraussetzungen für einen Aufschwung Kaliningrads, auch haben sie für die Menschen hohen Symbolwert im Spannungsfeld von Eingrenzung und Ausgrenzung, doch anders als noch heute in Moskau vielfach vermutet reichen sie allein für einen Aufschwung nicht aus.	Flexible arrangements for the transport of people and goods may well be important preconditions for Kaliningrad's growth process, and they also have symbolic value in the eyes of people in the no-man's-land between containment and exclusion, but, despite what many in Moscow continue to believe, they are not enough to bring about growth on their own.
Das haben wir an den offenen Grenzen zu Polen und Litauen gesehen.	We have seen that at the open borders of Poland and Lithuania.
Die meisten Wirtschaftsindikatoren Kaliningrads sind eher negativ und zeigen immer noch keine positive Aufwärtstendenz.	Kaliningrad's economic indicators are mainly negative and still show no definite upward tendency.
Der Lebensstandard im Grenzgebiet liegt erheblich unter dem gesamtrussischen Niveau.	The living standard in the border region is significantly inferior to that in Russia as a whole.
Eine zentrale Ursache für den hartnäckigen Abschwung besteht mit Sicherheit in der schwierigen geographischen Lage, besteht in den Zoll- und Steuerprivilegien, aber natürlich auch darin, dass die Situation dazu tendiert, insgesamt kriminelle Aktionen zu erlauben.	One essential cause for the persistent downturn is certainly Kaliningrad's problematic geographical situation and its favourable treatment as regards taxes and customs duties, the whole of which has a natural tendency to facilitate criminal activity.
Eine Öffnung Kaliningrads zu einer Außenwelt muss daher mit tiefgreifenden Reformen in Wirtschaft und Verwaltung des Gebietes verbunden werden.	Any opening up of Kaliningrad to the outside world must therefore be combined with profound economic and administrative reforms in the region.
