Herr Präsident, meine Damen und Herren!	Mr President, ladies and gentlemen, safety is a sacred thing.
Sicherheit ist ein hohes Gut.	It must be given absolute priority.
Sicherheit muss die absolute Priorität haben. Es muss die absolute Ausnahme bleiben, dass, wie in Berlin geschehen, der S-Bahnverkehr wegen Renditefixierung zusammengebrochen ist.	What has happened in Berlin recently, where the suburban rapid rail system has gone to pieces as a result of profits being prioritised, must remain an absolutely exceptional case.
Was im Krieg Bomben und Granaten nicht geschafft haben, mussten wir im letzten halben Jahr in Berlin erleben.	What bombs and shells were unable to do in the war, we have had to experience for the last six months in Berlin.
Damit muss Schluss sein!	This state of affairs cannot go on.
Sicherheitsargumente werden auch oft vorgeschoben, wenn man die Konkurrenz behindern will.	Safety arguments are also often put forward when someone wants to stand in the way of competition.
Dann werden Sicherheitsargumente ins Leben gerufen, um die Netze überhaupt gar nicht zu öffnen, wie wir es mit der Gesetzgebung am 1.1.2007 ja für alle EU-Mitgliedstaaten verbindlich geregelt haben.	In such cases, safety arguments are created in order to completely prevent the opening up of networks, something that we actually regulated through legislation and made compulsory for every Member State as from 1 January 2007.
Da müssen Sie einschreiten, die Sicherheitsargumente dürfen nicht missbraucht werden.	You must intervene, therefore - the safety arguments must not be allowed to be abused.
Natürlich kostet Sicherheit Geld. Aber wir brauchen Investitionen in die Infrastruktur, in die Sicherheit.	Safety costs money, of course, but we need investment in the infrastructure and in safety.
Das Geld ist vorhanden.	The money is available.
Ich erinnere daran, dass beispielsweise die Steuerbefreiung von Kerosin den europäischen Steuerzahler jedes Jahr 14 Mrd. Euro kostet.	I would remind everyone, for example, that the exemption from duty for kerosene costs European taxpayers EUR 14 billion every year.
Wenn Sie dieses Geld für die Sicherheit einsetzen würden, hätten wir einen europäischen Eisenbahnmarkt und die Sicherheit gewährleistet, das ist das Gebot der Stunde.	If you were to spend this money on safety, we would have a European railway market and guaranteed safety, which is the order of the day.
