Herr Präsident!	.
Der hier zur Debatte stehende Bericht unterstreicht die Bedeutung und die Stärke des Europäischen Parlaments.	Mr President, the report that we are debating underlines the importance and strength of this House.
Vergleichen wir den vorgelegten Richtlinienentwurf der Kommission mit dem Kompromiss, der hoffentlich morgen verabschieden wird, so wird deutlich, was dieses Parlament in der Energiepolitik zu leisten im Stande ist.	If we compare the draft directive as presented by the Commission with the compromise that we hope to adopt tomorrow, what becomes apparent is what this House is capable of achieving in the field of energy policy.
Das Parlament hat erheblichen Einfluss genommen, was nicht zuletzt auch der klaren Position des Berichterstatters zu verdanken ist.	That this House has been able to exert considerable influence is attributable in no small degree to the unambiguous stance taken by the rapporteur.
Der Ausgangsvorschlag der Kommission war ein eher planwirtschaftliches Instrument, in dem die Verwaltung bestimmt hätte, wo Unternehmen in ihre Infrastruktur investieren sollen.	The Commission’s original proposal tended to exemplify a planned economy in which the administration would have determined in which parts of their infrastructure businesses would be allowed to invest.
Dem Parlament ist es gelungen, aus diesem planwirtschaftlichen Instrument einen wettbewerbsorientierten Ansatz zu formen, der die Probleme der Versorgungssicherheit viel besser in den Griff bekommen wird. Dies ist umso wichtiger, als die derzeitige Entwicklung Europas durch eine steigende Nachfrage nach Elektrizität gekennzeichnet ist, womit auch der Bedarf an neuen Kraftwerken wieder ins Blickfeld gerät.	Parliament has succeeded in bringing out of this document an approach guided by competitiveness, which will do a far better job of addressing the problems of security of supply, something made all the more important by the fact that Europe’s current development is characterised by an increasing demand for electricity, which has caused renewed attention to be given to the need for new power stations.
Wie man aus den Stromausfällen in Italien im Jahre 2003 richtigerweise hätte ablesen können, war vor allem der fehlende Wettbewerb am maroden Infrastruktursystem schuld.	The right conclusion to draw from the power cuts in Italy in 2003 would have been that the blame for these lay primarily with the lack of competition in the clapped-out infrastructure.
Privatisierung und Wettbewerb sind gerade bei öffentlichen Dienstleistungen immer zwei Seiten derselben Medaille.	Particularly where public services are concerned, privatisation and competition are invariably two sides of the same coin.
Die ursprüngliche Annahme der Kommission, dass staatliche Behörden einen mangelhaften Wettbewerb wettmachen könnten und im Zweifel besser wüssten, wo bei der Netzinfrastruktur in den Mitgliedstaaten der EU investiert werden muss, war ein Schritt in die falsche Richtung.	The Commission took a step in the wrong direction by assuming, as it originally did, that state bodies could make good the lack of competition and would, in cases of doubt, be more competent to judge which parts of the Member States’ network infrastructure were in need of investment.
Auch die übrigen, nunmehr verbesserten Inhalte des Richtlinienvorschlags zeigen auf, dass mehr Wettbewerb eine Lösungsstrategie sein kann.	What, now improved, is left in the proposal for a directive itself shows how increased competition can be a winning strategy.
Mit der Förderung von Rahmenbedingungen für einen ausreichenden Großhandelsmarkt, der angemessene Preissignale für Investitionen in Erzeugungskapazitäten gibt, ist die EU in der Frage der Versorgungssicherheit auf einem richtigen Weg.	By promoting the conditions under which a wholesale market can function adequately and send appropriate price signals for investment in production capacity, the EU is taking the right approach to dealing with the issue of security of supply.
Das wichtigste Ziel der Europäischen Union muss es sein, lebensfähige Energiemarktstrukturen zu schaffen, in denen Unternehmen Geld verdienen können, weil das der richtige Anreiz ist, ein Investitionsklima zu kreieren, welches letztendlich die Infrastruktur schafft.	Its most important objective must be the creation of viable energy market structures in which businesses can make money, that being the right incentive for the creation of an investment climate in which infrastructure can come into being.
Diese Richtlinie gehört nicht zu denen, die Gift für Unternehmen sind. Das ist gut so.	This directive is not one of those that are toxic to enterprise, and a good thing too.
Daher stimmen wir dem Vorschlag des Berichterstatters zu und gratulieren ihm auch.	We therefore agree with the rapporteur’s proposal and congratulate him too.
