Herr Präsident! Herrn Turchi ist zuzustimmen.	Mr President, Mr Turchi deserves our agreement.
Es ist schon ein starkes Stück, was uns der Rat bietet.	What the Council is offering us is a bit rich.
In Nizza werden die demokratischen Grundwerte beschworen und im gleichen Atemzug wird der EGKS-Vertrag aufgelöst und ein Forschungsfonds eingerichtet, ohne dass das Parlament überhaupt die Möglichkeit hat, darüber mitzubestimmen.	In Nice, fundamental democratic values were invoked, and in the same breath the ECSC Treaty is annulled and a research fund established, without the possibility of Parliament having any part in deciding the matter.
Das, muss ich sagen, ist wirklich ein starkes Stück!	I must say, they really have a nerve!
Zur Sache selbst noch einmal.	Back to the matter in hand.
Eigentlich sind wir hier Beerdigungsredner, denn wir beerdigen einen Vertrag, der die Europäische Union vor fast 50 Jahren eingeleitet hat, aber es ist ein merkwürdiger Tod.	We are, in fact, funeral orators here, for we are burying a treaty which, almost fifty years ago, was the prelude to the European Union, but whose death is a remarkable one.
Es ist ein Tod mit einer Wiedergeburt, denn aus diesem Vertrag sind andere Verträge hervorgegangen, und auf seinem Geist beruht letzten Endes die Europäische Union.	It is a death and a rebirth together, for other treaties arose from this one, and at the end of the day, the European Union is based on what it had in mind.
In diesem Zusammenhang möchte ich darauf hinweisen, dass Robert Schuman damals auf der Konferenz in Paris am 9. Mai 1950 - der 9. Mai ist ja unser europäischer Feiertag - darauf hingewiesen hat, dass dies die erste Etappe der europäischen Föderation sei.	In this context, I would like to point out that Robert Schuman at the Paris Conference in 1950 - held on 9 May, which is of course our Europe Day - observed that this was the first stage of European federation.
Er hat nicht von einem Zusammenschluss von Nationalstaaten, sondern er hat von einer europäischen Föderation gesprochen, und er hat sich damit als ein viel weitsichtigerer Mann erwiesen als viele unserer Staatsmänner und Staatsfrauen und auch als manche Kollegen, denen das Wort Föderation immer noch nicht über die Lippen geht.	He did not speak in terms of a coalition of nation states but of a European Federation, showing himself to be much more far-sighted than many of our statesmen and stateswomen and, indeed, than those among us who cannot yet bring themselves to utter the word 'federation'.
Ich weise darauf hin oder nehme an, dass dies in den Geschichtsbüchern auch so erwähnt wird.	I am just pointing this out; I assume that it will be mentioned in the history books.
Zweitens: Aus diesem Vertrag soll jetzt ein Forschungsfonds hervorgehen.	Secondly, this treaty is now to give birth to a research fund.
Herr Turchi hat darauf hingewiesen, und es ist an sich auch vernünftig, dass man das Geld nicht einfach den Mitgliedstaaten zurückgibt, sondern dass man es in einen Fonds einbringt, aus dem in Zukunft Kohle- und Stahlforschung finanziert werden soll.	Mr Turchi has pointed out that the money is not simply being returned to the Member States, but is being invested in a fund which is in future to finance research into coal and steel.
Nun schafft das allerdings Probleme.	This is sensible, but it does create problems.
Zum einen wird dieser Fonds nicht vom Parlament kontrolliert.	One is that Parliament has no control over this fund.
Das ist der Widerspruch, den ich vorhin genannt habe.	I mentioned this contradiction at the outset.
Zum zweiten schafft er Probleme mit dem Forschungsrahmenprogramm.	A second is that it creates difficulties for the research framework programme.
Wie ist die Abgrenzung zwischen Forschungsrahmenprogramm, das wir hier demokratisch beschließen, und dem Forschungsfonds?	What demarcation is there between the research framework programme, which we decide on democratically, and the Research Fund?
Drittens: Was geschieht mit den Beitrittsländern?	Thirdly, what is to happen to the acceding countries?
Jedes Beitrittsland muss eigentlich, wenn es dem Forschungsfonds angehören will, zuerst einmal einbezahlen in diesen Forschungsfonds, damit es an ihm teilnehmen kann.	Every one of them wanting to belong to the Research Fund must in fact make an initial contribution to it in order to take any part in it.
Auch das schafft mehrere Klassen von Forschung innerhalb der Europäischen Union.	Even that creates more than one class of research in the European Union.
Ich schlage vor - und das hat auch der Forschungsausschuss so übernommen -, dass wir diesen Konflikt auflösen, und zwar positiv auflösen, dadurch, dass wir aus diesem Forschungsfonds in den kommenden Jahren eine Forschungsstiftung machen, die neben dem Forschungsrahmenprogramm entsteht, eine Forschungsstiftung, in die Mitgliedstaaten, aber auch Private - und ich denke vor allem an Private - Mittel einbezahlen können, um neben Kohle und Stahl auch andere Forschungsvorhaben zu finanzieren.	What I suggest - something which has been taken on board by the Research Committee - is that we should resolve this conflict, and, moreover, in a positive way by, in the course of the next few years, creating from this Research Fund a Research Foundation which would develop alongside the research framework programme. Funds could be paid into it by Member States, but also from private sources - it is above all the private sources I am thinking of - in order to finance research projects other than into coal and steel.
Glücklicherweise haben wir inzwischen viele vermögende Leute, die nicht wissen, was sie mit ihrem Geld tun sollen, wenn sie ein gewisses Alter erreicht haben, und die auch spenden.	In the meantime, we are fortunate in having many affluent people who do not know what to do with their money when they reach a certain age, and who make donations.
Stiftungen entstehen, und aus solchen Spenden kann diese Stiftung aufgestockt werden, und sie kann damit Themen bearbeiten, die weit über Kohle und Stahl hinausgehen.	Trust funds come into being, and this Foundation can be built up by donations of this sort and so be able to concern itself with subject areas far more wide-ranging than coal and steel.
Ich hoffe, dass das Parlament dieser Empfehlung zustimmt.	I hope that Parliament will agree to this recommendation.
Die Folge wäre, dass die Kommission dann auch einmal darüber nachdenkt und vielleicht einmal einen Bericht vorlegt, wie man dies umsetzen könnte.	The consequence would be that the Commission would reconsider and would perhaps present a report on how this could be translated into action.
In Deutschland haben wir Erfahrung damit.	We have some experience of this in Germany.
Wir haben neben der staatlichen Forschungsförderung eine Forschungsstiftung, die seit den 20er Jahren gut funktioniert und mit wenig Bürokratie dem Forschungsleben in Deutschland einen starken Atem gibt.	Parallel with State support for research, we have a research foundation which has functioned well ever since the 1920s and uses a minimum of bureaucracy in putting wind in the sails of German research.
Wenn man das auf europäischer Ebene machen könnte, wäre das keine schlechte Idee.	It would be no bad idea to do that on a European scale.
Letzte Bemerkung: Die Anträge 1 bis 5 in meinem Bericht beruhen auf einem Irrtum.	Let me finally observe that proposals 1 to 5 in my report are founded on an error.
Ich empfehle, dass wir nicht darüber abstimmen.	I recommend that we should not vote on them.
Sie sind ohnehin im Bericht Turchi und den Änderungsanträgen enthalten, also dadurch abgedeckt.	They are in any case covered by their inclusion in the Turchi report and in the amendments.
Ich empfehle also, nicht über sie abzustimmen.	I therefore recommend that there should be no vote on them.
Im übrigen ist auch im Ausschuss nicht darüber abgestimmt worden.	I might add that they were not voted on in committee either.
Es handelt sich hier wirklich um einen Irrtum.	This really is a mistake.
Ansonsten hoffe ich, dass aus diesem Forschungsfonds tatsächlich in den nächsten fünf oder zehn Jahren ein zweites Forschungsstandbein der Europäischen Union hervorgeht.	Apart from that, I hope that this research fund really will give rise, in the next five to ten years, to a second support for research in the European Union.
Damit würden wir diesen undemokratischen Fehler korrigieren, der in unserer heutigen Zeit tatsächlich unerträglich ist.	We would thereby be making good this undemocratic error which is, in this day and age, really intolerable.
