Herr Präsident! Auch ich sage Bravo, Frau Kommissarin.	Mr President, I too say bravo, Commissioner.
Gut gemacht!	Well done.
Ich bin im Übrigen immer wieder erstaunt, festzustellen, wie die Europäer in dieser Frage des Klimawandels und der Maßnahmen gegen den Klimawandel einig sind.	For the rest, it never fails to astound me just how united Europeans are on the question of climate change and the measures needed to counter it.
Ich glaube, dass die Klimapolitik auch so etwas ist wie eine identitätsstiftende Politik in Europa. Wir sollten dies auch nutzen.	I think that climate policy is a policy people can identify with in Europe and we should turn this to our advantage.
Ich glaube auch, dass es unsere Pflicht ist, auf die amerikanische Öffentlichkeit einzuwirken, damit sie uns nachfolgt.	I also think that it is our duty to work on the American public, so that they follow our lead.
Vielleicht sind wir in diesem Fall den Amerikanern voraus, so wie die öffentliche Meinung in anderen Fragen oftmals den Europäern voraus ist.	Perhaps, in this case, we are one step ahead of the Americans, just as public opinion on other questions is often one step ahead of Europe.
Ich möchte auf einen Gesichtspunkt eingehen, nämlich die Auswirkungen dieser Klimapolitik auf die Energiepolitik.	I should like to comment on one point of view: the impact of this climate policy on energy policy.
Das Entscheidende bei dieser Klimapolitik ist doch, dass wir in Zukunft CO2 einen Preis geben.	The whole point of climate policy is that it requires us to put a price on CO2 in the future.
Unterstellen wir einmal, Sie haben Recht mit Ihren Schätzungen, dass CO2 pro Tonne etwa 30 Euro kostet.	Let us suppose that your estimates are right and that CO2 costs about EUR 30 a tonne.
Dann bedeutet das für Strom aus Braunkohle, dass er um 3,5 Eurocents teurer wird, Strom aus Steinkohle um etwa 3 Eurocents teuerer wird.	That means that electricity from brown coal will rise by about 3.5 eurocents and electricity from hard coal will rise by about 3 eurocents.
Erneuerbare Energien werden nicht teurer, das heißt, sie werden wettbewerbsfähiger.	The price of renewable sources of energy will not rise, i.e. they will become more competitive.
Aber auch die Kernenergie wird nicht teurer werden.	But nor will the price of nuclear energy rise.
Da sie vom Emissionshandel nicht ausgenommen, sondern nur bei joint implementation untersagt ist, ist dies auch ein Vorteil für die Kernenergie.	As is it not excluded from emission trading and is only banned where there is joint implementation, this works to the advantage of nuclear energy.
Das heißt, wir bekommen innerhalb des Energiespektrums eine völlig neue Gewichtung.	This completely changes the weightings within the energy spectrum.
Das ist nicht das Thema von heute Abend, aber das wird das Thema der nächsten Monate und Jahre sein.	That is not the subject of this evening' s debate, but it will be subject of debates over coming months and years.
Ich wollte darauf aufmerksam machen.	I just wanted to point that out.
Im Übrigen teile ich die Meinung vieler meiner Kolleginnen und Kollegen, die gesagt haben, es ist ein Prozess.	For the rest, I share the view of many of my fellow members who said that this is a process.
Den haben wir jetzt begonnen und den müssen wir fortführen.	We have only just begun it and we must stick with it.
Dabei gewesen zu sein, ist, glaube ich, eine ganz gute Sache!	The very fact of having been there is, I think a very good thing.
