Herr Präsident, ich möchte allen drei Institutionen einen Dank aussprechen.	Mr President, I would like to thank all three institutions.
Meine Kollegin Niebler ist zwar keine Institution, aber sie hat sich fast wie eine Institution verhalten.	Although Mrs Niebler is not an institution, she has behaved almost like one!
Herzlichen Dank für den Bericht.	I would like to thank her sincerely for her report.
Aber ich möchte auch der Kommission und dem Rat einen Dank aussprechen.	But I would also like to thank the Commission and the Council.
Dem Rat, weil er sich in einem Ausmaß bewegt hat, was wir vor einiger Zeit noch nicht erwartet haben, die Kollegen von der Kommission werden dem mit Sicherheit zustimmen.	I would like to thank the Council, because it has changed its position in a way that would have been unthinkable until recently, as I am sure the Commission will agree.
Der Kommission allerdings auch einen Dank, weil sie hier mit einer Hartnäckigkeit ein Thema über die Jahre verfolgt hat, bei dem wir nicht erwartet haben, dass sich so schnell etwas tun würde.	However, thanks are also due to the Commission because it has shown such persistence in pursuing this subject over the years, although we did not expect that it would act so quickly.
Allerdings muss ich der Kommission auch sagen, dass sie teilweise mit einer etwas überflüssigen Härte vorgegangen ist, auch gegenüber den Änderungsanträgen, die von Seiten des Parlaments eingereicht worden sind, und dass sie hier vielleicht nicht die entsprechende institutionelle Flexibilität gezeigt hat, die möglich gewesen wäre oder die ich von der Kommission erwartet hätte.	Nevertheless, I have to tell the Commission that to some extent it has been unnecessarily tough, not least regarding the amendments put forward by Parliament, and that it has not perhaps shown the institutional flexibility that it might have or that might have been expected from the Commission.
Die Kollegin Niebler hat ja mit Recht darauf verwiesen, dass es einen erheblichen Unterschied gibt zwischen den technischen Maßnahmen und den politisch-strategischen Entscheidungen, und dass im Bereich der politisch-strategischen Entscheidungen in der Tat das Europäische Parlament eine größere Rolle spielen müsste als sie in dem Bericht vorgesehen ist, dass Transparenz gewährleistet ist und dass demokratische Strukturen tatsächlich etabliert werden.	Mrs Niebler has quite rightly pointed out that there is a considerable difference between technical measures and strategic decisions on policy, and that when it comes to strategic decisions the European Parliament really ought to play a greater role than provided for in the report, so that transparency is guaranteed and democratic structures are actually established.
Das hat noch größeres Gewicht, wenn man es vor dem Hintergrund bewertet, dass der Rat ja überhaupt nicht mit der Kommission übereinstimmt, dass die senior level group etabliert werden soll.	This is even more important if you bear in mind that the Council is by no means in agreement with the Commission that the Senior Official Group should be established.
Dann haben wir nämlich nur noch den Ausschuss übrig, und dementsprechend wird sich dann das institutionelle Maß, was demokratische Entscheidungen betrifft, erheblich einschränken.	That only leaves us with the Senior Official Committee, which means that the institutional framework for taking democratic decisions will be distinctly limited.
Insofern würde ich persönlich den neuen Vorschlag der Kollegin Niebler unterstützen, in dem sie ein so genanntes call back-Verfahren vorschlägt, das in der Nachfolge von Lamfalussy etabliert würde.	I personally would therefore support Mrs Niebler's new proposal in which she suggests establishing a "call-back procedure" in the wake of Lamfalussy.
Meine Fraktion hat jedenfalls Änderungsanträge eingereicht.	My Group has, in any case, tabled certain amendments.
Ich hoffe, dass diese Änderungsanträge die Unterstützung des Hauses finden werden.	I hope that the House will be able to accept these amendments.
Sie werden allerdings durch einen mündlichen Antrag ergänzt werden, von dem ich auch hoffe, dass er die Unterstützung des Hauses bekommt.	They will also be supplemented by an oral amendment which I hope the House will support.
Da werden wir den Vorschlag des Rates aufgreifen, in dem der Rat vorschlägt, dass in den Fällen, in denen über technische Maßnahmen hinausgegangen werden soll, die Kommission dem Parlament und dem Rat einen Rechtsakt vorschlagen soll.	We can take on board the Council's proposal, in which it proposes that in cases going beyond technical measures the Commission should propose a legal instrument to Parliament and the Council.
Ich hoffe, dass wir dafür die Unterstützung bekommen, und ich hoffe, dass die Kommission mit diesem Änderungsantrag leben kann.	I hope that we will have your support for this and I hope that the Commission will be able to live with this amendment.
