Aber, liebe Kollegen, wir müssen auch aufpassen, dass wir die Dinge nicht zu einseitig sehen.	We have to be careful, though, not to consider these things from one angle alone.
Die meisten dieser Staaten in Westafrika – das wissen wir – sind durch die Kolonialmächte künstlich auf die Landkarte gezeichnet worden, das heißt, wir haben im Süden Völker, die geteilt sind, wie die Ibo oder Ewe, die Christen und Animisten sind und auf beiden Seiten der Grenzen existieren.	As we know, most of the states in West Africa are artificial creations drawn on the map by the colonial powers, so that peoples in the South are divided, two examples being the Ibo and the Ewe, who are Christians and animists and live on both sides of the border.
Dasselbe gilt für die Völker des Nordens, die Hausa und Fulbe, die meistens Muslime sind und auch in den verschiedenen Staaten existieren.	The same can be said of the peoples of the North, the Hausa and Fulbe, most of whom are Muslims and also live in a variety of states.
Diese Staatsgrenzen sind eben einfach so gezogen worden und haben den ethnischen Realitäten niemals in der Geschichte entsprochen.	This simply happens to be the way these states’ borders were drawn; never, throughout history, have they corresponded with the ethnic realities.
Das muss man auch einmal sehen, und da haben wir als Europäer eine echte Mitverantwortung.	This is something that has to be clear to us, and this is something for which we Europeans really do share responsibility.
In der Entschließung ist mit Recht vom Plateaustaat die Rede.	The resolution quite rightly refers to the state of Plateau.
Im Plateaustaat stoßen eben diese Ethnien aufeinander, und das wird dann noch verschärft durch wirtschaftliche Ungleichgewichte und durch Migrationsbewegungen.	It is in Plateau that these ethnic groups collide, and the situation is made even more acute by economic inequalities and migratory flows.
Das Ganze ist ein sehr sensibles Gemisch, das leicht explodieren kann.	The whole place is a highly unstable melting pot and could easily explode.
Wenn man dann noch bedenkt, dass der Vielvölkerstaat Nigeria einer der bevölkerungsstärksten Staaten der Welt und wohl der bevölkerungsstärkste Staat Afrikas ist und dass es dort dann auch noch um gewaltige Ölinteressen geht, dann ist wirklich äußerste Sensibilität und differenziertes Denken angebracht.	It also has to be borne in mind that Nigeria is a multi-ethnic state, one of the most populous countries in the world and probably the most populous in Africa, and that there are massive oil interests at stake there, so it really does call for extremely sensitive handling and subtle thinking.
Nichtsdestotrotz, liebe Kollegin Andrée Léonard, möchte ich Ihnen schon sagen: Es heißt, die Differenzierung etwas weit treiben, wenn man sagt, es gibt einen Fundamentalismus auf christlicher und auf islamischer Seite.	That notwithstanding, what I would like to say to Mrs André-Léonardis that it is taking sophistry a bit too far to say that there is fundamentalism in both the Christian and Islamic camps.
In Nigeria gibt es keinen christlichen Fundamentalismus.	There is no Christian fundamentalism in Nigeria.
Es gibt auch keinen islamischen Fundamentalismus, sondern es gibt zum einen diese komplizierte Konfliktlage und zum anderen islamistische Ideologen, die versuchen, diese Konfliktlage für ihre Zwecke zu missbrauchen.	There is no Islamic fundamentalism there either; there is, instead, on the one hand, this complex conflict situation, and, on the other, Islamist ideologues attempting to exploit it for their own ends.
Wir müssen mit solider Kenntnis der Geschichte und der ethnischen Situation dieser Länder an die Sache herangehen. Nur dann können wir den Friedensprozess unterstützen und verhindern, dass Nigeria in einem blutigen Krieg auseinander fällt, gegen den das Gemetzel im ehemaligen Jugoslawien noch eine Kleinigkeit war.	If we are to address this situation, we need sound knowledge of these countries’ history and ethnic make-up; only then will we be able to support the peace process and prevent Nigeria from disintegrating in a bloody war compared with which the carnage in the former Yugoslavia will seem trivial.
Deshalb, wie gesagt, ist es unsere Aufgabe, uns aktiv in den Friedensprozess einzuschalten, aber das auf der Grundlage der Realitäten dieser Länder, die wir genau kennen und auch in unsere Überlegungen einbeziehen müssen.	That, as has been said, is why our task is to get actively involved in the peace process, but to do so with precise knowledge of the realities of these countries, on which we can draw in our deliberations.
