Frau Präsidentin! Kuba ist, wie wir wissen, nicht die USA.	Madam President, Cuba, as we know, is not the United States.
In Kuba gibt es anders als in den USA eine garantierte Schulbildung, eine Gratisgesundheitsversorgung und all jene Errungenschaften, die Kuba aus der Abhängigkeit von den Vereinigten Staaten herausgeholt haben.	In contrast to the United States, Cuba has guaranteed schooling and free health care, as well as all the achievements that have freed it from its former dependence on the United States.
Warum aber imitiert die kubanische Regierung eine der schmählichsten Erfindungen undemokratischer und totalitärer Regierungen?	So why does the Cuban Government imitate one of the most appallingly undemocratic and totalitarian systems ever invented?
Warum in aller Welt starten die Kubaner nicht eine Kampagne, in der sie sagen, wir sind demokratischer als die USA, wir achten die Menschenrechte, wir schaffen die Todesstrafe ab?	Why on earth do the Cubans not launch a campaign to prove themselves more democratic than the United States by respecting human rights and abolishing the death penalty?
Genau das Gegenteil hat die Regierung jetzt getan.	The Cuban Government has done the exact opposite.
Sie hat die Anwendbarkeit der Todesstrafe erweitert.	It has added to its list of capital offences.
Das kann kein Demokrat und kein Sozialist gutheißen, denn das ist eine grobe Verletzung der fundamentalsten Menschenrechte, des Rechts auf Leben.	No democrat or Socialist can approve of that, because it is a gross violation of the most fundamental of all human rights, namely the right to life.
Gesellschaften sind überall im Wandel und so auch in Kuba.	Societies are changing everywhere, and Cuba is no exception.
Wir sollten gegenüber der kubanischen Regierung und der kubanischen Bevölkerung unmißverständlich klarmachen, daß wir bereit sind, unsere wirtschaftlichen, sozialen und kulturellen Beziehungen zu Kuba auszubauen, und daß wir dazu den Kontakt zu aufgeschlossenen, kreativen und demokratischen Kubanern und Kubanerinnen wie auch zu deren Organisation brauchen, sei es innerhalb des AKP-Verbandes oder in einem bilateralen Kooperationsabkommen.	We should make it unmistakably clear to the Cuban Government and the Cuban people that we are prepared to develop our economic, social and cultural relations with Cuba, and that to this end we need to establish contacts with open-minded, creative and democratic Cubans and their organisations, whether within the ACP framework or on the basis of a bilateral agreement.
Um dies zu bewerkstelligen, suchen wir den Dialog.	In order to accomplish this, we seek dialogue.
Wir setzen unsere Hoffnung darauf, daß die kubanische Führung weitsichtig genug ist, dabei mit uns an einem Strang zu ziehen.	We hope that the Cuban leadership will be far-sighted enough to pull together with us in this venture.
Kolumbien	Colombia
