Frau Präsidentin, Frau Kommissarin! Darf ich mal zitieren?	Madam President, Commissioner, may I quote something?
Als die großen Überschüsse im Haushaltsjahr 2000 festgestellt wurden, wurde die Haushaltskommissarin, Frau Schreyer, am 30. Mai 2001 folgendermaßen zitiert: 'Ein derart hoher Überschuss ist ein Ausnahmefall.	When the great surpluses in the 2000 Budget year came to light, the Budget Commissioner, Mrs Schreyer, was quoted as saying, on 30 May 2001: 'Such a large surplus is an exception.
Er hat zur Folge, dass die Mitgliedstaaten im Haushaltsjahr 2001 deutlich weniger Eigenmittel an die Europäische Union abzuführen haben, 81 Milliarden et cetera anstelle von 90,9 Milliarden.	It means that, in the 2001 Budget year, the Member States will be required to remit markedly fewer own resources to the European Union, 81 billion etcetera instead of 90.9 billion.
Ich halte dies für eine durchaus erfreuliche Nachricht für die Mitgliedstaaten.'	I regard this as thoroughly good news for the Member States.'
Zitatende.	End of quote.
Frau Kommissarin, wir wissen, dass das kein Ausnahmefall war.	We know, Commissioner, that this was not an exceptional occurrence.
Das Problem bei diesem Budgetüberschuss - wie wir das nennen - ist ja, dass die Überschüsse größer werden, je länger die Periode dauert, wie wir bisher feststellen können.	The problem with this Budget surplus - for that is what we call it - is that the surpluses get bigger the longer the period lasts, or so we have been able to establish so far.
Also, da stimmt etwas im System an sich nicht.	So there is something intrinsically wrong with the system.
Es sind keine guten Nachrichten, für niemanden, wenn wir nicht in der Lage sind, Budgetwahrheit in Europa herzustellen.	It is not good news for anybody if we are not in a position to establish the reality of Europe's Budget.
Ich stelle mich doch nicht vor die Steuerzahler und sage: Ich stehe für einen Haushalt in Höhe von 90 Milliarden Euro, wenn dann nur 80 Milliarden ausgegeben werden!	I am not going to stand up in front of the taxpayers and say, 'I stand for a Budget totalling EUR 90 billion, provided that only EUR 80 billion is actually spent!'
Das ist doch kein gutes Budgetieren!	That is not good budgeting!
Ich gebe nicht nur Ihnen die Schuld, Frau Kommissarin.	It is not you alone that I blame, Commissioner.
Ich weiß, dass Sie das Möglichste tun.	I know that you are doing all that you can.
Auch wir als Haushaltsbehörde sind gefordert, ebenso die Mitgliedstaaten, aber ich sage Ihnen, ein Parlament, das was auf sich hält und das der Budgetwahrheit verpflichtet ist, kann solchen Entwicklungen nicht zuschauen.	We too, as the budgetary authority, have to do something, as do the Member States, but I tell you this: no Parliament with any self-respect, and committed to Budget reality can sit by and watch these things happening.
Wir werden die effektiv ausgegeben Beträge und Zahlen in Zukunft anpassen müssen an das, was ursprünglich geplant war, oder umgekehrt.	In future, we will have to adjust the amounts and figures actually spent against what was originally planned, or the other way around.
Das geht auf die Dauer nicht!	In the long term, that is just not on.
Das werden unsere Bürgerinnen und Bürger auf Dauer nicht hinnehmen.	In the long term, our citizens will not stand for it.
Das ist der zentrale Punkt bei diesem Entlastungsverfahren 2000.	That is the crucial point about this discharge procedure for the year 2000.
2001 ist das - wie ich gesagt habe - schlechter anstatt besser geworden.	As I have said, things got worse rather than better in 2001.
Wir müssen gemeinsam daran arbeiten.	This is something on which we have to work together.
