Herr Präsident, Herr Kommissionspräsident! Lassen Sie mich einige wenige Punkte ansprechen.	Mr President, Mr President of the Commission, allow me to address a number of issues.
Ich glaube, es ist wichtig festzuhalten, daß die Kommission im Gegensatz zu den Hochzeiten der Gesetzgebung des Binnenmarktes nur noch 31 Gesetzgebungsvorschläge vorlegt, wobei es sich bei einigen um Novellierungen schon bestehender Richtlinien handelt.	I believe that it is important to record that the Commission - in contrast to the golden age of legislation on the internal market - is only tabling 31 new legislative proposals, and some of those consist of amending existing directives.
Dies zeigt, daß wir im Sinne des Subsidiaritätprinzips zu einer vernünftigen Entwicklung kommen, und ich glaube, das sollten wir auch einmal vor der Öffentlichkeit und vor den Regierungen festhalten.	This shows a pleasing tendency, in line with the principle of subsidiarity, and I think that we should also make the public and our governments fully aware of this.
Zweitens bitte ich die Kommission, wie wir es in unserer Entschließung auch zum Ausdruck bringen, uns deutlicher darüber zu informieren, warum 181 Vorhaben beim Rat noch zur endgültigen Entscheidung anstehen und warum der Rat in 85 Fällen noch keinen Gemeinsamen Standpunkt verabschiedet hat.	Secondly, I should like to ask the Commission - as we have also stated in our motion - to tell us more clearly why 181 dossiers are pending in the Council awaiting a final decision, and why the Council has still not adopted a common position in 85 cases.
Ich glaube, daß wir vielleicht eine neue Dynamik in diese Entwicklung hineinbringen können, wenn die Kommission das Parlament eingehender über die Gründe der Blockade im Rat informiert.	I believe that we would perhaps be able to kick-start this process if the Commission were to inform Parliament in more detail of the reasons for the blockage in the Council.
Daraus wird schon mein weiterer Punkt deutlich, nämlich die Forderung nach mehr Transparenz.	That illuminates my next point, a call for more transparency.
Die Kommission hat die Umsetzung der Transparenzregel des Vertrags von Amsterdam als eines ihrer Vorhaben in ihr Arbeitsprogramm aufgenommen.	One of the objectives which the Commission has included in its work programme is implementing the provision on transparency in the Amsterdam Treaty.
Ich glaube, daß dies eine sehr wesentliche Frage für die zukünftige Akzeptanz der Europäischen Union ist, und ich möchte die Kommission bitten, bei der Definition von Transparenz, bei der Definition und Anwendung von Regeln zu einem sehr frühen Zeitpunkt, d.h. möglichst vor der Veröffentlichung ihrer Richtlinien, Kontakt mit dem Parlament aufzunehmen, um auf dieser Grundlage zu gemeinsamen Vorstellungen zu gelangen, denn hier geht es im wesentlichen auch darum, wie wir den Rat zu mehr Transparenz zwingen können bis hin zur Entwicklung eines Legislativrates.	I believe that this issue is vital to the future acceptance of the European Union, and I should like to ask the Commission, when defining transparency and specifying and applying rules, to involve Parliament at a very early stage - if possible before its directives are published - so that we can use this as a basis for reaching a consensus on our ideas, because essentially this is also about how we can force the Council to be more transparent, to the point of establishing a legislative Council.
Ich glaube, daß wir hier eng zusammenarbeiten sollten.	I believe that we should work together closely here.
Da bin ich bei einem weiteren Punkt, der Umsetzung von Amsterdam.	That brings me to a further point, applying the provisions of Amsterdam.
Ich vermisse bisher auch in der Debatte mit dem Parlament doch sehr stark Vorschläge der Kommission für die Umsetzung der gemeinsamen Außen- und Sicherheitspolitik im Zusammenhang mit Amsterdam und Informationen über die Frage, wie beispielsweise die Zusammensetzung der Planungseinheit aussehen soll.	The debate with Parliament hitherto has, I feel, suffered from a marked lack of proposals from the Commission on implementing the common foreign and security policy in connection with Amsterdam, and a lack of information about, for example, the composition of the Planning Unit.
Vielleicht könnte eine Information, ein Dialog auch öffentliches Bewußtsein schaffen, damit dies nicht von den Mitgliedsregierungen untereinander ausgemacht wird, ebenso wie wir auch eine Zusammenarbeit beim Verfahren für die kommende Kommissionswahl und in ähnlichen Bereichen ansprechen möchten.	Information or a dialogue might perhaps raise public awareness, so that this is not settled by the governments of the Member States amongst themselves. In the same way, we should also like to discuss working together on the procedure for the forthcoming selection of the Commission, and in other similar areas.
Auch möchten wir die Kommission sehr herzlich bitten, daß sie schon jetzt soweit wie möglich Regeln des Vertrages von Amsterdam anwendet, bevor er ratifiziert ist, und auch schon jetzt Initiativen ergreift, damit die Bereiche der Rechts- und Innenpolitik nach einer fünfjährigen Übergangsphase in die Mitentscheidung überführt werden können.	We should also like to ask the Commission, as far as possible, to apply the provisions of the Amsterdam Treaty even now, before it is ratified, and also to take initiatives, so that the fields of justice and home affairs can - following the five-year transition phase - move over to codecision.
Es sollten schon jetzt Vorbereitungen getroffen werden, damit diese Überführung noch vor dem Abschluß der Erweiterungsverträge erfolgen kann.	Preparations should be made even now, so that this changeover can still take place before the enlargement treaties are concluded.
Als letztes halte ich es für außerordentlich wichtig, daß die Kommission dem Vorschlag des Parlaments nachkommt, konkrete Vorschläge für die neue institutionelle Reform vorzulegen.	Finally, I believe that it is extremely important for the Commission to table proposals for the new stage of institutional reform, as Parliament has proposed.
Ich habe volles Verständnis dafür, daß aufgrund der Verzögerung der Ratifizierung des Vertrags von Amsterdam das Datum Dezember 1998 nicht eingehalten werden konnte.	I completely understand that the date of December 1998 cannot be adhered to because of the delay in ratifying the Treaty of Amsterdam.
Aber es scheint mir notwendig zu sein, daß zum März nächsten Jahres Vorschläge unterbreitet werden, damit diese Vorschläge schon während des Europawahlkampfes in die Debatte aufgenommen werden können, um auf diese Weise das Thema in den Mittelpunkt der Diskussion zu rücken.	But I do think it is necessary for proposals to be made by March of next year, so that they can form part of the debate during the European election campaign, which in turn will bring the topic to the forefront of the discussion.
