Herr Präsident! Ich möchte die Gelegenheit zu einer persönlichen Erklärung ergreifen.	Mr President, I should also like to make a personal statement. Mr Liese accused me of lying.
Herr Liese hat mich namentlich der Lüge bezichtigt, er hat behauptet, daß diese Verordnung nicht zu einem Russischen Roulette für Verbraucher und für Allergiker wird.	He said that this regulation would not result in a kind of Russian roulette for consumers and people suffering from allergies.
Das Gegenteil ist wahr!	The opposite is the truth!
Sie wissen, es gibt keine Gesundheitskriterien.	You know that there are no health criteria.
Sie wissen aber auch, es gibt keine Nachweismethode, um die Allergenizität dieser genmanipulierten Lebensmittel im voraus feststellen zu können.	But you also know that there are no methods of proof enabling the allergenicity of genetically modified foods to be established in advance.
Die amerikanische Gesundheitsbehörde gibt diesen Tatbestand immerhin zu.	At least the American health authorities recognize that.
Wenn ich also keine Nachweismethode habe, um schon im Vorfeld die Allergenizität der Lebensmittel feststellen zu können, bringe ich sie auf den Markt, und getestet wird dann an den Verbrauchern und den Verbraucherinnen.	In the absence of methods of proof enabling the allergenicity of genetically modified foods to be established in advance, the latter will be placed on the market and tested on consumers.
Das ist ein besonders großes Problem für Allergiker und Allergikerinnen.	This is a particularly serious problem for people suffering from allergies.
Jetzt zu dem Vorwurf von Frau Roth-Behrendt. Ich habe Sie nicht der Lüge bezichtigt.	As regards Mrs Roth-Behrendt's allegation, I did not accuse her of lying.
Auch Frau Flemming hat hier indirekt denjenigen Vorwürfe gemacht, die an dieser Verordnung zweifeln, die deutlich gemacht haben, daß es keine Kennzeichnung für 100 % der genmanipulierten Lebensmittel gibt.	Mrs Flemming also indirectly criticized those who have doubts about this regulation, who have made it clear that there will not be 100 % labelling of genetically modified foods.
Ich habe Beispiele gebracht wie z.B. gentechnisch hergestelltes Wachstumshormon.	I gave the example of growth hormones produced by means of genetic engineering.
Da würde ja sogar Herr Bangemann zugeben, daß man das nicht feststellen kann und daß es dafür auch keine Nachweismethode gibt.	Even Mr Bangemann will admit that the use of these cannot be detected and that there are no methods of proof in this instance.
Dennoch ist es ein genmanipuliertes Produkt.	And yet they are genetically modified products.
Ich habe mich lediglich auf die Aussage von Frau Roth-Behrendt bezogen, die Berichterstatterin, die erklärt hat, diese Verordnung biete einen absoluten Schutz.	I simply referred to the statement by the rapporteur, Mrs Roth-Behrendt, that this regulation offered total protection.
Ich denke, andere Redner und Rednerinnen haben deutlich gemacht, daß es diesen absoluten Schutz nicht gibt.	I believe, and other speakers have also made this point, that there is no such thing as total protection.
Wir haben keine Kriterien.	The relevant criteria do not exist.
Ich möchte - jetzt hört mir Frau Roth-Behrendt nicht zu - Sie nicht persönlich angreifen, das habe ich auch, glaube ich, mit keinem Wort gemacht.	I did not intend - and now Mrs Roth-Behrendt is not listening to me - to make a personal attack on the rapporteur, and I do not believe that I did so with any of my remarks.
Aber es ist mein Recht, als Abgeordnete und als Verbraucherschützerin hier deutlich zu machen: die Gesundheitskriterien fehlen.	However, it is my right as a Member of Parliament and as a consumer to draw attention here to the fact that there are no health criteria.
Von daher kann gar keine Rede davon sein, daß wir hier den Gesundheitsschutz ermöglichen.	Consequently, it is simply not possible to say that we are ensuring health protection with this regulation.
Bitte nennen Sie doch, Frau Roth-Behrendt, wenn Sie wollen, die entsprechenden Gesundheitskriterien.	I would ask you, Mrs Roth-Behrendt, to name the corresponding health criteria.
Es stehen keine in der Verordnung!	There are none set out in the regulation!
