Herr Präsident, hohes Parlament!	.
Ich darf Ihnen als Ratsvorsitzender für dieses überwältigende Votum sehr herzlich danken. Denken sie zurück: Vor einem Jahr gab es die ganz große Krise.	Mr President, ladies and gentlemen, as President of the Council, I would like to thank you warmly for this overwhelming vote.
Wir sind mit einem Finanzvorschlag der luxemburgischen Präsidentschaft gescheitert, der übrigens nicht allzu weit von dem entfernt war, was wir heute gemeinsam abgeschlossen haben. Ich möchte daher an dieser Stelle auch Jean-Claude Juncker, der es sich verdient hätte, diesen Tag in seiner Präsidentschaft zu erleben, ein ganz großes Dankeschön aussprechen.	If you think back, it was a year ago that the great crisis occurred, with the failure of a financial proposal from the Luxembourg Presidency – a proposal, I might add, that was not all that far removed from the one we have adopted today, and so I would like to take this opportunity to say a very big thank you to Jean-Claude Juncker, who deserved to see this day in his presidency.
Wir haben diese Krise partnerschaftlich gelöst.	It is as partners that we have resolved this crisis.
Das Parlament hat nicht nur Zähne gezeigt, sondern einfach konkrete Anregungen und Ideen eingebracht.	Parliament has not merely bared its teeth, but has put forward simple and practical ideas and suggestions.
Wir haben jetzt insgesamt mit der neuen Finanzvorschau für sieben Jahre um 70 % mehr Geld für die Wettbewerbsziele laut Lissabon-Agenda, wir haben aber vor allem auch für Klein- und Mittelbetriebe 60 % mehr, außerdem können Hunderttausende Studierende mehr das Erasmus-Programm in Anspruch nehmen als in den letzten sieben Jahren.	All in all, we now, with the new Financial Perspective, have, for the period of seven years, some 70% more money for the competition goals as per the Lisbon agenda, but we also, and in particular, have 60% more for small and medium-sized enterprises, while, moreover, hundreds of thousands more students than over the past seven years can avail themselves of the Erasmus programme.
Was mich auch besonders freut: Wir haben die Erweiterungskosten untergebracht.	I am particularly glad that we have made provision for the costs of enlargement.
Wir werden für die nächsten sieben Jahre – Bulgarien und Rumänien mit eingerechnet – insgesamt 160 Milliarden Euro zur Verfügung stellen; das ist in Geldwert zweimal so viel wie der Marshallplan nach dem Krieg für ganz Europa ausgemacht hat.	Over the next seven years, we will, in total, be making EUR 160 billion available, and that includes to Bulgaria and Romania; in terms of monetary value, that is twice as much as the post-war Marshall Plan for the whole of Europe.
Das Parlament kann stolz auf diesen Beschluss sein, man hätte allerdings vielleicht die Beitrittskosten der zehn Mitglieder gleich mit einschließen sollen, dann hätten wir uns bei dieser Finanziellen Vorausschau leichter getan.	Proud though your House can be of this resolution, it might well be that the accession costs of the ten Member States ought to have been included at the same time, and then we would have had an easier time of it with this Financial Perspective.
Dies sollte eine Lektion sein, es in Zukunft besser zu machen.	This should be a lesson to us to do this better in future.
Wir haben uns vorgenommen, dass wir konkrete Projekte lösen wollen, damit wir das Vertrauen der Bürger wiedergewinnen.	Our original intention was to sort out practical projects in order to restore public confidence in us.
Diese Finanzielle Vorausschau ist ein solches konkretes Projekt wie auch die Wegekosten-Richtlinie, der Europäische Führerschein oder die gemeinsame Beschlussfassung, keine Verlagerungen von Standorten oder Arbeitsplätzen durch die Strukturfonds in neue Mitgliedstaaten zu fördern.	This Financial Perspective is the same sort of practical project as the infrastructure costs directive, the European driving licence and the joint resolution to desist from using the Structural Funds to promote the relocation of workplaces or jobs to new Member States.
Das ist auch ein ganz wichtiger Schritt nach vorne.	This, too, is a most significant step forward.
Wir werden in den kommenden Wochen der österreichischen Präsidentschaft auf diesem Weg weiterfahren.	We will continue down this road in the remaining weeks that are left to the Austrian Presidency.
Ich hoffe und zähle auf Ihre Kooperation.	I hope that you will be cooperative and rely on your being so.
Im Juni sehen wir uns wieder. Dann geht es um die Zukunft Europas.	We will meet again in June, when we will be discussing the future of Europe.
Alles Gute! Herzlichen Dank.	I wish you all the best, and thank you from the bottom of my heart.
