Herr Präsident, aufgrund der Zeitnot im Telegrammstil.	Mr President, as we are short of time I will make my statement telegram style.
Erstens Ihnen, Frau Thyssen, einen herzlichen Dank für Ihren ausgezeichneten Bericht.	First of all, many thanks to you, Mrs Thyssen, for your excellent report.
Zweitens den Mitgliedern des Wirtschafts- und Währungsausschusses ebenso Dank für die Unterstützung dieses wichtigen Reformprojekts!	Second, my thanks also to the members of the Committee on Economic and Monetary Affairs for supporting this important reform project.
Der Entwurf ist ein wichtiger Reformschritt der Wettbewerbspolitik bezüglich der vertikalen Wettbewerbsbeschränkungen.	The draft is an important step in the reform of competition policy in respect of vertical restraints.
Seit der Veröffentlichung des Grünbuches 1997 hat die Entwicklung des Instituts der vertikalen Vertriebsbeschränken verschiedene Etappen durchlaufen, darunter zuletzt die Annahme der neuen Verordnung 2790 bezüglich der Anwendung des Artikels 81 Paragraph 3 auf vertikale Abkommen.	Since the Green Paper was published in 1997, the development of the institution of vertical distribution restraints has gone through various phases, including most recently the adoption of new Regulation 2790 on the application of Article 81(3) of the Treaty to categories of vertical agreements and concerted practices.
Wie Sie wissen, vollzieht die Kommission mit dieser Politik einen entscheidenden Wechsel von dem traditionellen, auf formalen Kriterien basierenden Ansatz hin zu einem auf der Analyse der ökonomischen Auswirkungen beruhenden Ansatz.	As you know, the Commission is taking this policy as a basis for a decisive switch from a traditional approach based on formal criteria to an approach based on the analysis of economic impacts.
Dies zielt auf die Wiederherstellung der Vertragsfreiheit für die große Mehrzahl der Unternehmen ab und verbessert gleichzeitig den Wettbewerbsschutz zum Nutzen der Verbraucher.	The objective of this is to re-establish freedom of contract for the great majority of companies and to simultaneously improve the protection of fair competition for the benefit of consumers.
Darüber hinaus, Frau Thyssen, möchte ich zu Ihrer Frage, ob es ein review geben wird, feststellen: Jawohl, es wird ein review der Richtlinien nach vier Jahren geben.	Furthermore, in answer to your question, Mrs Thyssen, as to whether there will be a review, the answer is yes, there will indeed be a review of the guidelines after four years.
Zu Ihrer Frage bezüglich der horizontalen Maßnahmen: Die Dienste der Kommission sind derzeit dabei, ein Set von Richtlinien bezüglich dieser horizontalen Zusammenarbeitsabkommen auszuarbeiten.	With regard to your question about horizontal measures, the Commission is currently drawing up a set of guidelines relating to this horizontal cooperation agreement.
Ein erster Entwurf dieser Richtlinien wird dann dem Europäischen Parlament übermittelt werden, bevor er im Amtsblatt veröffentlicht wird.	A first draft of these guidelines will then be transmitted to the European Parliament before it is published in the Official Journal.
Es ist sehr wahrscheinlich, daß das noch vor Ende April der Fall sein wird.	It is very likely that this will happen before the end of April.
Ich freue mich, feststellen zu können, daß das Europäische Parlament und die Kommission in dieser Angelegenheit eng und konstruktiv zusammengearbeitet haben.	I am delighted to report that the European Parliament and the Commission have worked together closely and constructively on this issue.
Der Bericht von Frau Thyssen zeigt einmal mehr, daß dieser Wille zur Zusammenarbeit einen entscheidenden Beitrag leistet zu einer ganzen Reihe dieser einschlägigen Reformaspekte.	Mrs Thyssen' s report demonstrates once more that this will to cooperate is making a valuable contribution to various relevant aspects of the reform process.
