. – Herr Präsident!	.
Die Energieeffizienz ist die wichtigste Energiequelle Europas! Es ist die schnellste und billigste Art, unsere Kyoto-Ziele zu erreichen, und es ist auch eine Möglichkeit, in Europa zu investieren und Arbeitsplätze zu schaffen, anstatt Geld für Öl und Gas nach Übersee oder an die arabischen Länder zu überweisen.	Mr President, of all Europe’s energy sources, energy efficiency is the most important, and the fastest and cheapest way to achieve our Kyoto targets; not only that, but it also gives us a chance to invest in Europe and create jobs, rather than handing over money to foreign countries or to the Arab world in return for oil and gas.
Die vorliegende Richtlinie ist ein Schritt zur Erschließung dieser Potenziale. Sie ist auch komplementär zur Öffnung der europäischen Gas- und Strommärkte.	This directive not only brings the day closer when we can develop this potential, but also complements the opening-up of Europe’s gas and electricity markets.
Neben einem Wettbewerb um die Produktion und den Verkauf von Strom und Gas wird es mit dieser Richtlinie auch einen verstärkten Wettbewerb um Investitionen in Einspartechnologien, in so genannte Negawatts, geben.	Alongside competition in the production and sale of electricity and gas, this directive will make for more vigorous competition in relation to investments in energy-saving technologies, in what are called ‘negawatts’.
Das ist ein milliardenschwerer Markt besonders für die kleinen und mittleren Unternehmen in Europa.	Particularly to small and medium-sized enterprises, this market is potentially worth billions.
Was ist gut an der Richtlinie?	What is good about this directive?
Gut an der Richtlinie ist das Prinzip der nationalen Aktionspläne. Der erste Plan muss bis Juni 2007 vorgelegt werden.	One good thing in it is the concept of national action plans, the first of which has to be submitted by June 2007, after which the Commission will have six months in which to suggest any improvements that it thinks necessary.
Dann hat die Kommission sechs Monate Zeit, eventuell notwendige Verbesserungen vorzuschlagen. Nach drei Jahren wird Bilanz gezogen, d. h. es wird evaluiert, und dann wird der nächste Plan erstellt, und zwar nicht nur anhand der Fehler und Erfolge des einen nationalen Plans, sondern anhand der Fehler und Erfolge von 25 oder 27 nationalen Plänen.	After three years, an assessment or evaluation will be carried out, and the next plan will then be drawn up, which will incorporate the lessons learned, not only from the successes and failures of one national plan, but those learned from the successes and failures of 25 or 27 of them.
Dadurch können wir in Europa wirklich Ernst machen mit Energieeinsparung.	That means that we, in Europe, can really get serious about saving energy.
Wir sollten uns nicht täuschen: Bei der Energieeffizienz wird oft ein allgemeiner, für mich leerer Konsens beschworen.	We should not, however, harbour any illusions about this: when debate turns to energy efficiency, it is often the case that people invoke a general consensus – one that I, however, do not believe actually exists.
Der wahre Grund, warum große Energiekonzerne wie RWE oder E.ON hinter den Kulissen, bei der Kommission, im Parlament und im Rat diese Richtlinie bis zuletzt mit aller Härte bekämpft haben, ist, dass diese Konzerne Angst vor einem Markt für Energieeinsparungen haben.	The real reason why the big energy companies, like RWE and E.ON, fought this directive tooth and nail behind the scenes in the Commission, in this House and in the Council, right up to the very end, is that the prospect of a market in the saving of energy terrifies them.
Deshalb haben diese Konzerne und die Parlamentarier und Regierungen, die ihnen nahe stehen, auch dafür gesorgt, dass es keine verbindlichen Ziele gibt.	It is for that reason that these companies, aided by their sympathisers in parliaments and governments, have seen to it that none of the targets are binding.
Ich bedaure dies, habe aber die Hoffnung noch nicht aufgegeben, dass alle – in Zukunft vor allem auch die nationalen Parlamentarier – lernfähig sind und das Modell von Dänemark imitieren werden: 1,7 % verbindlich, das ist das, was wir auch in den anderen Ländern brauchen!	While I do regret this, I have not yet given up hope that all of them – particularly, in future, the members of the national parliaments – are capable of learning and will imitate the Danish model: a binding 1.7% is what we need in the other countries too.
