Herr Präsident! Keine Frage - die Verantwortung für Guantánamo liegt bei den USA.	Mr President, there is no question that the responsibility for Guantánamo lies with the USA.
Aber es ist doch auch ein Akt der Solidarität, wenn die Anfrage von Barack Obama kommt, ihm bei der Rückkehr zum Völkerrecht zu helfen, ihn dabei zu unterstützen.	However, it is an act of solidarity to help and support Barack Obama to return to the rule of international law when he asks us to do so.
Ich denke hier z. B. an die Uiguren, die nicht nach China zurückkehren können.	I am thinking, for example, about the Uighurs who cannot return to China.
Aber man muss auch die Menschen sehen, die jetzt fünf oder sieben Jahre in Guantánamo eingesessen sind.	However, we also need to consider the people who have spent five or seven years in Guantánamo.
Ob die jetzt zwingend in den USA leben wollen, das können wir doch nicht entscheiden, sondern das muss in der Hand dieser Leute liegen.	We cannot decide whether or not they want to live in the USA. That is their choice.
München bzw. die dort lebenden Uiguren wären z. B. bereit, diese Uiguren aufzunehmen, sie zu unterstützen, sie auch zu betreuen, damit sie ihre traumatischen Erlebnisse verarbeiten können.	For example, the city of Munich and the Uighurs who live there would be ready to accept these Uighur people and to support and care for them so that they can come to terms with their traumatic experiences.
Aber eines muss auch klar sein: Es geht nicht, dass der bayerische Innenminister, Joachim Hermann, sagt "Wer in Guantánamo einsitzt, der wird schon etwas verbrochen haben".	However, one thing must be made clear. It is not acceptable for the Bavarian Interior Minister, Joachim Hermann, to say: 'Everyone who is held in Guantánamo must have committed a crime'.
Hier muss das Recht der Unschuldsvermutung gelten.	The right to the presumption of innocence must apply in this case.
Dieser Minister sollte als oberster Chef einer Polizeibehörde eigentlich seinen Hut nehmen.	As the head of a police authority, this minister should pack his bags and go.
Denn wir bilden Polizisten in anderen Ländern aus, damit sie genau das Recht der Unschuldsvermutung endlich in ihre Arbeit mit einbeziehen und keinen vorläufigen Erschießungsbefehl ausstellen.	We are training the police in other countries to introduce precisely this right to the presumption of innocence into their work and not to give premature orders to shoot.
Darüber sollte man einmal nachdenken!	We should think carefully about that.
