Herr Präsident, sehr geehrte Damen und Herren Abgeordnete!	, Commission.
Das Haushaltsverfahren für ein Haushaltsjahr beginnt mit der Prioritätensetzung - heute morgen haben wir die Prioritäten für den Haushalt 2002 debattiert -, und es endet mit der Entlastung durch das Europäische Parlament, wie wir sie heute für den Haushalt des Jahres 1999 debattieren.	Mr President, ladies and gentlemen, the budget process for any given budget year starts with priority setting, and this morning we debated the priorities for the 2002 budget. The conclusion of the budget process is the discharge granted by the European Parliament, which we have been debating today in respect of the 1999 budget.
Die Entlastungsentscheidung ist für die Kommission und das Parlament ein ganz entscheidender Augenblick, da hier die demokratischen Kontrollbefugnisse des Parlaments voll zum Tragen kommen.	The discharge decision is a vital moment for the Commission and Parliament, as Parliament's democratic control functions come into full play at this point.
Diese Kontrolle betrifft sehr viele Bereiche, denn der EU-Haushalt ist umfangreich - 1999 waren es 84 Milliarden Euro - und vor allem umfasst er ganz verschiedene Tätigkeitsbereiche, die von der Förderung von Olivenöl, Nüssen, Schulmilch bis zum Studentenaustausch, von der Entwicklung von benzinsparenden Autos bis hin zur Raumforschung oder von Informationen über den Euro, der Förderung der Ausbildung von Frauen in Afrika bis zum Umbau der Fischereiflotte oder zur Nahrungsmittelhilfe nach einem Erdbeben oder nach einem Bürgerkrieg reichen.	This control extends to many areas, as the EU budget is very substantial - it amounted to EUR 84 billion in 1999 - and above all it covers a wide variety of activities, ranging from support for olive oil, nuts and school milk to student exchanges; from the development of petrol-saving cars to space research or information on the euro, from support for educating women in Africa to the restructuring of the fishing fleet or to food aid after an earthquake or after a civil war.
Angesichts dieses breiten Spektrums, das ich jetzt nur als Beispiel aufgezählt habe, betrifft die Kontrolle des Haushaltsverfahrens fast alle Aktivitäten der Kommission.	In view of this wide range, which I have just listed by way of example, control of the budget process covers nearly all the Commission's activities.
Herr Blak, der Generalberichterstatter für die Haushaltsentlastung, hat genau diesen Ansatz der umfangreichen Kontrolle der verschiedensten Politikbereiche, in denen öffentliche Mittel ausgegeben werden, gewählt.	Mr Blak, the general rapporteur for the budget discharge, adopted exactly this approach to the wide-ranging control of a broad spectrum of policy areas in respect of which public money is spent.
Das war harte Arbeit für alle Beteiligten.	This was hard work for everyone concerned.
Dies belegen die ausführlichen Fragebögen, aber vor allem belegt dies auch der vorliegende Bericht.	This is demonstrated by the detailed questionnaires, but also and above all by the report before us.
Herr Blak, Sie haben den Ruf, ein sehr scharfer Kritiker von Missmanagement zu sein.	Mr Blak, you have a reputation for being a very harsh critic of mismanagement.
Ich kann nach diesen Monaten der Zusammenarbeit nun wirklich bestätigen und bezeugen, dass Sie Ihrem Ruf treu geblieben sind.	Having worked with you over these past months, I can really confirm that and bear witness that you have lived up to your reputation.
Gleichzeitig darf ich mich für die Ausgewogenheit und Fairness sowie den klaren Ansatz, den Sie verfolgt haben, bedanken, der darauf abzielte, in allen Bereichen aufzuzeigen, wo etwas gut und wo etwas schlecht läuft, und in Ihren Beschlüssen und Ansätzen darauf zu pochen, dass hier eine Verbesserung der Gemeinschaftspolitik in Gang gesetzt wird.	At the same time, I would like to thank you for the balance and fairness of your report and for the clear approach that you adopted in it. The aim of that approach was to highlight both good and bad features in all areas, and to insist through your decisions and evaluations on achieving an improvement in Community policy.
Die Kommission wird auf die wichtigsten Ergebnisse Ihrer Arbeit Maßnahmen folgen lassen.	The Commission will be taking measures in response to your most important findings.
Wie alle guten Köche wissen, sind die richtige Mischung und die richtige Temperatur auf der Herdplatte der Schlüssel zum kulinarischen Erfolg.	As all good chefs know, the key to culinary success is to cook the right ingredients at the right temperature.
Der Ausschuss hat viele Sitzungsstunden in den Entlastungsprozess investiert und vor allem diverse Anhörungen mit den verantwortlichen Kommissaren durchgeführt.	The committee has devoted many hours of meetings to the discharge process, and above all it has held various hearings with the Commissioners responsible.
Ich darf mich auch im Namen der Kommission für diese gute Kooperation in den Arbeitsbeziehungen beim Ausschuss und bei der Vorsitzenden des Ausschusses, Frau Theato, bedanken.	I would also like, on behalf of the Commission, to thank you for the excellent cooperation and work in the committee, and to extend those thanks to the chair of the committee, Mrs Theato.
Grundlage für das jährliche Entlastungsverfahren ist der Jahresbericht des Rechnungshofes.	The basis for the annual discharge procedure is the Court of Auditors' annual report.
Für 1999 hatte der Hof der Kommission eine positive Zuverlässigkeitserklärung für die Einnahmenseite, für die Verpflichtungsermächtigungen und die Verwaltungsausgaben, nicht aber für die übrigen Zahlungstransaktionen erteilt, wie das auch schon in den Jahren davor der Fall war.	For 1999, the Court gave the Commission a positive Statement of Assurance on the revenue side, for commitment appropriations and for administrative expenditure, but not for other payment transactions, as has also been the case in previous years.
Der Ausschuss und die Berichterstatter haben sich für ihre Berichte aber nicht nur auf die professionelle Arbeit des Hofes gestützt, sondern auch auf das Informationsmaterial der Kommission, auf die ausführlichen Antworten, auf mehrere umfangreiche Fragebögen sowie auf die Zusammenfassung einer Vielzahl von Prüfberichten und auf die Prüfberichte selber.	The committee and the rapporteur have not only relied on the professional work of the Court for their reports, but also on material provided by the Commission, and on detailed replies, on several extensive questionnaires and on a summary of a great many audit reports and on the audit reports themselves.
Über 60 von der Kommission übermittelte Dokumente, insgesamt mehrere tausend Seiten, hat der Berichterstatter, Herr Blak, für seinen Bericht geprüft.	The rapporteur, Mr Blak, examined over 60 of the documents provided by the Commission, running to several thousand pages.
Zu den für den gesamten Prozess des Entlastungsverfahrens wichtigen Dokumenten gehört der Aktionsplan der Kommission zum Entlastungsverfahren.	One of the key documents for the whole discharge procedure is the Commission's discharge action plan.
Darin legt die Kommission konkret dar, welche Schritte sie unternimmt, um der Kritik des Rechnungshofes Rechnung zu tragen.	In this document the Commission presents the precise measures it is taking in order to respond to the Court of Auditors' criticisms.
Das sind dann keine wolkigen Versprechungen, sondern es wird konkret angegeben, was gemacht wird und wann es gemacht wird.	These are not vague promises - the plan specifies in precise terms what is to be done and when.
Das gilt auch für den follow up-Bericht - insgesamt 48 Seiten - auf die Entlastungsentscheidung des Europäischen Parlaments für den Haushalt 1998.	The same applies to the follow-up report - 48 pages in all - to the European Parliament's discharge decision for the 1998 budget.
