Herr Präsident! Ich habe nicht den Wunsch, mich in einen privaten deutschen Streit einzumischen.	Mr President, I have no desire to involve myself in a private German dispute.
Beifall	Applause
Ich möchte Deutschland zu einer im großen und ganzen erfolgreichen Präsidentschaft gratulieren, obwohl ich zu unterstellen wage, daß sie als erfolgreicher wahrgenommen worden wäre, wenn man etwas weniger herumposaunt hätte.	I would like to congratulate Germany on a broadly successful Presidency though I would venture to suggest that it might have been perceived as more successful had it been trumpeted rather less.
Die letzten Ratspräsidentschaften - Österreich und Luxemburg mit ihrem zurückhaltenden Auftreten - können größere Mitgliedstaaten wie Deutschland und das Vereinigte Königreich lehren, daß der Erfolg der Präsidentschaft mitunter genau umgekehrt proportional zu dem Trara steht, das man darum macht.	Recent presidencies - Austria and Luxembourg with their low key presentation - can teach larger Member States such as Germany and the United Kingdom that the impact of a Presidency is sometimes in directly inverse proportion to its fanfare.
Dieses ist eine schwierige Präsidentschaft gewesen.	This has been a difficult Presidency.
Der Kosovo-Konflikt begann während des Europäischen Rats im März.	The Kosovo conflict started during the European Council in March.
Die Nachricht, daß Belgrad die Friedensbedingungen akzeptiert hat, traf während Ihres Kölner Gipfels im Juni ein; und der Rücktritt der Kommission zehn Wochen nach der Übernahme der Präsidentschaft kann das Leben wahrlich nicht einfacher gemacht haben.	The news that Belgrade had accepted the peace terms came during your Cologne Summit in June; and the resignation of the Commission ten weeks into your Presidency cannot have made life any easier.
Ich möchte mich mit meinen Bemerkungen auf drei Bereiche konzentrieren - Beschäftigung, Erweiterung und Unionsbürgerschaft.	I would like to concentrate my remarks on three areas - employment, enlargement and citizenship.
Das Problem der Beschäftigung erinnert uns ständig an das Versagen der westlichen Demokratien, integrativ zu wirken, und ich möchte einige sehr gute neue Gedanken begrüßen, die während dieser Präsidentschaft vorgebracht wurden: Den Mitgliedstaaten sollte es gestattet sein, die Mehrwertsteuer auf arbeitsintensive Dienstleistungen, die keine grenzüberschreitenden Auswirkungen haben, zu senken; eine erneute Betonung von Forschung und Entwicklung und eine phantasievollere Nutzung von Geldern der Europäischen Investitionsbank wie beispielsweise im Fall der Schaffung der Europäischen Technologiefazilität; Veränderungen in der Arbeitsorganisation und in der Arbeitszeit, um die vorhandene Arbeit besser zu verteilen.	Employment, Mr President, is a constant reminder of the failure of Western democracies to be inclusive and I would welcome some very good new ideas that came up during this Presidency. Allowing Member States to reduce VAT on labour-intensive services where there are no cross-border implications; a renewed emphasis on research and development and a more imaginative use of European Investment Bank money such as in the creation of the European technology facility; changes in work organisation and working time to share out better the work available.
Dies alles sind Ideen, die aufkamen und die weiterverfolgt werden sollten.	These are all ideas that came up and they deserve to be pursued.
Ich bedaure es, daß hinsichtlich der Agenda 2000 weniger Fortschritte erzielt wurden.	I regret that less progress was made on Agenda 2000.
Die Präsidentschaft behauptet, den Finanzrahmen für die Osterweiterung geschaffen zu haben.	The Presidency claims to have created the financial framework for enlargement to the east.
Hoffentlich ist das so, doch glaube ich, daß wir in Wahrheit vor den harten Entscheidungen zur Agrarreform zurückgewichen sind.	I hope that is the case but I believe that the reality is that we backed away from the tough decisions on agricultural reform.
Das wird zu Problemen in den transatlantischen Beziehungen und zu einer weiteren Verzögerung der Integration mittel- und osteuropäischer Bewerberländer in die Europäische Union führen.	That will lead to problems in transatlantic relations and to further delay in the integration of Central and Eastern European applicant countries into the European Union.
Doch der bedeutendste Fortschritt wurde in bezug auf die Rechte der Bürger erzielt.	But the most important progress has been in the area of citizens' rights.
Wollen wir das richtig hinbekommen, dann brauchen wir ein neues Herangehen seitens der Mitgliedstaaten.	If we are to get this right, we need a new approach from the Member States.
Wenn wir einen Raum der Freiheit, der Sicherheit und des Rechts aufbauen wollen - wie uns in Amsterdam versprochen wurde -, dann werden wir Transparenz brauchen.	If we are to create an area of freedom, security and justice - promised to us at Amsterdam - then we will need transparency.
Es ist eine Schande, daß wichtige Dokumente in bezug auf den Dritten Pfeiler noch nicht öffentlich gemacht wurden, aber ich möchte in diesem besonderen Bereich Herrn Fischers persönliche Rolle würdigen und ihm für seine Hilfe danken.	It is a disgrace that important documents regarding the Third Pillar have still not been made public, but I would pay homage to the role of Mr Fischer himself in this particular area and thank him for his help.
Amsterdam kündigt einen Neubeginn auf dem Gebiet der Rechte der europäischen Bürger an.	Amsterdam heralds a new dawn in the rights of European citizens.
Es war eine mutige Entscheidung der deutschen Präsidentschaft, die Idee einer Charta der Grundrechte auf die Tagesordnung zu setzen und voranzubringen.	It was a brave decision of the German Presidency to table and to advance the idea of a charter of fundamental rights.
Ihr pluralistischer Ansatz, Ihr Bemühen, das Europäische Parlament und die nationalen Parlamente einzubeziehen, kann dem wahrscheinlichen Erfolg nur dienlich sein.	Your pluralistic approach, your attempt to involve the European Parliament and national parliaments can only add to the likelihood of success.
Wir als Parlament, Herr amtierender Präsident, freuen uns auf die Zusammenarbeit mit dem Rat und der Kommission bei der Sicherung der Verankerung der Grundrechte und der Grundfreiheiten für die Bürger im europäischen Recht.	We as a Parliament, Mr President-in-Office, look forward to working with the Council and the Commission in securing the anchoring of fundamental rights and fundamental freedoms for the citizen in European law.
