Frau Präsidentin!	Madam President.
Herr Rehder, wir unterstützen Ihren Bericht, weil wir der Meinung sind, daß er einige Verbesserungen bringt, aber wir sind grundsätzlich gegen das Instrument der Rodung.	Mr Rehder, we support your report, because we think it will bring a number of improvements, but we oppose on principle the policy of grubbing up.
Sie wissen, dies ist nicht neu, das hat es jahrzehntelang in der Vergangenheit schon gegeben.	As you know, this is not new; we have had it for decades.
Es hat dazu beigetragen, daß Streuobstsiedlungen vernichtet wurden, daß Plantagen angelegt wurden, weil es gleichzeitig auch Förderungen für die Anlage dieser Plantagen gab.	It contributed to the fact that self-seeding land was destroyed, and plantations laid out because there was simultaneous encouragement for them.
Diese Maßnahmen haben dazu geführt, daß wir heute überhaupt erst eine solche Überschußsituation haben, daß sich die Betriebe nicht am Markt orientiert haben, daß Masse statt Klasse produziert wurde, und jetzt haben wir das Problem mit der Vernichtung.	These measures gave rise to the very fact that we now have overproduction, that businesses have not been market-oriented, that production was for quantity not quality, and now we have the problem of destruction.
Dasselbe gibt es übrigens auch beim Wein.	It is exactly the same, by the way, with wine.
In den 70er und 80er Jahren gab es eine Umorientierung der Weinflächen von ungefähr 50 %, wo Qualitätssorten rausgenommen wurden, Massensorten reingenommen wurden.	In the 70s and 80s there was a reorganization of vineyards so that quality vines were removed and replaced by quantity producers.
Das ging so weit, daß Wein in den tiefgründigen Böden der Eifel, auf Zuckerrübenböden angebaut wurde.	That went so far that in the Eifel foothills vines were planted on sugarbeet fields.
Auch da haben wir uns nun mit Überschüssen auseinanderzusetzen.	There too, we have to face overproduction.
Das ist insgesamt eine verkehrte Richtung, und wir wollen, daß diese Instrumentarien weggelassen werden.	That is, all in all, the wrong way to go, and we want these enabling instruments to be deleted.
Wir wollen, daß der Markt die Regelung übernimmt.	We want the market to decide the rules.
Wir unterstützen aber ihren Bericht, weil wir sagen, hier sind einige Momente eingearbeitet, die das Schlimmste verhindern.	We support your report, though, because we feel that a few things have been included here which will prevent the worst from happening.
Aber ich finde, wir sollten uns nochmal darüber unterhalten, daß wir dieses Marktgeschehen in grundsätzlicher Weise neu angehen.	I do feel, however, that we must discuss this again, and that we must approach this market issue in a fundamental way.
