Herr Präsident! Herzlichen Dank an die Kollegin Jöns für ihren Bericht.	Mr President, let me thank Mrs Jöns for her report.
Ich teile ihre Einschätzung in vollem Umfang, sogar in der ursprünglichen Fassung des Berichts, und deswegen lassen Sie mich einige allgemeine Ausführungen zum sozialen Dialog machen.	I agree fully with her assessment, and indeed with the original version of the document, and for this reason I wish to make a number of general comments on the subject of social dialogue.
Sicher ist er wertvoll, nur die bisherigen Ergebnisse der Sozialpartner in Europa, ob Erziehungsurlaub oder Teilzeitarbeit, sind leider im wahrsten Sinne des Wortes Minimalismus.	Of course the latter has a valuable contribution to make. However, the achievements of the social partners in Europe, whether in respect of career breaks or part-time work, are sadly minimalist in the truest sense of the word.
Damit können wir uns nicht zufrieden geben.	We cannot be satisfied with this.
Deshalb teile ich nicht die Euphorie, Herr Kommissar, über die Ergebnisse im sozialen Dialog, die bisher vorliegen.	For this reason, Mr Commissioner, I do not share the euphoria which has so far surrounded the results of social dialogue.
Wir haben nur einen Fuß in der Tür. Wir müssen sie weiter aufstoßen, und dabei hoffe ich jetzt einmal auf Ihre Unterstützung.	We have but one foot in the door, and we will have to push much harder if we are to achieve anything.
Ich bin mir allerdings nicht ganz sicher, ob Ihre Unterstützung stark genug sein wird.	I hope that we can count on your support here, though I personally am not convinced that your support will prove strong enough.
Falls uns allerdings ein drittes Mal eine Vereinbarung mit so geringem Wert vorgelegt werden sollte, bin ich der Meinung, daß wir sie dann leider ablehnen müssen.	If we are to be presented for a third time with an agreement of such minimal value, then I believe, with some regret, that we must reject it.
Ich danke auch dem Kollegen Hernández Mollar.	I also wish to express my thanks to Mr Hernández Mollar.
Er hat für den Beschäftigungsgipfel wichtige Anstöße gegeben, die ich weitestgehend unterstütze.	His contribution to the employment summit has been significant and I would like to give it my wholehearted support.
Ich fürchte nur, Herr Kollege, der Rat wird wie die Sozialpartner in Luxemburg dem Minimalismus huldigen, und das Ergebnis wird sein, daß wir von der Bevölkerung dafür die Schläge beziehen, weil wir im Vorfeld vielleicht mehr Hoffnungen erweckt haben, als der Rat erfüllen will.	However, I fear, Mr Hernández Mollar, that like the social partners in Luxembourg, the Council will adopt the minimalist approach and the peoples of Europe will ultimately blame us for this, since we in the front line may well have aroused more expectations than the Council is prepared to fulfil.
Ich hoffe nur, daß meine Vorhersagen nicht in Erfüllung gehen.	I only hope that my prophesies in this respect do not come true.
