. Der EP-Resolution zum Gipfel in Nizza habe ich soeben zugestimmt.	I have just voted in favour of the resolution of the European Parliament on the Nice Summit.
Was die Staats- und Regierungschefs am Wochenende abgeliefert haben, ist völlig unzureichend.	What the Heads of State and Government delivered at the weekend is totally inadequate.
Weder wurde die von Romano Prodi erhoffte "Wegskizze für die Erweiterung " erreicht, noch ein "signifikanter Mehrwert ".	Neither the 'significant added value' nor the 'route map to enlargement' for which Romano Prodi had hoped were achieved.
Im Gegenteil: Die europäischen Bürger und ihr Parlament erleben einen "Rückschritt hinter Amsterdam ".	On the contrary, the people of Europe and their Parliament have experienced a 'regression from Amsterdam'.
Diese in langen Nachtstunden gestrickten Beschlüsse des Rates bieten keinen soliden Halt; sie haben dicke Löcher, durch die Begriffe wie Transparenz, Identitätsstiftung, mehr Demokratie, Beteiligung der Bürger oder Reformbewusstsein glatt durchfallen.	These Council decisions, cobbled together in late-night sessions, do not constitute solid foundations; they are riddled with holes large enough for concepts such as transparency, the creation of a European identity, more democracy, popular participation and reformism to slip right through.
Auf Grundlage der derzeit vorliegenden Informationen gab es einige Erfolge - etwa die verstärkte Zusammenarbeit, das Parteienstatut und den erklärten Willen zur Osterweiterung -, hauptsächlich aber kam es zu Minimalkompromissen.	The information currently at our disposal suggests that there were some successes, such as intensified cooperation, the party statute and the declaration of intent on eastward enlargement, but the compromises that materialised were mostly minimal.
Wie auf einem Jahrmarkt wurden unterschiedliche nationale Sonderinteressen erschachert.	As at a Christmas market, Member States set out their stalls on which various national interests were displayed with price tags attached.
Mehr europäische Gemeinsamkeiten wurden sträflich blockiert.	Moves towards greater convergence were blatantly obstructed.
Bitter enttäuscht hat mich die französische Ratspräsidentschaft vor und während der Verhandlungen.	I was bitterly disappointed by the French Presidency of the Council before and during the negotiations.
Da wurde halbherzig moderiert; aktionistisch wurde eine Flut von Kompromissen präsentiert, die nur eine Gemeinsamkeit hatten: nicht mehrheitsfähig zu sein.	The prompting from the chair was half-hearted; the active contribution of the presidency consisted in proposing a deluge of compromises with only one thing in common, namely their inability to attract majority support.
Da wurde innenpolitisch taktiert, um einer kommenden Wahl willen.	This was domestic politicking for the sake of a forthcoming election.
Es fehlte der europäische Motor, ausgerechnet in diesem Land, das bei allen Eigeninteressen als "grande nation " immer europäisch orientiert war.	The engine of European unification was left idling in this very country which, for all its specific national interests, has invariably acted as a grande nation in the service of the European ideal.
Die "amitié franco-allemande " war und ist die Grundlage der EU!	The amitié franco-allemande [friendship between France and Germany] has always been the linchpin of the European Union.
Heute wird sie schmerzlich vermisst!	It is sorely missed today.
Kanzler Schröder, in Deutschland für barschen Umgangston bekannt (Diskussionen werden mit "Basta! " beendet), europäisch ungelenk und uninteressiert, versäumte es, seine Nachbarn von der Seine rechtzeitig zu konsultieren.	Chancellor Gerhard Schröder, who is noted in Germany for his brusque manner, for bringing discussions to an abrupt halt with the word Basta! ('Enough!'), a graceless and uninterested player on the European stage, omitted to consult his neighbours from the Seine in good time.
Statt dessen bediente er lautstark seine liebste Zielgruppe, die Medien.	Instead, he trumpeted his intentions through his favourite mouthpiece, the media.
Der publikumsträchtig geforderte Mehreinfluss für Deutschland im Rat - nämlich mehr Stimmengewicht als das über 20 Millionen bevölkerungsärmere Frankreich - wurde völlig entwertet als eine leicht durchschaubare "taktische Manövriermasse ".	The high public profile of his call for more German influence in the Council, in other words for more votes than France, which has over 20 million fewer inhabitants than Germany, totally devalued its substance, making it appear like a bargaining chip in a thinly veiled tactical manoeuvre.
Es bleibt weitgehend bei der Einstimmigkeit im Rat und damit bei einer latenten Handlungsunfähigkeit.	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.
Die qualifizierte Mehrheit wird um mehr als 30 Bestimmungen erweitert, allerdings unbedeutende.	Qualified majority voting has been extended to more than 30 additional provisions, but these provisions cover matters of minor significance.
Bei den wirklich wichtigen Themen - wie Steuern, Abgaben, Sozialpolitik, Asyl und Einwanderung - ist offenbar alles beim Alten geblieben.	In the really important areas such as taxes, public levies, social policy, asylum and immigration, the old order has evidently survived.
Von der qualifizierten Mehrheit im Rat, die zu Mitentscheidungsrechten für das EP geführt hätte, sind wir weiter denn je entfernt.	We are further than ever from generalised qualified majority voting in the Council, which would have led to codecision rights for the European Parliament.
In der Strukturpolitik, die drei Viertel des Haushaltvolumens der Gemeinschaft ausmacht, ist das EP vom Gesetzgebungsprozess gänzlich ausgeschlossen!	In the realm of structural policy, which accounts for three quarters of the total volume of the Community budget, Parliament is totally excluded from the legislative process!
Die Entscheidungen im Rat sind komplizierter geworden: Erst muss eine dreifache Mehrheit geschaffen werden; Quoten wurden erhöht.	Decision making in the Council has become more complicated. A threefold majority must be achieved before decisions can be taken, and the required quotas of votes have been increased.
Von Durchschaubarkeit weit und breit keine Spur!	Not a single iota of transparency in sight!
Ich halte die Methode der Regierungskonferenzen mit Teilnehmern, die sich gegenseitig in Schach halten und kleine nationale Erfolge als große Siege feiern, für dringend revisionsbedürftig.	I believe there is an urgent need to revise the system of Intergovernmental Conferences where the participants endeavour to hold each other in check and acclaim the assertion of petty national interests as great triumphs.
Sie sollte ersetzt werden durch einen Konvent, ähnlich dem zur Schaffung der Grundrechte-Charta: Unter der exzellenten Leitung von Roman Herzog wurde unter Einbeziehung von nationalen und europäischen Parlamentariern konstruktiv und in Offenheit getagt; NRO, Sozialpartner und interessierte Bürger standen nicht abseits, sondern fühlten sich einbezogen und gefragt.	These conferences should be replaced by a convention, similar to the one that was established to draw up the Charter of Fundamental Rights. Under the excellent chairmanship of Roman Herzog, the convention held open and constructive meetings, involving national and European parliamentarians; non-governmental organisations, business and labour organisations and interested individuals were not sidelined but actually felt involved and knew that their opinions were valued.
So bleibt nur, die Details der Vereinbarungen des Gipfels in den nächsten Wochen aufmerksam zu prüfen.	All that remains for us now is to subject the details of the summit agreements to careful scrutiny over the coming weeks.
Im Nach-Nizza-Prozess müssen erhebliche Veränderungen der bisherigen Beschlüsse erreicht werden.	In the post-Nice process, major changes must be achieved in the decisions as they now stand.
Die Bürgerinnen und Bürger Europas haben eine substantielle Nachbesserung verdient.	The people of Europe deserve a substantially improved outcome.
