Herr Präsident! Ich finde diese ganze Geschichte aus zwei Gründen unglaublich.	Mr President, I find this whole business quite incredible, for two reasons.
Einmal, weil wir eine Verordnung aus dem Jahre 1991 haben, die ab dem 1.1.1995 gelten sollte.	First, because we have a regulation dating from 1991, which was supposed to apply from 1 January 1995.
Dieses Datum wurde um ein Jahr auf den 1.1.1996 und dann erneut auf den 1.1.1997 verschoben, und plötzlich haben wir gar nichts.	That date was put back by a year to 1 January 1996, and then again to 1 January 1997, and now, suddenly, we have nothing at all.
Das, was Sie als Vereinbarung uns vorzulegen sich erlauben, ist schlicht eine Frechheit.	This so-called agreement you have the nerve to present to us is just an insult.
Denn erstens gibt es keine humanen Fallen.	For a start, there is no such thing as a humane trap.
Da soll sich doch mal einer seine Finger in der Autotür klemmen; ob da nun Gummi drin ist oder nicht, das tut gleichermaßen weh, und ob ein Tier in einer Falle, die wir als human bezeichnen, seinen Todeskampf führt und ekelhaft verrecken muß, ist dem Tier auch vollkommen egal!	Try catching your finger in a car door - whether it has a rubber lining or not, it will still hurt just as much. And if an animal has to endure its death in agony and die a dreadful death in a trap that we describe as humane, that makes no difference to the animal.
Außerdem kann ein Tier nun wirklich nicht lesen, ob die Falle für dieses oder jenes Tier geeignet ist oder ob es sich um eine geschützte Art handelt.	In any case, an animal will be unable to read where it says that a trap is suitable for this or that particular animal, and if it is a protected species, it won't be able to read that either.
Am unglaublichsten finde ich jedoch den Satz - und jetzt zitiere ich wörtlich aus dem Amtsblatt: " Das Wohlbefinden der Tiere wird in der Tötungsfalle vorübergehend auf einen sehr niedrigen Stand sinken."	But what I find most incredible of all is this sentence, which I quote verbatim from the Official Journal: ' The welfare of animals will temporarily be reduced to a very low level in killing traps.'
Glauben Sie an Wiedergeburt?	Do you believe in resurrection?
Man muß sich mal vorstellen, daß das Wohlbefinden in einer Tötungsfalle sozusagen vorübergehend auf einen sehr niedrigen Stand sinkt!	Who would have thought a killing trap might, temporarily, reduce welfare to a very low level!
Wollen Sie uns eigentlich veralbern mit solchen Papieren im Amtsblatt?	Are you trying to make fools of us by publishing stuff like this in the Official Journal?
Das ist geradezu eine Verhöhnung des gesamten Tierschutzes.	This is a total mockery of animal welfare as a whole.
Wir werden Herrn Pimentas Bericht unterstützen und verbitten uns derartige zynische Angelegenheiten.	We are going to support Mr Pimenta's report, and we are not going to tolerate cynical performances of this kind.
Ich finde, das ist eine Frechheit!	I regard it as an insult.
Einmal setzen Sie sich über Verordnungen, über Wünsche des Parlaments hinweg, das ist eine Verhohnepipelung der Demokratie, und dann erlauben Sie sich noch derartige Schriftstücke!	First you overrule regulations and the wishes of Parliament, making a mockery of democracy, and then you have the effrontery to publish material like this.
