. – Herr Präsident!	.
Zuerst möchte ich Sie bitten, dass ich Sie bitte, eine Gegeneinladung an den Rat und an die Kommission, an Herrn Schmit und Herrn Barroso, auszusprechen, den Trilog bei uns im Europäischen Parlament zu führen.	Mr President, first of all, may I beg leave to ask you to extend a return invitation to the Council and the Commission, to Mr Schmit and Mr Barroso, to conduct a trialogue with us here in this House.
Die direkt gewählten Vertreter des Europäischen Volks sollten hier sehr wohl eine Führungsrolle spielen, und diese Verhandlungen sollten im Interesse der Bevölkerung geführt werden.	The directly elected representatives of the European people should certainly play a leading role in such negotiations, which should be conducted with the public good in mind.
Zweitens möchte ich betonen, dass sich die Kommission und der Rat ein Ziel gesetzt haben, nämlich die Lissabon-Strategie. Da geht es um Wachstum und Beschäftigung.	Secondly, let me stress that the Commission and the Council have set themselves the objective of implementing the Lisbon Strategy, the goals of which are growth and employment.
Wachstum heißt, dass wir höhere Nettoeinkommen für die Studenten, für die Arbeitnehmer, für die Rentner, für alle.	Growth means an increase in net incomes for everyone, whether students, employees or pensioners.
Wachstum heißt: höheres Nettoeinkommen am Ende eines Monats.	Growth means an increase in take-home pay at the end of the month.
Wie können wir das erreichen?	How can we achieve that?
Indem wir mehr Beschäftigung haben, d. h. mit mehr Beschäftigung können wir auch wieder mehr umverteilen.	By creating more jobs, because more employment means, in turn, that more revenue will be available for redistribution.
Deshalb ist die Barroso-Kommission eine sehr soziale Kommission. Hier unterstützt das Europäische Parlament in diesen sozialen Anliegen die Barroso-Kommission zu 100 Prozent.	This is what makes the Barroso Commission so very socially responsible, and Parliament is one hundred per cent behind its social aims.
Deshalb bin ich neugierig, ob der Rat bereit sein wird und den Mut zur Erhöhung des Einsatzes der Mittel für die Lissabon-Strategie hat, ob es nicht nur zu einer Verdoppelung des Forschungsbudgets kommt, sondern dass man noch etwas dazu legt, dass man es ernst nimmt mit dieser Strategie, dass man sich im CIP-Programm bemüht, zusätzliche Mittel zur Verfügung zu stellen, genau so wie in Telekommunikation, Infrastruktur und in den Bereichen, die dafür sorgen, dass am Ende des Monats auf dem Konto der Bürger ein höheres Nettoeinkommen steht.	I am therefore curious to discover whether the Council will be prepared, and will be bold enough, to increase the allocation of resources to the Lisbon Strategy, whether we shall see not only a doubling of the research budget but also signs of serious intent to implement it, efforts at making additional resources available as part of the Competitiveness and Innovation Framework Programme, and efforts in the fields of telecommunications, infrastructure and other areas to ensure that higher net incomes are credited to people’s accounts at the end of the month.
Wir sollten auch dafür sorgen, einzusparen.	We should also ensure that savings are made.
Ich bedanke mich beim Rat, dass mit dem europäischen Abgeordnetenstatut in der Europäischen Union ein neuer Standard gesetzt wurde.	I thank the Council for setting a new standard in the European Union through the Statute for Members of the European Parliament.
Wir sollten auch schauen, dass wir den Durchschnitt der Beamtengehälter letztlich am Grundbezug der europäischen Abgeordneten orientieren.	We should also aim to ensure that the average civil servant’s pay is based on the basic remuneration of MEPs.
Hier sollte auch ein Einklang zwischen Rat, Parlament und letztlich auch den Abgeordneten stattfinden.	There should also be consistency here between the Council and Parliament and, last but not least, between them and the Members of Parliament.
Es sollte nicht zu große Disparitäten geben.	There should not be excessively wide disparities.
Einsparen ja, aber mit klarer Zielsetzung.	Yes, savings have to be made, but on the basis of clear objectives.
