Frau Präsidentin! Herr Kommissar, Sie haben die entscheidende Frage nicht beantwortet.	Madam President, Commissioner, you have not answered the crucial question.
Was machen Sie in der Zwischenzeit?	What are you doing in the interim?
Es gibt die positive Lösung!	There is a positive solution.
Was machen Sie, wenn zwischendurch ein Kind tödlich verunglückt, und Sie, weil Sie gezögert haben, sind dann mitverantwortlich?	What will you do if a child is fatally injured in the meantime and you are partly responsible because you delayed taking action?
Wie gehen Sie damit um?	How will you deal with that?
Diese Fragen müssen Sie sich stellen, diese Fragen müssen wir uns stellen.	You have to ask yourself these questions, as we do, too.
Bei den Kosten gibt es einen parallelen Vergleich: Bei der Behindertengerechtigkeit im Flugverkehr werden die Kosten auf alle umgelegt. Das ist auch nur normal.	In terms of costs, there is a comparable parallel. In the case of the rights of persons with disabilities in air transport, the costs are spread across everybody, which is only normal.
Denn Kinder bekommen, Kinder haben, Kinder erziehen, ist nicht nur Privatsache, es ist eine öffentliche Aufgabe, eine staatliche Aufgabe.	To conceive, give birth to and bring up a child is not just a private matter but a public task, a state task.
Dieser Aufgabe müssen sich alle stellen und dies dann auch finanzieren.	Everybody has to be prepared to take it on and also to fund it.
Das ist für mich jedenfalls selbstverständlich.	In my view at least, that is a matter of course.
Wenn Kinder in Zügen bis zu 14 Jahren umsonst mitfahren können, zahlen auch die anderen Passagiere.	Where children up to the age of 14 can travel by train for free, it is also the other passengers who contribute to that cost.
Gerade im Luftverkehr, der vom Kerosinsteuersatz befreit ist - das sind Jahr für Jahr 14 Milliarden Euro -, kann man doch wohl noch die paar Mark oder die paar Euro aufbringen, um den Kindern den besten Schutz zu geben, den sie für die Zukunft brauchen.	In the sector of air transport in particular, which is exempt from fuel tax - i.e. EUR 14 billion a year - we can surely raise a few euro to give children the best protection they need for the future.
