Herr Präsident! Lassen Sie mich noch eine Bemerkung zu Polen machen.	Mr President, I would like to make another comment about Poland.
Dort ist man der Auffassung, dass das Land für einen Beitritt ab dem 31. Dezember 2002 bereit ist, und in der Tat sind in Polen seit Beginn der Beitrittsverhandlungen im März 1998 große Fortschritte erzielt worden.	The Polish people believe that the country will be ready for accession with effect from 31 December 2002, and Poland has certainly made great strides since the accession negotiations started in March 1998.
Es liegen bereits mehrere Fortschrittsberichte vor, und auch das Parlament, das einen wichtigen Part in diesem Prozess spielt, hat sich dazu immer wieder geäußert.	There are already a number of progress reports available to us, and Parliament, which plays an important part in this process, has repeatedly made its feelings known on the subject.
Das Parlament unterstützt die Strategie der Kommission, wonach jedes Bewerberland nach seinen eigenen Fortschritten und Verdiensten behandelt und beurteilt werden muss.	Parliament supports the Commission' s strategy, according to which, each candidate state should be dealt with and assessed on the basis of its own progress and merits.
Es gibt aber auch Fragestellungen, die grenzübergreifend gelöst werden müssen.	However, there are also problems requiring a cross-border solution.
Im Bericht von Herrn Gawronski wird die Kommission z. B. vom Berichterstatter aufgefordert, Maßnahmen zur Förderung der Entwicklung und zur Verstärkung von Synergien zwischen Polen, Litauen und dem russischen Gebiet Kaliningrad zu prüfen.	In Mr Gawronski' s report, the Commission is urged, by the rapporteur among others, to examine measures for furthering development and for strengthening the synergy between Poland, Lithuania and the Russian region of Kaliningrad.
Ich denke, dass das eine Bitte an die Kommission ist, die durchaus angemessen ist und wo die Kommission auch noch einen Vorschlag unterbreiten sollte.	I feel it is entirely reasonable to ask this of the Commission, and that the Commission' s response should be to put forward a proposal.
Ich habe das heute Nachmittag an anderer Stelle schon einmal erwähnt.	I have already made this point once this afternoon, on another occasion.
Insgesamt ist zum Thema positive Haltung der Bevölkerung zum Erweiterungsprozess zu sagen, dass Umfragen in mehreren Kandidatenländern zeigen, dass die Begeisterung für einen Beitritt in die EU weiterhin abnimmt.	All in all, when it comes to the question of how positive people are about the enlargement process, it is worth pointing out that opinion polls in several candidate states show that enthusiasm for accession to the EU is on the wane.
Nicht in allen Ländern, aber in einigen.	Not in all countries but in several.
Das ist nicht überraschend, denn seit der historischen Wende von 1989/1990 ist nun ein volles Jahrzehnt vergangen, und es fehlt nach wie vor eine umfassende Informations- und Kommunikationsstrategie für die Bevölkerung.	That comes as no surprise, because a whole decade has passed since the historic turning point of 1989/1990, and there is still no comprehensive information and communication strategy for the people.
Herr Verheugen hat heute Nachmittag davon gesprochen.	Mr Verheugen said the same this afternoon.
Jetzt richten sich alle Hoffnungen und Erwartungen auf Frankreich.	Now, all hopes and expectations are pinned on France.
Der Gipfel in Nizza muss vor allem Klarheit bringen, ob und wie sich die EU ihrerseits in die Lage versetzen kann, selbst umfassend und rechtzeitig erweiterungsfähig zu werden.	Above all, the Nice Summit must clarify whether, and how, the EU, for its part, can get itself completely ready for enlargement in good time.
Mit dem Abschluss der laufenden Regierungskonferenz sollte die institutionelle Reform die institutionellen Voraussetzungen für eine erweiterte EU schaffen, d. h., für eine Union mit 25 oder mehr Mitgliedstaaten.	When the current Intergovernmental Conference finishes, institutional reform should create the necessary institutional conditions for an enlarged EU, i.e. for a Union comprising 25 Member States or more.
Die Funktions- und Handlungsfähigkeit einer erweiterten Europäischen Union ist ein ganz zentraler Punkt.	It is absolutely essential for an enlarged European Union to be able to function effectively and have the capacity to act.
Davon hängt nicht allein der Erfolg der französischen Präsidentschaft ab, sondern es steht für die Beteiligten und auch für Polen der Fortgang des gesamten Erweiterungsprozesses auf dem Spiel.	Not only does the success of the French Presidency depend on it, the progress of the entire enlargement process is at stake for all concerned, including Poland.
