Herr Präsident, sehr geehrter Herr Kommissar! Die WTO nach der Hongkong-Runde – wie geht es weiter?	Mr President, Commissioner, the Hong Kong round is over, and where does the WTO go now?
Einerseits hat man tatsächlich nicht viel Konkretes erreicht. Andererseits – und das halte ich unter diesen Umständen für psychologisch sehr wichtig – ist der Gesprächsfaden nicht abgerissen.	While it is indeed the case that nothing concrete has been achieved, it has to be said that the lines of communication are not down, and that, under these circumstances, I regard as psychologically very important.
Einige Punkte möchte ich hier anmerken, die eher die allgemeine Situation betreffen.	The points I would like to make today have more to do with the general situation.
Zunächst einmal haben Sie Ihr Verhandlungsmandat, das Sie als Kommissar bekommen haben, sehr gut genutzt.	For a start, Commissioner, you have made very good use of the negotiating mandate that you were given.
Es wurde allgemein gelobt: Die EU hat endlich absolut geschlossen agiert und dadurch schon etwas erreicht, auch wenn wir teilweise in die Ecke gedrängt worden sind.	There was general praise for the way in which the EU, for once, achieved something by acting absolutely as one, even though we were to some extent forced into a corner.
Aber man erwartet auch von uns mehr als von anderen Industriestaaten.	More is, however, expected of us than of the other industrial states.
Zweitens: Die Zusammenarbeit zwischen Ihnen und dem Europäischen Parlament ist durchaus erfreulich verlaufen. Sie haben es fast als Pflicht angesehen, uns zu informieren bzw. informieren zu lassen.	Secondly, you collaborated extremely well with this House, seeing it almost as a matter of obligation to inform us, whether in person or through others.
Man kann alles verbessern, aber hier wurden wir wirklich sehr weit gehend informiert und sehr gut in die Arbeit einbezogen.	There is always room for improvement in anything, but we really did get very extensive information and involving us in the work going on was done very well.
Die Frage ist allerdings, ob das reicht. Wie kann es weitergehen?	The question is, though, whether that is enough, and how things can be done in the future.
Ich glaube, dass es dringend nötig ist, die Rechte des Parlaments in Außenhandelsfragen zu stärken, und zwar völlig unabhängig vom Verfassungsvertrag.	I believe that Parliament’s rights in foreign trade matters need to be reinforced as a matter of urgency, and that this is a quite separate matter from the constitutional treaty.
Im Rahmen der weiter gehenden und sich vertiefenden Globalisierung werden die Politikfelder des Außenhandels immer wichtiger.	As globalisation goes further and deeper, the policy areas associated with external trade become ever more important.
Wenn ein politischer Bereich große Bedeutung für den Bürger erlangt, dann müssen die gewählten Vertreter des Bürgers dazu auch etwas zu sagen haben. Deshalb müssen wir mehr Einfluss auf die Kommission und mehr Kontrolle über sie ausüben können.	When a policy area becomes important to the public, the public’s elected representatives need to be able to have their say about it, and that is why we need to be able to have more influence over the Commission and be able to monitor it more closely.
Dies ist keine Kritik an Ihrer jetzigen Arbeit, sondern ein Blick auf die Zukunft.	In saying this, I am looking into the future rather than criticising the work they are doing now.
