Herr Präsident! Auch ich möchte mich den Dankesworten anschließen.	Mr President, I too should like to endorse previous speakers' words of thanks.
Ich glaube, daß es sowohl für Herrn Christodoulou und das Haus als auch für die Kommission und den Rat eine gute Vereinbarung ist.	I believe that this is a good agreement both for Mr Christodoulou and this House, and for the Commission and the Council.
Ich freue mich vor allen Dingen, daß das Parlament standhaft geblieben ist in dem Bemühen, dem Urteil des Europäischen Gerichtshofs Geltung zu verleihen.	Above all, I am pleased that Parliament was steadfast in its efforts to have the judgment of the Court of Justice recognised.
Wir standen ja teilweise heftig unter dem Druck der Nichtregierungsorganisationen, so zu tun, als gäbe es dieses Urteil nicht.	We were under extreme pressure from some non-governmental organisations to act as if this judgement did not exist.
Ich glaube, die Verhandlungen mit den NRO, also mit der Außenwelt in diesem Fall, zur Sicherung des Urteils haben viel dazu beigetragen, daß das Bewußtsein für den Umgang mit unseren Geldern gestiegen ist und daß es hierfür Rechtsgrundlagen geben muß.	I believe that the negotiations we had with the NGOs - the outside world in this case - on safeguarding the judgment contributed greatly to raising awareness of how we manage our money, and the fact that we do need legal bases for this.
Das halte ich insgesamt für einen Erfolg.	All in all, I consider this to have been a success.
Bei der Vereinbarung über die Rechtsgrundlagen wird sich erst noch herausstellen, wie weit sie trägt.	It still remains to be seen how far the agreement on legal bases will take us.
Wir als Europäisches Parlament sind ja durch die Notwendigkeit, jetzt mit dem Rat Rechtsgrundlagen zu schaffen, auf Gedeih und Verderb - so sehen es der Maastrichter und Amsterdamer Vertrag vor - auf die Initiative der Europäischen Kommission angewiesen.	We in Parliament must now establish legal bases with the Council, and this makes us dependent, completely and utterly - as the Maastricht and Amsterdam Treaties intend - on the Commission's right of initiative.
Deswegen, Herr Kommissar und Herr Berichterstatter, habe ich nochmal versucht, in Änderungsanträgen darauf hinzuweisen, daß die Kommission durch diese interinstitutionelle Vereinbarung als Initiatorin von Rechtssetzungsakten eine hohe Verantwortung bekommen hat, die uns zwingt, in Zukunft so zu verfahren, daß wir maximale Mitentscheidungsmöglichkeiten sowohl des Rates als auch des Parlaments garantieren.	That is why, Commissioner and Mr Christodoulou, I have tabled amendments pointing out that this interinstitutional agreement vests the Commission, as the initiator of legislation, with a huge responsibility, and that in the future this will force us to seek maximum powers of codecision for the Council and Parliament.
Da hoffe ich in Zukunft auf eine gute Zusammenarbeit mit der Kommission.	I look forward to working in cooperation with the Commission on this matter.
Nun aber auch noch mal zu der Sorge, was das Jahr 1998 anbelangt, das zu Recht nicht Gegenstand der Vereinbarung für die Zukunft ist, aber doch Gegenstand des ganzen Kompromisses.	But let me now return to concerns related to the 1998 budget, which is quite rightly not covered by the future arrangements in the agreement, but does form part of the overall compromise.
Ich habe vor der Sommerpause, vor allem aber nach der Sommerpause eine erhebliche Zahl von Anrufen bekommen, bei denen es darum ging, daß das Geld nicht geflossen ist, obwohl die Mittel schon freigegeben waren.	Both before, but mainly after, the summer recess, I received a substantial number of telephone calls from people saying that their money had not arrived, even though the appropriations had been released.
Außerdem gab es auch noch Unsicherheiten, zum Beispiel in meinem Fall bei der Linie B3-1000 und dem Europäischen Jugendparlament.	In addition, there is still uncertainty about some areas, for example in my case about line B3-1000 and the European Youth Parliament.
Ich wäre dankbar, Herr Kommissar, wenn Sie uns heute nochmals versichern könnten, daß alles in Ihrer Macht Stehende geschieht und daß wir bis zur Konsultation in unseren Fraktionen heute abend, wie Terence Wynn es gefordert hat, präzise darüber informiert werden, wo Sie gedenken, den Haushalt in diesem Jahr nicht auszuführen, weil es angesichts des Urteils einfach nicht möglich ist.	I would be grateful, Commissioner, if you could give us some reassurance today that everything in your power is being done, and that by this evening, when we discuss this with our groups, we will, as Mr Wynn requested, have precise information about the parts of the budget which you do not envisage implementing, because the judgment simply makes it impossible to do so.
Ich glaube, diese Klarheit wäre vonnöten, damit wir der Erklärung zustimmen können.	I believe that we need this clarity to be able to vote in favour of the agreement.
