Herr Präsident! Lassen Sie uns das ganze Verfahren etwas ruhiger angehen!	Mr President, let us approach this whole process rather more calmly.
Normalerweise werden die Vizepräsidentinnen und Vizepräsidenten dieses Hauses zu Beginn der Legislaturperiode bzw. in der Mitte der Legislaturperiode in einer Liste gewählt.	Usually, the Vice-Presidents of Parliament are elected in a block at the start of the legislative period or in the course of the legislative period.
Wenn wir das tun, Kolleginnen und Kollegen, erfahren Sie immer nur, wie viele Ja-Stimmen eine Kollegin/ein Kollege bekommen hat, danach ergibt sich auch die Reihenfolge der Mitglieder des Präsidiums.	When we do that, fellow Members, we only ever find out the number of 'Yes' votes cast for a candidate - which also decides the order in which Members are elected to the Bureau.
Nun wählen wir heute, weil ein Kollege ausgeschieden ist, einen Vizepräsidenten nach, so dass auch hier nur entscheidend ist, ob er die nötige Anzahl der Ja-Stimmen bekommen hat, um gewählt zu sein.	Now, because a Member has left, we are voting in one more Vice-President today - so the only important thing is whether he has received the number of 'Yes' votes required for election.
Etwas anderes ist nicht entscheidend.	Anything else makes no difference.
Es unterscheidet sich von anderen Wahlen.	It is different to other votes.
(Beifall)	(Applause)
Die geheime Abstimmung hat der Präsident des Parlaments perfekt beschrieben, bei mir hat es auch wundervoll funktioniert, ohne dass ich verschiedene Tasten drücken musste.	The President of Parliament has given a perfect description of the secret ballot, and it worked beautifully for me without my having to press various buttons.
Ich habe die Taste gedrückt, die ich drücken wollte, und das blaue Licht erschien.	I pressed the button that I wanted to press and the blue light appeared.
Ich glaube, das können wir jetzt einfach noch einmal alle zusammen versuchen, Herr Präsident!	Perhaps we could simply all try it together once more, Mr President.
(Beifall)	(Applause)
