Herr Präsident! Liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen.
Ich kann an das anschließen, was der Kollege Oostlander gesagt hat, und möchte auch Herrn Swoboda danken für die Erwähnung des Unfalls, der sich ereignet hat.	I should like to follow what my colleague Oostlander has said, and to thank Mr Swoboda for mentioning the accident which has occurred.
Es sind ausnahmslos Menschen, die im Auftrag der internationalen Gemeinschaft dem Volk dort unten helfen wollen, wieder zu Frieden und Freiheit zu kommen, ein Miteinander zu ermöglichen.	These were all people who, on behalf of the international community, wanted to help people down there to regain freedom and peace, to make co-operation possible.
Daß dadurch Leben geopfert werden, ist schon sehr traurig.	The fact that life has to be sacrificed for this is very sad.
Ich hoffe, die Bevölkerung in Bosnien-Herzegowina weiß zu schätzen, daß es Menschen gibt, die ihr Leben einsetzen, um ihnen bei ihrer Zukunftsbewältigung zu helfen.	I hope the citizens of Bosnia-Herzegovina appreciate that there are people who risk their lives to help them organise the future.
Zurück zur Wahl, die wir beobachtet haben.	Now to return to the election which we observed.
Ich meine, wir sollten feststellen, daß dieser Schritt zu Wahlen ein ganz besonders wichtiger Schritt war, um dieses Land überhaupt wieder friedensfähig zu machen.	I think we should note that this step towards elections was a very important one towards making this country achieve of peace.
Ohne Kommunalwahlen gibt es kein multi-ethnisches Zusammenleben in diesem Land.	Without communal elections there can be no multi-ethnic cooperation in this country.
Ohne die Umsetzung dieser Kommunalwahlen wird es dies nicht geben.	Without the achievement of these communal elections this cannot happen.
Ich möchte daran erinnern, daß - wie der Kollege Oostlander bereits sagte - die Menschen in diesen Wahlen gewählt haben, wo sie wählen wollten, weil sie dort herkommen.	I should like to remind you that - as my colleague Oostlander has already said - the people in this election voted where they wanted, because they came from there.
Sie haben also nicht gewählt, wo sie vertrieben wurden, sondern sie haben für die Orte gewählt, aus denen sie kommen.	They did not, therefore, vote for the places to which they had been expelled, but for their places of origin.
Ich denke, das ist ein wichtiges Zeichen für uns, daß wir - die internationale Gemeinschaft - jetzt versuchen, die Ergebnisse dieser Kommunalwahlen mit den lokalen Behörden umzusetzen, damit diese Menschen wirklich zurückkehren können, nicht damit wir in einer Gemeinde eine Regierung ohne Volk haben, sondern die Regierung, die dort gewählt wurde, die Ratsvertretung, auch wieder das Volk hat, das sie vertritt.	I think that is an important sign for us, so that we, the international community, should now try to use the results of these communal elections with the local authorities in order that these people really can return. This should not be in order for us to produce a community without a population, but that the government elected there, the council, should once more have the citizens whom it represents.
Ich denke, das ist ein wichtiger Schritt in die Umsetzung von Dayton.	I think this is an important step towards the implementation of Daytona.
Wir müssen jetzt natürlich auch andere Schritte mit der Kommission gehen.	We must obviously take other steps together with the Commission.
Kommissar van den Broek hat es mir versprochen.	Commissioner van den Broek has promised me this.
Wir müssen flexibel sein bei der Konditionierung der Hilfe.	We must be flexible in laying down conditions for aid.
Wenn sich eine Gemeinde so verhält, daß sie die Umsetzung dieser Wahlergebnisse jetzt schnellstens und auch wirklich durchführt, dann müssen wir ihr jetzt die Hilfe zum Wiederaufbau geben.	If a community behaves in such a way that it really implements the results of this election, and in the speediest possible manner, the we must give it the means towards to reconstruction.
Damit das Beispiel Schule macht, damit die Nachbarorte sehen: Wenn man sich anständig verhält, wenn man den Vertrag wirklich einhält, dann wird man auch belohnt.	And so that it can be an example and noted by neighbouring communities: if one behaves properly, if one really obeys the agreement, then one will be rewarded.
Das ist die einzige Möglichkeit, wie wir den Frieden herstellen und dafür sorgen können, daß ein multiethnisches Miteinander wieder möglich ist.	That is the only way for us to establish peace and ensure that multi-ethnic cooperation is once again possible.
