im Namen der PPE-Fraktion. - Herr Präsident! Herr Kommissar, herzlichen Dank für diese Information.	Mr President, many thanks for the information you have given us, Mr Barnier.
Wir haben jetzt seit zwei Jahren den Vertrag von Lissabon, und in ihm haben wir erstmals die nachhaltige soziale Marktwirtschaft als europäisches Ordnungsmodell verankert.	The Treaty of Lisbon has now been in force for two years and, for the first time, we have a sustainable social market economy as the European social model.
Das kann zum Quantensprung zur Wirtschafts- und Sozialunion in Europa werden.	This may enable us to make the quantum leap to economic and social union in Europe.
Das Binnenmarktkonzept hat sich an diesem Grundsatz zu orientieren.	The concept of the internal market must be based on this principle.
Wir haben zwanzig Jahre Binnenmarkt, aber er ist noch nicht fertig.	The internal market has been in existence for 20 years, but it is not yet complete.
Wir haben eine Europa 2020-Strategie, die ohne eine Stärkung des Binnenmarktes nicht umsetzbar ist, und wir diskutieren die Finanzielle Vorausschau bis 2020, die, wenn sie nicht mehr Geld für politische Initiativen für Wettbewerbsfähigkeit, Wachstum, Beschäftigung und soziale Solidarität beinhaltet, es nicht ermöglicht, dass das Konzept Europa 2020 in seinen Zielen voll umgesetzt wird.	We have a Europe 2020 strategy, which we cannot put into practice without the backing of the internal market, and we are discussing the financial perspective until 2020, which, if it does not provide more funding for political initiatives on competitiveness, growth, employment and social solidarity, will not allow us to implement the Europe 2020 concept and to meet its targets in full.
Der Euro macht den Binnenmarkt zum Heimatmarkt.	The euro is making the internal market into a home market.
Der Binnenmarkt ist das Herzstück für Wachstum und Beschäftigung, und alles, was ihn stärkt, stärkt auch die Wettbewerbsfähigkeit Europas und damit die Unabhängigkeit unseres Kontinents.	The internal market is essential for growth and employment. Everything which strengthens the internal market also increases Europe's competitiveness and, therefore, its independence.
Ich bin daher sehr froh, dass wir uns diese Initiative setzen. Es ist die wichtigste Initiative, die wir als Europäische Union machen können.	For this reason, I am very pleased that we are taking this initiative, because it is the most important move that the European Union can make.
Hier geht es um den Zugang der KMU zu Kapital.	This is all about allowing small and medium-sized enterprises (SMEs) access to capital.
Wir müssen schauen, dass die KMU nicht nur über Kreditfinanzierungen und nicht nur über die Förderung von Krediten finanziell unterstützt werden, sondern dass wir auch andere Wege finden.	We must make sure that the financial support provided to SMEs does not only take the form of credit and the promotion of loans. We also need to look at other approaches.
Wir müssen den Risikokapitalfonds, die Projektanleihen und den E-Commerce fördern, strenger gegen Piraterie vorgehen, gemeinsame konsolidierte Körperschaftsbemessungsgrundlagen schaffen, die öffentliche Auftragsvergabe regeln und die vier Freiheiten - die Freiheit des Personen-, des Waren-, des Dienstleistungs- und des Kapitalverkehrs - realisieren.	It is important for us to support venture capital funds, project bonds and e-commerce, combat piracy more effectively, create a common consolidated corporate tax base, regulate public procurement and put in place the four freedoms: the free movement of people, goods, services and capital.
Wir haben gemeinsam viel zu tun.	We all have a lot to do.
Danke für die Initiative, Herr Kommissar!	Thank you for this initiative, Mr Barnier.
