. – Herr Präsident, Herr Kommissar!	.
Seit wir unsere mündliche Anfrage gestellt haben, haben bereits einige zusätzliche Aktivitäten stattgefunden.	Mr President, Commissioner, a number of things have been going on since we tabled our oral question.
Wir hatten im Rechtsausschuss eine Anhörung Ihrer Vertreter, wir haben die Mitteilung der Kommission mittlerweile erhalten, und sowohl das Erkenntnis des Europäischen Gerichtshofs als auch die Mitteilung der Kommission wurden von uns im Wesentlichen begrüßt.	The Committee on Legal Affairs heard your representatives, and we have now received the communication from the Commission, the substance of which we welcome along with that of the decision by the Court of Justice.
Ich finde es gut, dass die Kommission auch eindeutig feststellt, dass die Anwendbarkeit dieses Erkenntnisses des Europäischen Gerichtshofs über den Anlassfall – nämlich einen umweltpolitischen Anlassfall – hinausgeht und alle Politiken, insbesondere auch die vier Freiheiten des Vertrages, betrifft.	I think it is a good thing that the Commission should have stated clearly that this decision by the Court of Justice is applicable in situations other than that which gave rise to it – which was environmental in character –and affects all policies, notably including the four freedoms referred to in the Treaty.
Es gab ja auch Vorschläge, die Anwendbarkeit auf die Ziele des Artikels 2 einzuschränken. Ich habe mich schon im Rechtsausschuss dagegen ausgesprochen, und finde es deshalb gut, wie hier die Stellungnahme der Kommission gehalten ist.	There have also been proposals that its applicability be restricted to the objectives of Article 2, something to which I expressed my opposition in the Committee, for which reason I approve of the way the Commission has framed its position on the subject.
Was wir gemeinsam klären müssen, ist, wie wir diese Überführung von eventuell auch weiteren Akten aus der dritten Säule in die erste Säule durchführen werden.	What we, together, have to sort out is how we will, if it comes to it, go about transferring more acts from the third pillar to the first.
Die zwei Wege, die uns hier zur Verfügung stehen, haben Sie im Prinzip beschrieben.	You have described the principles behind the two ways in which we might do this.
Der erste bestände darin, dass wir keine substanziellen Änderungen vornehmen, nur die Rechtsgrundlage ändern und mit Hilfe einer interinstitutionellen Vereinbarung das Ganze inhaltlich nicht noch einmal aufrollen.	The first would involve not making any substantial changes, but merely changing the legal basis and concluding an inter-institutional agreement to obviate the need to have the content of the whole thing gone through again.
Die zweite Möglichkeit wäre, ein ordentliches Mitentscheidungsverfahren durchzuführen, wobei die Kommission die Möglichkeit haben soll, substanzielle Änderungen im Inhalt vorzunehmen. Ich möchte mich vorbehaltlich weiterer Debatten eher für diesen Weg aussprechen.	The second option would be to have a proper codecision procedure, with the Commission having the opportunity to make substantial alterations to the content, and it is this approach that I favour, subject to what is said in future debates, as being, in my view, more suited to the present day.
Ich glaube, es ist der zeitgemäßere. Wir haben zehn neue Mitgliedstaaten, die sicher auch ein Interesse daran haben, jetzt ihren Beitrag zu den Rechtsakten zu liefern, was sie ja vor dem Beitritt nicht konnten.	We have 10 new Member States, who surely also have an interest in now making the contribution to the legal acts that they were, of course, unable to make before accession.
Wenn ich also nicht noch von einem Besseren überzeugt werde, bin ich dafür, dass wir diese Angelegenheit im normalen Legislativverfahren durchführen.	Unless, then, I am persuaded that there is a better way of doing it, I am in favour of this matter being dealt with through the normal legislative process.
