Sehr geehrte Frau Präsidentin, Frau Kommissarin, es ist spät, ich mache es kurz.	Madam President, Commissioner, it is late, and I shall be brief.
Ich freue mich über den Bericht.	I am delighted with this report.
Ich danke der Frau Kommissarin für ihre Worte.	My thanks to the Commissioner for what she has just said.
Ich freue mich, dass meine Abänderungsanträge alle im Umweltausschuss angenommen wurden.	I am delighted that my proposed amendments were accepted by everyone in the Committee on the Environment.
Danke auch an Freund Nisticò, wenn uns auch eine Frage trennt.	My thanks also to my friend Mr Nisticò, even if there is one question we disagree on.
Ich halte es für ethisch nicht vertretbar, Primaten aus der Wildbahn zu entnehmen.	I think it is morally reprehensible to take primates from the wild.
Wenn man glaubt, ohne sie nicht auskommen zu können, muss man sie züchten.	If we feel we cannot do without them, then we must breed them.
Ich komme aus einem Land, in dem man es nicht einmal mehr wagen würde, solche Tiere in einen Zoo - auch nicht in den schönsten und ältesten Zoo der Welt, nämlich in den Schönbrunner Zoo - zu bringen.	I come from a country where we would no longer dare keep such animals in a zoo, not even the Schönbrunner Zoo, the oldest and most beautiful zoo in the world.
Das letzte Mal, als ein Pharmaunternehmen es gewagt hat, zwei Schimpansen aus Afrika nach Österreich zu bringen, wurden diese Affen gerettet.	The last time a pharmaceutical company dared to bring two chimpanzees to Austria from Africa, they were rescued.
Sie leben heute, viel geliebt von der Öffentlichkeit, als Liesl und Hiasl bekannt im Wiener Tierschutzheim.	They now live, much beloved by the public, as Liesl and Hiasl in an animal rescue centre in Vienna.
Es gibt ein schönes Wort von einem berühmten englischen Juristen. Der hat einmal gesagt, bei Tieren stellt sich nicht die Frage: Können sie denken?	As one famous English legal practitioner once said, you do not ask yourself, can animals think, can animals talk?
Können Sie sprechen? Nein, die Frage lautet: Können sie leiden?	No, you ask yourself, can they suffer?
Und das können sie!	And that they certainly can.
